Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:33:00,41.35,41.35,41.06,41.3,10071.0,1.0,0.0,0.0
2016-01-04,09:36:00,41.31,41.3125,41.11,41.2,6712.0,1.0,0.0,0.0
2016-01-04,09:39:00,41.15,41.37,41.14,41.37,11212.0,1.0,0.0,0.0
2016-01-04,09:42:00,41.36,41.44,41.2,41.24,7908.0,1.0,0.0,0.0
2016-01-04,09:45:00,41.25,41.37,41.16,41.17,5523.0,1.0,0.0,0.0
2016-01-04,09:48:00,41.13,41.17,41.06,41.11,5560.0,1.0,0.0,0.0
2016-01-04,09:51:00,41.12,41.29,41.04,41.27,5333.0,1.0,0.0,0.0
2016-01-04,09:54:00,41.35,41.47,41.35,41.37,17815.0,1.0,0.0,0.0
2016-01-04,09:57:00,41.37,41.38,41.28,41.341,4766.0,1.0,0.0,0.0
2016-01-04,10:00:00,41.33,41.37,41.27,41.3,3467.0,1.0,0.0,0.0
2016-01-04,10:03:00,41.29,41.35,41.13,41.24,4685.0,1.0,0.0,0.0
2016-01-04,10:06:00,41.2,41.27,41.17,41.19,4652.0,1.0,0.0,0.0
2016-01-04,10:09:00,41.22,41.31,41.18,41.25,3185.0,1.0,0.0,0.0
2016-01-04,10:12:00,41.28,41.28,41.13,41.18,3625.0,1.0,0.0,0.0
2016-01-04,10:15:00,41.23,41.45,41.23,41.45,11091.0,1.0,0.0,0.0
2016-01-04,10:18:00,41.46,41.545,41.45,41.53,6218.0,1.0,0.0,0.0
2016-01-04,10:21:00,41.56,41.74,41.52,41.67,15241.0,1.0,0.0,0.0
2016-01-04,10:24:00,41.67,41.75,41.65,41.69,9489.0,1.0,0.0,0.0
2016-01-04,10:27:00,41.69,41.73,41.65,41.69,5971.0,1.0,0.0,0.0
2016-01-04,10:30:00,41.73,41.73,41.56,41.57,3602.0,1.0,0.0,0.0
2016-01-04,10:33:00,41.58,41.62,41.57,41.57,4534.0,1.0,0.0,0.0
2016-01-04,10:36:00,41.56,41.56,41.43,41.43,1546.0,1.0,0.0,0.0
2016-01-04,10:39:00,41.42,41.46,41.39,41.39,3434.0,1.0,0.0,0.0
2016-01-04,10:42:00,41.39,41.39,41.27,41.31,4015.0,1.0,0.0,0.0
2016-01-04,10:46:00,41.33,41.49,41.33,41.49,10609.0,1.0,0.0,0.0
2016-01-04,10:49:00,41.51,41.601000000000006,41.49,41.56,7493.0,1.0,0.0,0.0
2016-01-04,10:52:00,41.57,41.59,41.49,41.49,1902.0,1.0,0.0,0.0
2016-01-04,10:55:00,41.51,41.53,41.45,41.47,3148.0,1.0,0.0,0.0
2016-01-04,10:58:00,41.44,41.44,41.39,41.4,1469.0,1.0,0.0,0.0
2016-01-04,11:01:00,41.39,41.41,41.2576,41.35,7395.0,1.0,0.0,0.0
2016-01-04,11:04:00,41.36,41.36,41.32,41.34,3489.0,1.0,0.0,0.0
