Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,13.7715,13.7715,13.4937,13.6673,1820944.8457999984,1,0,0.0
2016-01-05,13.702,13.8012,13.573,13.7119,1274287.0187,1,0,0.0
2016-01-06,13.454,13.583,13.2853,13.4242,2089260.1615000013,1,0,0.0
2016-01-07,13.0769,13.2952,12.7446,12.7892,2138638.727599999,1,0,0.0
2016-01-08,12.9083,12.9827,12.5908,12.6106,2770279.765099999,1,0,0.0
2016-01-11,12.2038,12.8289,12.2038,12.7198,4422171.114000001,1,0,0.0
2016-01-12,12.8388,12.8686,12.5412,12.8587,4477801.8040000005,1,0,0.0
2016-01-13,12.7098,12.8091,11.9855,12.055,6476489.443999996,1,0,0.0
2016-01-14,12.1145,12.4122,11.6284,12.3328,4453412.152999999,1,0,0.0
2016-01-15,11.8466,12.3129,11.6879,12.2435,2882661.143,1,0,0.0
2016-01-19,12.4519,12.4618,12.1344,12.2187,3233420.319800005,1,0,0.0
2016-01-20,11.9161,12.1741,11.6085,12.0451,3895238.241500003,1,0,0.0
2016-01-21,12.0947,12.561,11.8863,11.9111,3900753.199,1,0,0.0
2016-01-22,12.184000000000001,12.5213,12.1443,12.4916,2079970.2139000008,1,0,0.0
2016-01-25,12.4023,12.5313,12.0252,12.0352,2285521.1292000012,1,0,0.0
2016-01-26,11.2414,12.3824,11.2414,12.1443,4095942.3060000003,1,0,0.0
2016-01-27,12.0352,12.2634,11.7474,11.8764,3538972.1479999996,1,0,0.0
2016-01-28,12.2931,12.3328,11.8268,11.8764,2392386.979000002,1,0,0.0
2016-01-29,11.9855,12.5412,11.9657,12.4916,2379600.0139999995,1,0,0.0
2016-02-01,12.3526,12.4519,12.0203,12.1244,1949488.574000001,1,0,0.0
2016-02-02,11.8863,11.9062,11.1968,11.4498,4133144.0132999974,1,0,0.0
2016-02-03,11.5688,11.7772,10.9834,11.677999999999999,2677251.951099999,1,0,0.0
2016-02-04,11.5986,12.2634,11.5787,12.2137,3647712.061000001,1,0,0.0
2016-02-05,12.1344,12.5511,12.0352,12.2137,4720907.808000002,1,0,0.0
2016-02-08,11.9955,12.0252,11.1918,11.4895,4166993.4230000004,1,0,0.0
2016-02-09,11.2017,11.677999999999999,11.1521,11.42,3109461.2424000003,1,0,0.0
2016-02-10,11.56,12.0699,11.53,11.61,3832855.999999999,1,0,0.09
2016-02-11,11.28,11.61,11.07,11.46,2568745.999999999,1,0,0.0
2016-02-12,11.7,12.165,11.64,12.05,1827971.999999999,1,0,0.0
2016-02-16,12.27,12.65,12.13,12.55,1852195.999999999,1,0,0.0
2016-02-17,12.68,13.205,12.64,12.795,2312739.999999999,1,0,0.0
2016-02-18,12.83,12.84,12.475,12.63,1496693.999999999,1,0,0.0
2016-02-19,12.5,12.56,12.32,12.37,1766478.999999999,1,0,0.0
2016-02-22,12.53,12.935,12.48,12.78,1737639.999999999,1,0,0.0
2016-02-23,12.69,12.75,12.47,12.51,1148153.999999999,1,0,0.0
2016-02-24,12.27,12.7,12.03,12.62,1474165.999999999,1,0,0.0
2016-02-25,12.63,12.8,12.47,12.79,1011167.9999999991,1,0,0.0
2016-02-26,12.94,13.07,12.85,12.93,1039060.9999999991,1,0,0.0
2016-02-29,12.95,13.11,12.83,12.92,1640431.999999999,1,0,0.0
2016-03-01,13.1,13.61,13.08,13.54,3394063.999999999,1,0,0.0
2016-03-02,13.52,13.56,13.14,13.465,2278801.999999999,1,0,0.0
2016-03-03,13.6,13.98,13.52,13.915,1966476.999999999,1,0,0.0
2016-03-04,13.94,14.065,13.69,13.85,2316612.999999999,1,0,0.0
2016-03-07,13.75,14.03,13.69,14.005,1953861.999999999,1,0,0.0
2016-03-08,13.86,13.99,13.64,13.67,2537891.999999999,1,0,0.0
2016-03-09,13.75,13.9,13.63,13.76,1072625.999999999,1,0,0.0
2016-03-10,13.9,13.9,13.345,13.55,1327522.999999999,1,0,0.0
2016-03-11,13.83,14.25,13.76,14.16,1549025.999999999,1,0,0.0
2016-03-14,14.05,14.12,13.72,13.95,1266969.999999999,1,0,0.0
2016-03-15,13.82,13.85,13.37,13.58,1324611.999999999,1,0,0.0
2016-03-16,13.53,14.1,13.47,14.04,1865879.999999999,1,0,0.0
2016-03-17,14.0,14.83,14.0,14.66,3266071.999999999,1,0,0.0
2016-03-18,14.84,14.84,14.24,14.3,2842834.999999999,1,0,0.0
2016-03-21,14.3,14.46,14.11,14.32,1559614.999999999,1,0,0.0
2016-03-22,14.17,14.3499,14.06,14.24,1477352.999999999,1,0,0.0
2016-03-23,14.22,14.2401,14.02,14.14,1311931.999999999,1,0,0.0
2016-03-24,14.0,14.03,13.79,14.01,1004814.9999999991,1,0,0.0
