Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,26.17,26.68,25.51,26.33,10283193.0,1,0,0
2016-01-11,25.85,26.1,25.1701,25.61,10203854.0,1,0,0
2016-01-14,25.89,25.98,25.15,25.26,9832084.0,1,0,0
2016-01-20,24.84,25.87,24.75,25.35,12203113.0,1,0,0
2016-01-25,25.57,26.87,25.405,26.2,13618804.0,1,0,0
2016-01-28,26.22,26.78,26.22,26.44,7393522.0,1,0,0
2016-02-02,26.69,27.58,26.495,27.19,11309557.0,1,0,0
2016-02-05,27.97,28.08,27.44,27.57,10892334.0,1,0,0
2016-02-10,27.57,27.68,26.35,26.74,10383042.0,1,0,0
2016-02-16,26.36,26.72,26.05,26.51,10449960.0,1,0,0
2016-02-19,26.83,27.12,26.52,26.9,6897742.0,1,0,0
2016-02-24,27.15,27.29,26.35,26.56,6020194.0,1,0,0
2016-02-29,26.79,27.15,26.58,26.74,9631139.0,1,0,0
2016-03-03,27.02,27.63,26.89,27.62,4922670.0,1,0,0
2016-03-08,27.6,27.67,27.11,27.32,5679952.0,1,0,0
2016-03-11,27.38,27.8,26.97,27.78,6777677.0,1,0,0
2016-03-16,27.68,28.4,27.63,28.37,6511605.0,1,0,0
2016-03-21,28.33,29.11,27.85,27.9,10320867.0,1,0,0
2016-03-24,27.89,28.23,27.52,27.79,5452968.0,1,0,0
