Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,14:29:00,39.39,40.51,39.22,40.32,1590149.0,1.0,0.0,0.0
2016-01-05,13:00:00,40.32,40.61,39.4,40.45,1966001.0,1.0,0.0,0.0
2016-01-06,11:30:00,40.44,40.86,39.795,40.43,1929001.0,1.0,0.0,0.0
2016-01-07,10:01:00,40.42,40.7199,38.94,39.89,2771293.0,1.0,0.0,0.0
2016-01-07,15:01:00,39.9,39.93,38.73,38.96,1555216.0,1.0,0.0,0.0
2016-01-08,13:31:00,38.95,39.34,37.73,38.03,2425660.0,1.0,0.0,0.0
2016-01-11,12:01:00,38.01,38.24,36.77,37.2665,2861780.0,1.0,0.0,0.0
2016-01-12,10:31:00,37.26,37.99,36.585,37.485,2272935.0,1.0,0.0,0.0
2016-01-12,15:32:00,37.51,37.6,36.8,37.4,1096427.0,1.0,0.0,0.0
2016-01-13,14:03:00,37.4,38.12,36.38,36.57,1844350.0,1.0,0.0,0.0
2016-01-14,12:33:00,36.56,36.62,35.02,35.95,2844440.0,1.0,0.0,0.0
2016-01-15,11:06:00,35.96,36.36,34.96,35.28,2000272.0,1.0,0.0,0.0
2016-01-19,09:36:00,35.28,36.37,34.91,35.92,2794330.0,1.0,0.0,0.0
2016-01-19,14:36:00,35.91,36.3,35.43,35.5,1708832.0,1.0,0.0,0.0
2016-01-20,13:06:00,35.49,35.93,34.83,35.3,2549029.0,1.0,0.0,0.0
2016-01-21,11:36:00,35.302,37.81,35.24,37.81,2605518.0,1.0,0.0,0.0
2016-01-22,10:07:00,37.82,38.77,37.22,38.48,2261443.0,1.0,0.0,0.0
2016-01-22,15:08:00,38.5,38.78,37.89,38.14,1056868.0,1.0,0.0,0.0
2016-01-25,13:38:00,38.135,38.48,36.87,37.27,1871628.0,1.0,0.0,0.0
2016-01-26,12:09:00,37.28,37.89,36.57,37.73,2573282.0,1.0,0.0,0.0
2016-01-27,10:39:00,37.73,38.17,37.33,38.065,1909330.0,1.0,0.0,0.0
2016-01-27,15:39:00,38.06,39.08,37.65,37.91,1994745.0,1.0,0.0,0.0
2016-01-28,14:10:00,37.9143,39.14,37.79,38.38,1347817.0,1.0,0.0,0.0
2016-01-29,12:40:00,38.39,40.0,38.32,39.82,2323984.0,1.0,0.0,0.0
2016-02-01,11:10:00,39.83,40.78,39.5825,40.28,2535813.0,1.0,0.0,0.0
2016-02-02,09:40:00,40.29,48.2,39.8899,47.37,5715755.0,1.0,0.0,0.0
2016-02-02,14:40:00,47.4,51.05,46.44,50.52,18890140.0,1.0,0.0,0.0
2016-02-03,13:10:00,50.52,52.63,49.23,52.01,12179108.0,1.0,0.0,0.0
2016-02-04,11:40:00,52.04,52.27,50.7,51.5,6029223.0,1.0,0.0,0.0
2016-02-05,10:10:00,51.51,52.4699,51.06,52.0701,4032241.0,1.0,0.0,0.0
2016-02-05,15:10:00,52.07,52.28,50.72,51.6699,3037078.0,1.0,0.0,0.0
2016-02-08,13:40:00,51.66,52.08,50.4,50.55,3549530.0,1.0,0.0,0.0
2016-02-09,12:10:00,50.55,50.8699,48.32,50.37,4639083.0,1.0,0.0,0.0
2016-02-10,10:40:00,50.38,51.64,49.81,50.63,2676107.0,1.0,0.0,0.0
2016-02-10,15:40:00,50.5701,50.71,49.54,50.22,2220300.0,1.0,0.0,0.0
2016-02-11,14:10:00,50.2,50.44,48.7479,48.955,2812416.0,1.0,0.0,0.0
2016-02-12,12:40:00,48.9501,49.77,48.13,49.655,3185742.0,1.0,0.0,0.0
2016-02-16,11:10:00,49.66,50.64,49.2,49.93,2902672.0,1.0,0.0,0.0
2016-02-17,09:40:00,49.95,52.2,49.93,52.08,2668663.0,1.0,0.0,0.0
2016-02-17,14:41:00,52.07,52.51,51.55,52.29,3282298.0,1.0,0.0,0.0
2016-02-18,13:11:00,52.29,53.93,52.07,53.33,3535245.0,1.0,0.0,0.0
2016-02-19,11:41:00,53.33,53.8,51.911,52.91,3226199.0,1.0,0.0,0.0
2016-02-22,10:12:00,52.8901,54.33,52.65,53.5,1665264.0,1.0,0.0,0.0
2016-02-22,15:12:00,53.51,54.995,53.5,54.685,2712743.0,1.0,0.0,0.0
2016-02-23,13:42:00,54.68,55.77,54.15,54.971000000000004,2905678.0,1.0,0.0,0.0
2016-02-24,12:12:00,54.979,55.5,54.12,55.415,2178669.0,1.0,0.0,0.0
2016-02-25,10:42:00,55.4,56.09,55.02,55.93,2718693.0,1.0,0.0,0.0
2016-02-25,15:43:00,55.91,56.658,55.75,56.37,2390172.0,1.0,0.0,0.0
2016-02-26,14:13:00,56.37,57.24,55.43,56.68,3163923.0,1.0,0.0,0.0
2016-02-29,12:43:00,56.68,57.39,56.33,57.185,2673146.0,1.0,0.0,0.0
2016-03-01,11:13:00,57.19,57.42,56.63,56.98,2716588.0,1.0,0.0,0.0
