Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,41.0424,41.1521,40.5538,41.0224,6474853.3299999945,1,0,0.0
2016-01-05,41.172,41.9897,41.1421,41.9698,6483519.065800004,1,0,0.0
2016-01-06,41.6407,42.2988,41.6307,41.9398,6456480.660000001,1,0,0.0
2016-01-07,41.2119,41.4013,40.7632,40.9526,7887449.110000001,1,0,0.0
2016-01-08,41.1421,41.2318,40.5338,40.6834,7150264.730000002,1,0,0.0
2016-01-11,40.9626,41.3216,40.7432,41.172,6015487.291,1,0,0.0
2016-01-12,41.4113,41.5709,40.5538,41.1122,6712353.410000003,1,0,0.0
2016-01-13,41.0922,41.2219,39.0281,39.0581,12227561.23,1,0,0.0
2016-01-14,39.4669,39.5068,38.1307,38.9085,9522850.13,1,0,0.0
2016-01-15,38.0609,38.6991,37.9512,38.37,8030874.99,1,0,0.0
2016-01-19,38.5395,38.719,37.681999999999995,38.0709,6235293.121999999,1,0,0.0
2016-01-20,37.5723,37.9712,36.3359,37.7418,10120345.750000007,1,0,0.0
2016-01-21,37.7618,37.7618,36.8145,37.0438,9102970.059999997,1,0,0.0
2016-01-22,37.4427,37.7767,36.7247,37.0339,12785860.570000011,1,0,0.0
2016-01-25,37.0837,37.2515,36.4755,36.5552,8143961.190000003,1,0,0.0
2016-01-26,36.5552,36.8643,36.3957,36.6748,5922247.602000003,1,0,0.0
2016-01-27,36.7846,37.7817,36.7048,37.3529,9503712.077000001,1,0,0.0
2016-01-28,37.4327,37.8715,37.1635,37.7019,8153267.400000004,1,0,0.0
2016-01-29,37.8914,38.729,37.7817,38.6692,6805197.939999999,1,0,0.0
2016-02-01,38.6293,40.1449,38.4997,39.9754,10053646.119999997,1,0,0.0
2016-02-02,39.6364,40.115,39.3871,40.0353,7178013.562000001,1,0,0.0
2016-02-03,40.1749,40.3543,39.4469,40.0652,7628133.33,1,0,0.0
2016-02-04,39.6065,39.786,38.739000000000004,38.8287,6847379.819999999,1,0,0.0
2016-02-05,38.8885,39.0281,37.3629,37.5125,9190846.840000004,1,0,0.0
2016-02-08,36.9242,37.0438,35.3188,36.7247,14990855.759999992,1,0,0.0
2016-02-09,36.1564,36.994,36.1564,36.635,10699891.04999999,1,0,0.0
2016-02-10,36.74,37.76,36.66,36.85,8723836.0,1,0,0.105
2016-02-11,36.42,36.99,35.78,36.42,9259335.0,1,0,0.0
2016-02-12,37.14,38.34,36.91,38.33,6814306.0,1,0,0.0
2016-02-16,38.61,39.02,38.13,38.49,6017723.0,1,0,0.0
2016-02-17,38.82,39.55,38.4,39.41,7364110.0,1,0,0.0
2016-02-18,39.0,39.25,37.7,38.07,8876142.0,1,0,0.0
2016-02-19,37.79,38.12,37.42,37.81,6040074.0,1,0,0.0
2016-02-22,38.1,38.43,37.85,38.26,5106687.0,1,0,0.0
2016-02-23,38.12,38.97,37.93,38.785,5652347.0,1,0,0.0
2016-02-24,38.44,38.77,38.1,38.71,6524860.0,1,0,0.0
2016-02-25,38.88,39.505,38.63,39.47,7064363.0,1,0,0.0
2016-02-26,39.55,39.95,39.2,39.46,5932402.0,1,0,0.0
2016-02-29,39.7,40.46,39.6,39.92,8549317.0,1,0,0.0
2016-03-01,40.36,40.74,39.91,40.62,8199188.0,1,0,0.0
2016-03-02,40.68,40.91,40.45,40.67,8846397.0,1,0,0.0
2016-03-03,37.81,38.44,36.885,37.81,36496623.0,1,0,0.0
2016-03-04,37.62,37.7,36.46,36.85,20057085.0,1,0,0.0
2016-03-07,36.59,37.65,36.54,37.05,11675647.0,1,0,0.0
2016-03-08,36.96,37.68,36.85,37.02,8359427.0,1,0,0.0
2016-03-09,37.1,38.0698,37.09,37.8,8397737.0,1,0,0.0
2016-03-10,37.81,37.96,37.25,37.73,8781178.0,1,0,0.0
2016-03-11,37.9,38.68,37.88,38.63,8399947.0,1,0,0.0
2016-03-14,38.43,38.8499,37.98,38.38,5803244.0,1,0,0.0
2016-03-15,38.01,38.46,37.65,38.15,5312491.0,1,0,0.0
2016-03-16,37.87,38.69,37.82,38.62,5935677.0,1,0,0.0
2016-03-17,38.45,38.56,37.98,38.08,8643152.0,1,0,0.0
2016-03-18,38.14,38.88,38.0,38.55,7653356.0,1,0,0.0
2016-03-21,38.38,38.6,38.09,38.13,5281353.0,1,0,0.0
2016-03-22,38.18,38.32,37.69,37.96,7461144.0,1,0,0.0
2016-03-23,37.92,38.02,37.35,37.59,8715289.0,1,0,0.0
2016-03-24,37.18,37.69,37.1,37.65,6420578.0,1,0,0.0
