Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,37.6852,37.9448,36.7269,36.9765,3580895.9281000006,1,0,0.0
2016-01-11,36.2777,36.7568,35.4691,35.7785,4100361.7217999995,1,0,0.0
2016-01-14,36.078,36.1978,35.0098,35.7086,4404198.2842999995,1,0,0.0
2016-01-20,34.8601,35.8584,34.0116,34.2112,5854747.457000003,1,0,0.0
2016-01-25,34.1613,35.0897,34.0914,34.1513,3291656.5218,1,0,0.0
2016-01-28,34.2911,36.088,34.2012,35.9033,3427312.9992000014,1,0,0.0
2016-02-02,36.1479,37.1262,36.0381,36.1579,3220670.0552000026,1,0,0.0
2016-02-05,36.4474,36.677,35.3293,36.2277,4553671.706700003,1,0,0.0
2016-02-10,33.8119,36.8966,33.782,36.2178,5047280.350499998,1,0,0.0
2016-02-16,35.3193,36.5971,35.1296,36.4574,3912972.354200001,1,0,0.0
2016-02-19,36.7968,37.4457,36.7968,36.8467,2894833.0394000006,1,0,0.0
2016-02-24,37.266,37.4457,35.7286,36.1179,3020358.120300001,1,0,0.0
2016-02-29,36.1279,37.16,35.9283,36.34,3799517.9782,1,0,0.0
2016-03-03,36.73,37.7,36.6,37.68,3201704.0,1,0,0.0
2016-03-08,37.71,38.06,36.65,36.68,3131977.0,1,0,0.0
2016-03-11,36.95,37.76,36.05,37.73,3895159.0,1,0,0.0
2016-03-16,37.56,37.87,37.12,37.77,2679977.0,1,0,0.0
2016-03-21,37.75,39.455,37.6,39.35,3750448.0,1,0,0.0
2016-03-24,39.32,39.615,38.185,38.37,2126287.0,1,0,0.0
