Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,124.68,124.68,116.13,116.26,4238834.0,1,0,0
2016-01-15,116.98,117.97,108.611,111.06,5610491.0,1,0,0
2016-01-25,112.39,113.39,106.37,110.98,5383510.0,1,0,0
2016-02-01,111.17,114.96,109.31,112.24,3976994.0,1,0,0
2016-02-08,111.1,111.675,97.79,100.96,5611273.0,1,0,0
2016-02-16,100.06,106.82,99.5011,104.49,5237518.0,1,0,0
2016-02-23,104.6,111.95,103.51,109.4,6177468.0,1,0,0
2016-03-01,108.3,112.34,107.59,111.16,3553306.0,1,0,0
2016-03-08,110.75,113.88,109.11,110.34,5027581.0,1,0,0
2016-03-15,110.77,116.645,110.14,112.56,4395454.0,1,0,0
2016-03-22,112.57,115.73,111.52,113.88,3632865.0,1,0,0
