Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,41.4036,42.0783,38.3576,38.4072,13820955.827799996,1,0,0.0
2016-01-15,38.6949,39.6871,37.038000000000004,38.6453,17429896.191000003,1,0,0.0
2016-01-25,39.2902,42.5148,38.8363,40.5106,24990503.898999996,1,0,0.0
2016-02-01,40.6595,42.5198,40.3023,42.2172,14932433.472799998,1,0,0.0
2016-02-08,42.8125,42.8125,40.0145,40.5503,17170659.953199994,1,0,0.0
2016-02-16,40.1435,42.97,39.68,42.73,13540265.634999994,1,0,0.0
2016-02-23,42.93,43.96,42.67,43.09,9870856.999999994,1,0,0.0
2016-03-01,42.16,44.19,41.88,42.45,14611281.999999994,1,0,0.0
2016-03-08,42.07,43.55,41.77,42.81,25339224.999999993,1,0,0.0
2016-03-15,42.87,44.29,42.68,43.74,7756557.999999993,1,0,0.0
2016-03-22,43.64,44.66,43.33,44.4,9836002.999999993,1,0,0.0
