Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,95.1793,95.6383,89.72,89.91,24425768.204000004,1,0,0.0
2016-01-15,90.25,92.15,87.81,88.7,24886091.0,1,0,0.0
2016-01-25,89.56,89.74,83.52,86.78,35563684.0,1,0,0.0
2016-02-01,87.0,89.25,81.0,88.58,40065085.0,1,0,0.0
2016-02-08,87.68,87.74,79.87,80.66,31936642.0,1,0,0.0
2016-02-16,79.54,86.59,78.5,86.175,26377288.0,1,0,0.0
2016-02-23,86.93,88.23,85.2201,86.28,16393908.0,1,0,0.0
2016-03-01,85.24,90.14,84.59,90.11,17272499.0,1,0,0.0
2016-03-08,89.89,90.56,86.81,86.87,18518109.0,1,0,0.0
2016-03-15,87.38,89.7025,85.93,89.37,16990689.0,1,0,0.0
2016-03-22,89.22,92.63,89.016,91.84,16197276.0,1,0,0.0
