Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:44:00,27.7345,27.7843,27.6149,27.6468,143124.04,1.0,0.0,0.0
2016-01-04,09:59:00,27.6349,27.6846,27.5352,27.5452,79795.78000000003,1.0,0.0,0.0
2016-01-04,10:14:00,27.5452,27.5651,27.4356,27.5327,145834.30000000002,1.0,0.0,0.0
2016-01-04,10:29:00,27.5452,27.6448,27.5252,27.5551,104365.02000000003,1.0,0.0,0.0
2016-01-04,10:44:00,27.5486,27.5751,27.4912,27.5751,73043.61000000003,1.0,0.0,0.0
2016-01-04,10:59:00,27.5801,27.6648,27.5551,27.5751,80431.92000000003,1.0,0.0,0.0
2016-01-04,11:14:00,27.5751,27.5751,27.4405,27.5053,186009.18,1.0,0.0,0.0
2016-01-04,11:29:00,27.5053,27.5352,27.4057,27.4455,109609.96999999996,1.0,0.0,0.0
2016-01-04,11:44:00,27.4455,27.5302,27.4356,27.4754,90920.89999999997,1.0,0.0,0.0
2016-01-04,11:59:00,27.4804,27.6022,27.4654,27.5651,43752.10999999993,1.0,0.0,0.0
2016-01-04,12:14:00,27.5652,27.5751,27.4804,27.4829,58459.55999999993,1.0,0.0,0.0
2016-01-04,12:29:00,27.4854,27.5103,27.3857,27.463,55100.03999999992,1.0,0.0,0.0
2016-01-04,12:44:00,27.4654,27.4654,27.3858,27.4356,54253.13999999992,1.0,0.0,0.0
2016-01-04,12:59:00,27.4455,27.4953,27.4156,27.4754,71778.30999999991,1.0,0.0,0.0
2016-01-04,13:14:00,27.4654,27.5651,27.4131,27.5551,169707.16099999985,1.0,0.0,0.0
2016-01-04,13:29:00,27.5551,27.595,27.4356,27.4455,52425.84299999986,1.0,0.0,0.0
2016-01-04,13:44:00,27.4505,27.5352,27.4455,27.5053,76297.75899999989,1.0,0.0,0.0
2016-01-04,13:59:00,27.5053,27.5551,27.4754,27.5252,161940.5599999999,1.0,0.0,0.0
2016-01-04,14:14:00,27.5252,27.5351,27.4754,27.4854,130888.0199999998,1.0,0.0,0.0
2016-01-04,14:29:00,27.4854,27.5053,27.4555,27.4704,100345.30999999978,1.0,0.0,0.0
2016-01-04,14:44:00,27.4754,27.4754,27.3857,27.4405,172395.42999999976,1.0,0.0,0.0
2016-01-04,14:59:00,27.4455,27.4854,27.3947,27.4854,103984.67999999979,1.0,0.0,0.0
2016-01-04,15:14:00,27.4754,27.5203,27.4455,27.5153,91965.5499999998,1.0,0.0,0.0
2016-01-04,15:29:00,27.5053,27.5252,27.4356,27.4854,109601.0399999998,1.0,0.0,0.0
2016-01-04,15:44:00,27.4953,27.5551,27.4854,27.5352,154017.38999999984,1.0,0.0,0.0
2016-01-04,15:59:00,27.5452,27.7246,27.5452,27.7246,467610.2299999999,1.0,0.0,0.0
2016-01-05,09:44:00,27.7943,28.0235,27.7246,28.0136,133538.1069999999,1.0,0.0,0.0
2016-01-05,09:59:00,28.0036,28.0734,27.7146,27.7146,226398.62999999992,1.0,0.0,0.0
2016-01-05,10:14:00,27.7246,27.8441,27.6648,27.7744,94794.20999999993,1.0,0.0,0.0
2016-01-05,10:29:00,27.7744,27.7744,27.6249,27.6448,67881.88999999996,1.0,0.0,0.0
2016-01-05,10:44:00,27.6349,27.7843,27.605,27.7694,105900.26999999995,1.0,0.0,0.0
2016-01-05,10:59:00,27.7744,27.874000000000002,27.7445,27.7893,68700.69899999994,1.0,0.0,0.0
2016-01-05,11:14:00,27.7843,27.7993,27.7046,27.7046,42655.319999999934,1.0,0.0,0.0
2016-01-05,11:29:00,27.7046,27.7345,27.6648,27.6947,39500.506999999925,1.0,0.0,0.0
2016-01-05,11:44:00,27.6947,27.7644,27.6648,27.6747,59521.20999999995,1.0,0.0,0.0
2016-01-05,11:59:00,27.6747,27.7196,27.6498,27.7046,70001.20999999993,1.0,0.0,0.0
2016-01-05,12:14:00,27.7046,27.7046,27.5452,27.5751,90469.33999999992,1.0,0.0,0.0
2016-01-05,12:29:00,27.5651,27.6149,27.5352,27.5651,74182.43699999992,1.0,0.0,0.0
2016-01-05,12:44:00,27.5551,27.5551,27.4854,27.4953,64348.81999999991,1.0,0.0,0.0
2016-01-05,12:59:00,27.4953,27.585,27.4654,27.585,51973.2859999999,1.0,0.0,0.0
2016-01-05,13:14:00,27.585,27.605,27.5352,27.5452,49093.41999999992,1.0,0.0,0.0
2016-01-05,13:29:00,27.5551,27.5651,27.4853,27.5153,38204.0589999999,1.0,0.0,0.0
2016-01-05,13:44:00,27.5153,27.605,27.4854,27.605,70405.56999999993,1.0,0.0,0.0
2016-01-05,13:59:00,27.605,27.6697,27.605,27.6349,50731.03999999996,1.0,0.0,0.0
2016-01-05,14:14:00,27.6249,27.6349,27.5452,27.5651,54261.16999999997,1.0,0.0,0.0
2016-01-05,14:29:00,27.5651,27.6947,27.5551,27.6648,62725.21399999997,1.0,0.0,0.0
2016-01-05,14:44:00,27.6648,27.6847,27.6149,27.635,36736.02099999996,1.0,0.0,0.0
2016-01-05,14:59:00,27.6448,27.7096,27.6149,27.6797,69613.87719999996,1.0,0.0,0.0
2016-01-05,15:14:00,27.6747,27.6947,27.6099,27.6648,64312.63999999996,1.0,0.0,0.0
2016-01-05,15:29:00,27.6648,27.6747,27.59,27.6349,89961.57999999997,1.0,0.0,0.0
2016-01-05,15:44:00,27.6428,27.6947,27.59,27.6249,169498.6,1.0,0.0,0.0
2016-01-05,15:59:00,27.6249,27.6349,27.5452,27.595,444283.38,1.0,0.0,0.0
2016-01-06,09:44:00,27.23,27.6,27.23,27.6,205942.9999999999,1.0,0.0,0.095
2016-01-06,09:59:00,27.59,27.7,27.465,27.505,330724.9999999999,1.0,0.0,0.095
