Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,194.738,195.30700000000002,192.503,194.46900000000002,1146963.6934,1,0,0.0
2016-01-05,194.81799999999998,196.485,194.24900000000002,195.298,890346.3887999996,1,0,0.0
2016-01-06,187.791,193.37099999999998,187.791,192.672,1086077.0564999995,1,0,0.0
2016-01-07,189.408,189.987,187.332,187.352,1761644.3020999995,1,0,0.0
2016-01-08,188.13,189.049,181.672,182.06099999999998,1434043.931400001,1,0,0.0
2016-01-11,168.68599999999998,170.472,161.429,163.275,8871148.409999996,1,0,0.0
2016-01-12,164.483,166.34,162.816,163.714,3228014.0540000014,1,0,0.0
2016-01-13,163.585,165.671,156.018,157.556,4028544.6860000016,1,0,0.0
2016-01-14,157.356,165.898,157.017,164.483,2878948.1610000003,1,0,0.0
2016-01-15,161.628,164.852,158.514,164.703,3081157.122300001,1,0,0.0
2016-01-19,166.19,169.674,164.72299999999998,169.255,3345056.2260000003,1,0,0.0
2016-01-20,166.44,170.333,162.048,169.704,3371217.7690000013,1,0,0.0
2016-01-21,169.69400000000002,172.18900000000002,168.27599999999998,170.153,2024226.395,1,0,0.0
2016-01-22,171.99,173.327,169.264,169.923,2314220.6991999997,1,0,0.0
2016-01-25,170.442,172.59799999999998,169.49400000000003,169.863,1890698.475899998,1,0,0.0
2016-01-26,171.41099999999997,171.41099999999997,166.729,170.672,1695226.4939999995,1,0,0.0
2016-01-27,169.65400000000002,171.18099999999998,165.831,167.248,1756791.3765999991,1,0,0.0
2016-01-28,156.028,170.542,152.914,159.901,4041843.9509999985,1,0,0.0
2016-01-29,159.512,162.766,157.336,160.69,2401471.513,1,0,0.0
2016-02-01,159.512,160.38,156.03799999999998,158.863,2487481.636000001,1,0,0.0
2016-02-02,157.855,159.657,154.741,154.85,2841323.525700001,1,0,0.0
2016-02-03,156.208,156.722,148.925,152.155,4124560.132999997,1,0,0.0
2016-02-04,151.467,157.496,149.281,153.533,2511361.8009999976,1,0,0.0
2016-02-05,151.766,156.118,150.239,154.012,2534499.9150000024,1,0,0.0
2016-02-08,152.954,153.38299999999998,148.961,151.33700000000002,2638966.9076999994,1,0,0.0
2016-02-09,149.67,152.914,148.013,150.219,1829336.9755999995,1,0,0.0
2016-02-10,150.668,155.02,150.249,152.724,2143306.1717,1,0,0.0
2016-02-11,149.91899999999998,151.796,148.27200000000002,149.59,2651667.646399999,1,0,0.0
2016-02-12,151.247,151.92600000000002,148.392,150.72299999999998,1789623.7259999998,1,0,0.0
2016-02-16,151.726,153.363,150.369,152.275,1245818.687599999,1,0,0.0
2016-02-17,153.762,157.626,153.703,155.24,1943127.8709999993,1,0,0.0
2016-02-18,154.87,156.477,154.597,155.689,1213749.9129999992,1,0,0.0
2016-02-19,155.439,155.709,152.85399999999998,153.982,1298634.5938999988,1,0,0.0
2016-02-22,155.27,156.468,154.55100000000002,156.268,675332.8045999999,1,0,0.0
2016-02-23,155.719,156.537,153.493,153.732,1191513.8272000004,1,0,0.0
2016-02-24,153.014,154.94,151.636,154.391,953127.3790999991,1,0,0.0
2016-02-25,155.889,156.547,153.233,155.12,1056137.9944999996,1,0,0.0
2016-02-26,156.0,158.68,154.56,156.75,848476.9999999995,1,0,0.28
2016-02-29,156.56,157.98,155.28,155.61,1128570.9999999995,1,0,0.0
2016-03-01,154.4,156.64,154.38,156.62,1122596.9999999995,1,0,0.0
2016-03-02,156.33,161.735,155.8,158.64,1623375.9999999995,1,0,0.0
2016-03-03,158.16,163.04,157.61,162.7,1420418.9999999995,1,0,0.0
2016-03-04,162.59,164.92,162.41,162.74,1038732.9999999995,1,0,0.0
2016-03-07,162.0,163.97,161.66,163.04,901419.9999999995,1,0,0.0
2016-03-08,162.08,163.19,157.56,158.8,1634769.9999999995,1,0,0.0
2016-03-09,160.0,163.52,158.91,161.84,1234598.9999999995,1,0,0.0
2016-03-10,162.67,163.66,159.57,161.17,1178944.9999999995,1,0,0.0
2016-03-11,162.13,166.752,161.76,166.43,815751.9999999995,1,0,0.0
2016-03-14,166.38,167.199,163.96,164.91,761185.9999999995,1,0,0.0
2016-03-15,162.81,163.59,156.78,157.25,1596437.9999999995,1,0,0.0
2016-03-16,156.59,157.66,155.22,156.02,1544722.9999999995,1,0,0.0
2016-03-17,155.0,155.7,149.6,151.67,3013635.0,1,0,0.0
2016-03-18,152.0,159.0,151.52,158.17,2142548.0,1,0,0.0
2016-03-21,157.96,158.686,155.37,156.81,881011.0,1,0,0.0
2016-03-22,156.58,157.44,155.0,156.63,1150380.0,1,0,0.0
2016-03-23,157.0,158.129,154.89,155.03,1263267.0,1,0,0.0
2016-03-24,154.02,158.4,153.75,157.29,1334679.0,1,0,0.0
