Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:36:00,44.09,44.45,44.01,44.16,371740.0,1.0,0.0,0.0
2016-01-04,09:43:00,44.17,44.27,43.75,43.83,191659.0,1.0,0.0,0.0
2016-01-04,09:50:00,43.83,44.06,43.83,44.04,147838.0,1.0,0.0,0.0
2016-01-04,09:57:00,44.05,44.08,43.95,43.96,164812.0,1.0,0.0,0.0
2016-01-04,10:04:00,43.95,43.97,43.73,43.78,149499.0,1.0,0.0,0.0
2016-01-04,10:11:00,43.78,43.83,43.746,43.76,209789.0,1.0,0.0,0.0
2016-01-04,10:18:00,43.76,43.825,43.74,43.78,167927.0,1.0,0.0,0.0
2016-01-04,10:25:00,43.778,43.83,43.72,43.76,153459.0,1.0,0.0,0.0
2016-01-04,10:32:00,43.77,43.83,43.695,43.71,91021.0,1.0,0.0,0.0
2016-01-04,10:39:00,43.7,43.7099,43.64,43.7,91305.0,1.0,0.0,0.0
2016-01-04,10:46:00,43.69,43.9,43.68,43.84,105613.0,1.0,0.0,0.0
2016-01-04,10:53:00,43.84,43.92,43.76,43.76,116390.0,1.0,0.0,0.0
2016-01-04,11:00:00,43.76,43.77,43.6,43.6299,196493.0,1.0,0.0,0.0
2016-01-04,11:07:00,43.62,43.63,43.4501,43.4501,179649.0,1.0,0.0,0.0
2016-01-04,11:14:00,43.46,43.6,43.41,43.595,136662.0,1.0,0.0,0.0
2016-01-04,11:21:00,43.6,43.65,43.55,43.61,97141.0,1.0,0.0,0.0
2016-01-04,11:28:00,43.6,43.6684,43.58,43.64,87278.0,1.0,0.0,0.0
2016-01-04,11:35:00,43.64,43.7,43.59,43.65,107592.0,1.0,0.0,0.0
2016-01-04,11:42:00,43.64,43.74,43.59,43.72,88572.0,1.0,0.0,0.0
2016-01-04,11:49:00,43.71,43.74,43.615,43.68,78147.0,1.0,0.0,0.0
2016-01-04,11:56:00,43.6893,43.71,43.64,43.69,76403.0,1.0,0.0,0.0
2016-01-04,12:03:00,43.68,43.69,43.61,43.65,70747.0,1.0,0.0,0.0
2016-01-04,12:10:00,43.65,43.69,43.595,43.63,84709.0,1.0,0.0,0.0
2016-01-04,12:17:00,43.63,43.7372,43.6,43.715,100721.0,1.0,0.0,0.0
2016-01-04,12:24:00,43.72,43.75,43.67,43.72,68985.0,1.0,0.0,0.0
2016-01-04,12:31:00,43.72,43.79,43.705,43.71,96626.0,1.0,0.0,0.0
2016-01-04,12:38:00,43.717,43.77,43.68,43.77,80844.0,1.0,0.0,0.0
2016-01-04,12:45:00,43.76,43.85,43.73,43.81,86261.0,1.0,0.0,0.0
2016-01-04,12:52:00,43.8,43.835,43.765,43.83,56743.0,1.0,0.0,0.0
2016-01-04,12:59:00,43.83,43.87,43.76,43.805,87239.0,1.0,0.0,0.0
2016-01-04,13:06:00,43.8075,43.83,43.765,43.83,67945.0,1.0,0.0,0.0
2016-01-04,13:13:00,43.83,43.89,43.82,43.84,80477.0,1.0,0.0,0.0
2016-01-04,13:20:00,43.84,43.86,43.78,43.788999999999994,103825.0,1.0,0.0,0.0
2016-01-04,13:27:00,43.78,43.8,43.71,43.77,84958.0,1.0,0.0,0.0
2016-01-04,13:34:00,43.77,43.79,43.7125,43.76,83229.0,1.0,0.0,0.0
2016-01-04,13:41:00,43.77,43.81,43.75,43.7501,76670.0,1.0,0.0,0.0
2016-01-04,13:48:00,43.76,43.8,43.68,43.705,75074.0,1.0,0.0,0.0
2016-01-04,13:55:00,43.7,43.74,43.69,43.735,69849.0,1.0,0.0,0.0
2016-01-04,14:02:00,43.74,43.75,43.64,43.655,89154.0,1.0,0.0,0.0
2016-01-04,14:09:00,43.66,43.7,43.6,43.7,79609.0,1.0,0.0,0.0
2016-01-04,14:16:00,43.7,43.7,43.61,43.61,106103.0,1.0,0.0,0.0
2016-01-04,14:23:00,43.6101,43.66,43.6,43.62,177035.0,1.0,0.0,0.0
2016-01-04,14:30:00,43.625,43.65,43.55,43.56,154470.0,1.0,0.0,0.0
2016-01-04,14:37:00,43.56,43.56,43.37,43.3965,224050.0,1.0,0.0,0.0
2016-01-04,14:44:00,43.39,43.49,43.39,43.485,111166.0,1.0,0.0,0.0
2016-01-04,14:51:00,43.49,43.54,43.44,43.44,144748.0,1.0,0.0,0.0
2016-01-04,14:58:00,43.45,43.47,43.41,43.4253,162765.0,1.0,0.0,0.0
2016-01-04,15:05:00,43.43,43.46,43.31,43.33,203457.0,1.0,0.0,0.0
2016-01-04,15:12:00,43.33,43.38,43.25,43.2785,203968.0,1.0,0.0,0.0
2016-01-04,15:19:00,43.275,43.36,43.27,43.35,204574.0,1.0,0.0,0.0
2016-01-04,15:26:00,43.35,43.38,43.28,43.335,480627.0,1.0,0.0,0.0
2016-01-04,15:33:00,43.33,43.47,43.33,43.46,406839.0,1.0,0.0,0.0
2016-01-04,15:40:00,43.4601,43.56,43.38,43.53,217504.0,1.0,0.0,0.0
2016-01-04,15:47:00,43.53,43.61,43.4967,43.5362,628806.0,1.0,0.0,0.0
2016-01-04,15:54:00,43.535,43.68,43.49,43.64,571117.0,1.0,0.0,0.0
2016-01-05,09:31:00,43.64,44.01,43.64,43.93,635508.0,1.0,0.0,0.0
2016-01-05,09:38:00,43.93,44.06,43.84,43.98,146370.0,1.0,0.0,0.0
2016-01-05,09:45:00,43.97,44.09,43.92,43.99,157772.0,1.0,0.0,0.0
2016-01-05,09:52:00,43.98,43.98,43.81,43.84,211446.0,1.0,0.0,0.0
2016-01-05,09:59:00,43.84,43.88,43.785,43.8,107725.0,1.0,0.0,0.0
2016-01-05,10:06:00,43.8,43.835,43.7,43.73,122367.0,1.0,0.0,0.0
2016-01-05,10:13:00,43.73,43.78,43.69,43.7399,135003.0,1.0,0.0,0.0
2016-01-05,10:20:00,43.73,43.76,43.69,43.7,144741.0,1.0,0.0,0.0
2016-01-05,10:27:00,43.69,43.7,43.65,43.68,114540.0,1.0,0.0,0.0
2016-01-05,10:34:00,43.68,43.74,43.66,43.74,128172.0,1.0,0.0,0.0
2016-01-05,10:41:00,43.74,43.925,43.72,43.91,149070.0,1.0,0.0,0.0
2016-01-05,10:48:00,43.91,43.99,43.88,43.98,230191.0,1.0,0.0,0.0
2016-01-05,10:55:00,43.982,44.05,43.95,44.04,193298.0,1.0,0.0,0.0
2016-01-05,11:02:00,44.0377,44.08,44.01,44.01,106140.0,1.0,0.0,0.0
2016-01-05,11:09:00,44.01,44.08,44.01,44.04,161176.0,1.0,0.0,0.0
2016-01-05,11:16:00,44.04,44.05,43.96,43.995,316018.0,1.0,0.0,0.0
2016-01-05,11:23:00,43.99,44.03,43.94,44.03,188982.0,1.0,0.0,0.0
2016-01-05,11:30:00,44.03,44.12,44.01,44.12,113856.0,1.0,0.0,0.0
2016-01-05,11:37:00,44.12,44.2,44.11,44.15,161469.0,1.0,0.0,0.0
2016-01-05,11:44:00,44.15,44.19,44.08,44.1,322473.0,1.0,0.0,0.0
2016-01-05,11:51:00,44.09,44.14,44.07,44.11,117924.0,1.0,0.0,0.0
2016-01-05,11:58:00,44.11,44.14,44.1,44.12,200632.0,1.0,0.0,0.0
2016-01-05,12:05:00,44.12,44.15,43.98,43.9801,206300.0,1.0,0.0,0.0
2016-01-05,12:12:00,43.99,44.01,43.97,43.98,132249.0,1.0,0.0,0.0
2016-01-05,12:19:00,43.98,44.03,43.95,44.0225,125070.0,1.0,0.0,0.0
2016-01-05,12:26:00,44.01,44.03,43.98,43.99,107328.0,1.0,0.0,0.0
2016-01-05,12:33:00,43.99,44.015,43.98,44.01,155538.0,1.0,0.0,0.0
2016-01-05,12:40:00,44.01,44.1,43.99,44.1,124944.0,1.0,0.0,0.0
2016-01-05,12:47:00,44.1,44.11,44.01,44.085,116257.0,1.0,0.0,0.0
2016-01-05,12:54:00,44.09,44.16,44.0679,44.16,86318.0,1.0,0.0,0.0
2016-01-05,13:01:00,44.155,44.17,44.11,44.1155,83725.0,1.0,0.0,0.0
2016-01-05,13:08:00,44.12,44.225,44.09,44.1,155082.0,1.0,0.0,0.0
2016-01-05,13:15:00,44.1,44.16,44.09,44.1075,82874.0,1.0,0.0,0.0
2016-01-05,13:22:00,44.103,44.11,44.02,44.04,79194.0,1.0,0.0,0.0
2016-01-05,13:29:00,44.04,44.13,44.035,44.12,72774.0,1.0,0.0,0.0
2016-01-05,13:36:00,44.12,44.13,44.08,44.13,111375.0,1.0,0.0,0.0
2016-01-05,13:43:00,44.12,44.23,44.1,44.23,91793.0,1.0,0.0,0.0
2016-01-05,13:50:00,44.23,44.3,44.2207,44.28,106755.0,1.0,0.0,0.0
2016-01-05,13:57:00,44.28,44.3,44.235,44.24,142708.0,1.0,0.0,0.0
2016-01-05,14:04:00,44.231,44.26,44.22,44.2299,84774.0,1.0,0.0,0.0
2016-01-05,14:11:00,44.2299,44.28,44.21,44.275,385801.0,1.0,0.0,0.0
2016-01-05,14:18:00,44.28,44.37,44.2701,44.3601,98035.0,1.0,0.0,0.0
2016-01-05,14:25:00,44.36,44.45,44.35,44.39,146957.0,1.0,0.0,0.0
2016-01-05,14:32:00,44.38,44.4,44.34,44.35,83321.0,1.0,0.0,0.0
2016-01-05,14:39:00,44.3401,44.345,44.2701,44.3,107455.0,1.0,0.0,0.0
2016-01-05,14:46:00,44.3,44.31,44.27,44.29,105793.0,1.0,0.0,0.0
2016-01-05,14:53:00,44.28,44.33,44.27,44.29,98375.0,1.0,0.0,0.0
2016-01-05,15:00:00,44.295,44.295,44.23,44.24,112608.0,1.0,0.0,0.0
2016-01-05,15:07:00,44.25,44.25,44.16,44.18,104693.0,1.0,0.0,0.0
2016-01-05,15:14:00,44.18,44.2,44.14,44.15,186008.0,1.0,0.0,0.0
2016-01-05,15:21:00,44.15,44.16,44.06,44.0601,138101.0,1.0,0.0,0.0
2016-01-05,15:28:00,44.065,44.19,44.065,44.187,168643.0,1.0,0.0,0.0
2016-01-05,15:35:00,44.1875,44.23,44.1301,44.2,177497.0,1.0,0.0,0.0
2016-01-05,15:42:00,44.2,44.29,44.14,44.26,218789.0,1.0,0.0,0.0
2016-01-05,15:49:00,44.265,44.265,44.15,44.2,446491.0,1.0,0.0,0.0
2016-01-05,15:56:00,44.21,44.21,44.12,44.155,467181.0,1.0,0.0,0.0
2016-01-06,09:33:00,44.159,44.16,43.33,43.41,780900.0,1.0,0.0,0.0
2016-01-06,09:40:00,43.42,43.53,43.28,43.48,192972.0,1.0,0.0,0.0
2016-01-06,09:47:00,43.48,43.595,43.45,43.5499,154340.0,1.0,0.0,0.0
2016-01-06,09:54:00,43.55,43.59,43.5,43.56,143027.0,1.0,0.0,0.0
2016-01-06,10:01:00,43.5699,43.5699,43.46,43.51,113723.0,1.0,0.0,0.0
2016-01-06,10:08:00,43.505,43.53,43.4,43.44,130559.0,1.0,0.0,0.0
2016-01-06,10:15:00,43.44,43.52,43.38,43.43,153550.0,1.0,0.0,0.0
2016-01-06,10:22:00,43.44,43.61,43.38,43.61,133265.0,1.0,0.0,0.0
2016-01-06,10:29:00,43.605,43.61,43.47,43.5,179385.0,1.0,0.0,0.0
2016-01-06,10:36:00,43.5,43.505,43.43,43.45,120876.0,1.0,0.0,0.0
2016-01-06,10:43:00,43.45,43.54,43.45,43.54,100808.0,1.0,0.0,0.0
2016-01-06,10:50:00,43.54,43.595,43.47,43.59,129985.0,1.0,0.0,0.0
2016-01-06,10:57:00,43.59,43.655,43.51,43.65,167130.0,1.0,0.0,0.0
2016-01-06,11:04:00,43.65,43.78,43.5797,43.78,93743.0,1.0,0.0,0.0
2016-01-06,11:11:00,43.78,43.79,43.71,43.765,374732.0,1.0,0.0,0.0
2016-01-06,11:18:00,43.765,43.85,43.745,43.84,94961.0,1.0,0.0,0.0
2016-01-06,11:25:00,43.84,43.91,43.84,43.84,186984.0,1.0,0.0,0.0
2016-01-06,11:32:00,43.84,43.89,43.8201,43.84,140312.0,1.0,0.0,0.0
2016-01-06,11:39:00,43.84,43.89,43.79,43.89,107876.0,1.0,0.0,0.0
2016-01-06,11:46:00,43.89,43.93,43.83,43.83,160233.0,1.0,0.0,0.0
2016-01-06,11:53:00,43.84,43.91,43.835,43.895,149233.0,1.0,0.0,0.0
2016-01-06,12:00:00,43.8999,43.9,43.77,43.83,145223.0,1.0,0.0,0.0
2016-01-06,12:07:00,43.82,43.91,43.81,43.88,133231.0,1.0,0.0,0.0
2016-01-06,12:14:00,43.88,44.04,43.875,44.015,137078.0,1.0,0.0,0.0
2016-01-06,12:21:00,44.01,44.09,43.99,43.9964,126648.0,1.0,0.0,0.0
2016-01-06,12:28:00,43.99,44.035,43.92,43.97,114417.0,1.0,0.0,0.0
2016-01-06,12:35:00,43.98,44.055,43.958,44.05,75304.0,1.0,0.0,0.0
2016-01-06,12:42:00,44.06,44.13,44.06,44.1,89429.0,1.0,0.0,0.0
2016-01-06,12:49:00,44.1,44.11,44.0301,44.045,79356.0,1.0,0.0,0.0
2016-01-06,12:56:00,44.05,44.11,44.05,44.1,61086.0,1.0,0.0,0.0
2016-01-06,13:03:00,44.1,44.11,44.04,44.0412,78782.0,1.0,0.0,0.0
2016-01-06,13:10:00,44.04,44.06,44.02,44.035,103878.0,1.0,0.0,0.0
2016-01-06,13:17:00,44.04,44.04,43.96,43.985,85729.0,1.0,0.0,0.0
2016-01-06,13:24:00,43.98,44.04,43.965,44.04,79238.0,1.0,0.0,0.0
2016-01-06,13:31:00,44.04,44.07,44.03,44.045,100090.0,1.0,0.0,0.0
2016-01-06,13:38:00,44.05,44.055,43.97,43.995,243149.0,1.0,0.0,0.0
2016-01-06,13:45:00,43.9985,44.0,43.97,43.9899,90770.0,1.0,0.0,0.0
2016-01-06,13:52:00,43.98,44.0,43.95,43.99,107717.0,1.0,0.0,0.0
2016-01-06,13:59:00,43.99,44.03,43.9781,44.0,92854.0,1.0,0.0,0.0
2016-01-06,14:06:00,44.0,44.12,43.97,44.07,176391.0,1.0,0.0,0.0
2016-01-06,14:13:00,44.075,44.145,44.06,44.1375,220133.0,1.0,0.0,0.0
2016-01-06,14:20:00,44.14,44.16,44.1,44.155,133651.0,1.0,0.0,0.0
2016-01-06,14:27:00,44.16,44.17,44.06,44.11,173560.0,1.0,0.0,0.0
2016-01-06,14:34:00,44.105,44.11,44.05,44.08,112134.0,1.0,0.0,0.0
2016-01-06,14:41:00,44.08,44.11,43.89,43.8979,166864.0,1.0,0.0,0.0
2016-01-06,14:48:00,43.8994,43.91,43.755,43.765,175058.0,1.0,0.0,0.0
2016-01-06,14:55:00,43.77,43.8,43.73,43.755,123688.0,1.0,0.0,0.0
2016-01-06,15:02:00,43.755,43.76,43.71,43.73,137512.0,1.0,0.0,0.0
2016-01-06,15:09:00,43.73,43.815,43.725,43.805,130452.0,1.0,0.0,0.0
2016-01-06,15:16:00,43.8049,43.85,43.775,43.815,235030.0,1.0,0.0,0.0
2016-01-06,15:23:00,43.8125,43.955,43.81,43.95,209063.0,1.0,0.0,0.0
2016-01-06,15:30:00,43.9465,44.04,43.8894,44.025,316005.0,1.0,0.0,0.0
2016-01-06,15:37:00,44.02,44.03,43.96,43.99,244708.0,1.0,0.0,0.0
2016-01-06,15:44:00,43.99,44.055,43.94,43.95,296438.0,1.0,0.0,0.0
2016-01-06,15:51:00,43.96,44.0,43.72,43.78,1117510.0,1.0,0.0,0.0
2016-01-06,15:58:00,43.78,43.93,43.72,43.92,1765327.0,1.0,0.0,0.0
2016-01-07,09:35:00,43.91,44.0,42.31,42.45,1742450.0,1.0,0.0,0.0
2016-01-07,09:42:00,42.44,42.55,42.08,42.09,427622.0,1.0,0.0,0.0
2016-01-07,09:49:00,42.09,42.56,42.06,42.54,325753.0,1.0,0.0,0.0
2016-01-07,09:56:00,42.54,42.548,42.425,42.47,264388.0,1.0,0.0,0.0
2016-01-07,10:03:00,42.47,42.525,42.425,42.475,226926.0,1.0,0.0,0.0
2016-01-07,10:10:00,42.475,42.48,42.35,42.37,235984.0,1.0,0.0,0.0
