Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,134.215,136.249,128.9,129.518,2752909.6125000017,1,0,0.0
2016-01-11,127.125,133.36700000000002,123.604,124.412,3222812.2066,1,0,0.0
2016-01-14,125.59899999999999,129.16899999999998,120.98200000000001,123.245,3000977.615200001,1,0,0.0
2016-01-20,120.164,126.177,113.165,116.654,3697166.7622999996,1,0,0.0
2016-01-25,117.113,125.80799999999999,115.26799999999999,117.03299999999999,3241816.175699999,1,0,0.0
2016-01-28,118.2,122.43299999999999,115.946,118.1,2021814.8112999988,1,0,0.0
2016-02-02,118.838,126.24700000000001,117.22200000000001,120.852,3048575.641800001,1,0,0.0
2016-02-05,122.54799999999999,126.21700000000001,117.671,122.68700000000001,3140648.986100001,1,0,0.0
2016-02-10,121.40100000000001,137.615,108.008,131.024,5977211.971700001,1,0,0.0
2016-02-16,127.833,136.01,126.337,135.042,3470622.1052,1,0,0.0
2016-02-19,136.0,142.178,133.253,135.591,2204015.437999999,1,0,0.0
2016-02-24,136.937,142.811,135.553,142.342,2029673.2868999983,1,0,0.0
2016-02-29,142.312,145.055,139.969,142.62,1814177.9978999994,1,0,0.0
2016-03-03,144.49,149.52,142.3,148.43,2347041.999999999,1,0,0.0
2016-03-08,147.93,155.92,146.045,152.19,2989282.999999999,1,0,0.0
2016-03-11,152.8,157.395,150.85,156.57,1737900.999999999,1,0,0.0
2016-03-16,155.65,156.11,151.28,154.05,1552111.999999999,1,0,0.0
2016-03-21,153.9,157.56,152.76,156.08,1659849.999999999,1,0,0.0
2016-03-24,155.44,157.5,150.75,153.67,1406860.999999999,1,0,0.0
