Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,51.1434,52.2815,45.6609,45.7005,27997996.06100001,1,0,0.0
2016-01-15,45.9578,46.5912,40.5941,40.9998,36453469.89100001,1,0,0.0
2016-01-25,41.9598,43.5234,38.5456,40.3467,33543322.140999988,1,0,0.0
2016-02-01,40.6535,41.7569,39.0899,41.3165,27579207.827999987,1,0,0.0
2016-02-08,40.6436,40.9504,29.4015,30.4208,70038293.11699997,1,0,0.0
2016-02-16,29.9755,32.73,28.9364,32.53,49102527.67999998,1,0,0.0
2016-02-23,32.86,33.7,30.64,31.61,32419602.999999978,1,0,0.0
2016-03-01,31.15,35.46,30.95,34.61,32559687.999999978,1,0,0.0
2016-03-08,34.59,37.96,33.89,35.17,33057368.999999978,1,0,0.0
2016-03-15,35.86,37.92,35.571999999999996,36.62,25669122.999999978,1,0,0.0
2016-03-22,36.67,38.88,36.6,38.55,27682023.999999978,1,0,0.0
