Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:32:00,8.69,8.695,8.59,8.68,56720.0,1.0,0.0,0.0
2016-01-04,09:35:00,8.68,8.68,8.63,8.64,29677.0,1.0,0.0,0.0
2016-01-04,09:38:00,8.64,8.64,8.61,8.63,74366.0,1.0,0.0,0.0
2016-01-04,09:41:00,8.63,8.64,8.63,8.63,33667.0,1.0,0.0,0.0
2016-01-04,09:44:00,8.64,8.645,8.62,8.63,46784.0,1.0,0.0,0.0
2016-01-04,09:47:00,8.63,8.64,8.61,8.64,31866.0,1.0,0.0,0.0
2016-01-04,09:50:00,8.64,8.655,8.63,8.65,44147.0,1.0,0.0,0.0
2016-01-04,09:53:00,8.65,8.66,8.64,8.64,37422.0,1.0,0.0,0.0
2016-01-04,09:56:00,8.64,8.655,8.63,8.65,11774.0,1.0,0.0,0.0
2016-01-04,09:59:00,8.645,8.65,8.63,8.64,10923.0,1.0,0.0,0.0
2016-01-04,10:02:00,8.65,8.65,8.605,8.605,24818.0,1.0,0.0,0.0
2016-01-04,10:05:00,8.6,8.62,8.58,8.58,57108.0,1.0,0.0,0.0
2016-01-04,10:08:00,8.58,8.5899,8.58,8.58,28704.0,1.0,0.0,0.0
2016-01-04,10:11:00,8.58,8.6,8.56,8.56,28215.0,1.0,0.0,0.0
2016-01-04,10:14:00,8.57,8.6,8.57,8.6,16625.0,1.0,0.0,0.0
2016-01-04,10:17:00,8.6,8.63,8.6,8.62,22496.0,1.0,0.0,0.0
2016-01-04,10:20:00,8.615,8.635,8.61,8.635,17876.0,1.0,0.0,0.0
2016-01-04,10:23:00,8.63,8.635,8.6,8.62,32401.0,1.0,0.0,0.0
2016-01-04,10:26:00,8.62,8.63,8.61,8.625,13866.0,1.0,0.0,0.0
2016-01-04,10:29:00,8.63,8.635,8.61,8.61,20760.0,1.0,0.0,0.0
2016-01-04,10:32:00,8.61,8.62,8.6,8.6,25654.0,1.0,0.0,0.0
2016-01-04,10:35:00,8.6,8.61,8.6,8.6,5683.0,1.0,0.0,0.0
2016-01-04,10:38:00,8.605,8.61,8.59,8.61,19774.0,1.0,0.0,0.0
2016-01-04,10:41:00,8.61,8.61,8.57,8.6,52051.0,1.0,0.0,0.0
2016-01-04,10:44:00,8.6,8.625,8.585,8.62,28691.0,1.0,0.0,0.0
2016-01-04,10:47:00,8.62,8.62,8.59,8.595,133836.0,1.0,0.0,0.0
2016-01-04,10:50:00,8.6,8.625,8.6,8.62,123790.0,1.0,0.0,0.0
2016-01-04,10:53:00,8.62,8.63,8.61,8.625,125842.0,1.0,0.0,0.0
2016-01-04,10:56:00,8.6201,8.63,8.62,8.62,5106.0,1.0,0.0,0.0
2016-01-04,10:59:00,8.625,8.63,8.61,8.615,33402.0,1.0,0.0,0.0
2016-01-04,11:02:00,8.61,8.61,8.58,8.59,33351.0,1.0,0.0,0.0
2016-01-04,11:05:00,8.59,8.59,8.56,8.57,89565.0,1.0,0.0,0.0
2016-01-04,11:08:00,8.564,8.57,8.555,8.565,49882.0,1.0,0.0,0.0
2016-01-04,11:11:00,8.565,8.57,8.55,8.555,9719.0,1.0,0.0,0.0
2016-01-04,11:14:00,8.56,8.585,8.55,8.585,71196.0,1.0,0.0,0.0
2016-01-04,11:17:00,8.59,8.595,8.57,8.585,29528.0,1.0,0.0,0.0
2016-01-04,11:20:00,8.5899,8.5899,8.56,8.56,27127.0,1.0,0.0,0.0
2016-01-04,11:23:00,8.56,8.58,8.56,8.57,45522.0,1.0,0.0,0.0
2016-01-04,11:26:00,8.57,8.575,8.55,8.57,51311.0,1.0,0.0,0.0
2016-01-04,11:29:00,8.58,8.58,8.55,8.56,58262.0,1.0,0.0,0.0
2016-01-04,11:32:00,8.56,8.57,8.56,8.565,3714.0,1.0,0.0,0.0
2016-01-04,11:35:00,8.57,8.58,8.56,8.56,14596.0,1.0,0.0,0.0
2016-01-04,11:38:00,8.5699,8.5699,8.55,8.55,35836.0,1.0,0.0,0.0
2016-01-04,11:41:00,8.55,8.57,8.55,8.56,40900.0,1.0,0.0,0.0
2016-01-04,11:44:00,8.56,8.57,8.56,8.56,9217.0,1.0,0.0,0.0
2016-01-04,11:47:00,8.565,8.565,8.55,8.55,12463.0,1.0,0.0,0.0
2016-01-04,11:50:00,8.555,8.57,8.55,8.56,36288.0,1.0,0.0,0.0
2016-01-04,11:53:00,8.57,8.57,8.56,8.5601,3230.0,1.0,0.0,0.0
2016-01-04,11:56:00,8.57,8.58,8.56,8.57,12743.0,1.0,0.0,0.0
2016-01-04,11:59:00,8.5799,8.5799,8.56,8.5601,16871.0,1.0,0.0,0.0
2016-01-04,12:02:00,8.56,8.5699,8.56,8.56,8258.0,1.0,0.0,0.0
2016-01-04,12:05:00,8.565,8.5699,8.56,8.565,7229.0,1.0,0.0,0.0
2016-01-04,12:08:00,8.56,8.595,8.56,8.595,27880.0,1.0,0.0,0.0
2016-01-04,12:11:00,8.59,8.595,8.58,8.58,24971.0,1.0,0.0,0.0
2016-01-04,12:14:00,8.57,8.58,8.555,8.56,97129.0,1.0,0.0,0.0
2016-01-04,12:17:00,8.565,8.57,8.56,8.5675,1980.0,1.0,0.0,0.0
2016-01-04,12:20:00,8.57,8.57,8.55,8.55,12785.0,1.0,0.0,0.0
2016-01-04,12:23:00,8.555,8.56,8.55,8.56,16446.0,1.0,0.0,0.0
2016-01-04,12:27:00,8.56,8.56,8.54,8.555,21017.0,1.0,0.0,0.0
2016-01-04,12:30:00,8.555,8.57,8.55,8.555,17811.0,1.0,0.0,0.0
2016-01-04,12:33:00,8.56,8.56,8.54,8.56,16253.0,1.0,0.0,0.0
2016-01-04,12:36:00,8.56,8.56,8.555,8.56,4900.0,1.0,0.0,0.0
2016-01-04,12:39:00,8.56,8.58,8.56,8.58,8380.0,1.0,0.0,0.0
2016-01-04,12:42:00,8.58,8.59,8.57,8.59,9621.0,1.0,0.0,0.0
2016-01-04,12:45:00,8.59,8.61,8.59,8.6,9448.0,1.0,0.0,0.0
2016-01-04,12:48:00,8.6,8.605,8.595,8.595,10341.0,1.0,0.0,0.0
2016-01-04,12:51:00,8.59,8.595,8.59,8.59,1500.0,1.0,0.0,0.0
2016-01-04,12:54:00,8.59,8.61,8.59,8.61,11001.0,1.0,0.0,0.0
2016-01-04,12:57:00,8.61,8.61,8.59,8.59,7105.0,1.0,0.0,0.0
2016-01-04,13:00:00,8.595,8.595,8.585,8.59,6937.0,1.0,0.0,0.0
2016-01-04,13:03:00,8.59,8.605,8.585,8.605,12263.0,1.0,0.0,0.0
2016-01-04,13:06:00,8.6,8.61,8.6,8.61,4070.0,1.0,0.0,0.0
2016-01-04,13:09:00,8.61,8.64,8.61,8.63,26759.0,1.0,0.0,0.0
2016-01-04,13:12:00,8.63,8.64,8.62,8.63,12347.0,1.0,0.0,0.0
2016-01-04,13:15:00,8.63,8.63,8.62,8.6251,3836.0,1.0,0.0,0.0
2016-01-04,13:18:00,8.63,8.64,8.62,8.63,24983.0,1.0,0.0,0.0
2016-01-04,13:21:00,8.63,8.63,8.625,8.63,10944.0,1.0,0.0,0.0
2016-01-04,13:24:00,8.63,8.63,8.61,8.62,5359.0,1.0,0.0,0.0
2016-01-04,13:27:00,8.62,8.62,8.61,8.62,4410.0,1.0,0.0,0.0
2016-01-04,13:30:00,8.615,8.62,8.61,8.62,3997.0,1.0,0.0,0.0
2016-01-04,13:33:00,8.62,8.62,8.6,8.605,11075.0,1.0,0.0,0.0
2016-01-04,13:36:00,8.605,8.62,8.6,8.62,10085.0,1.0,0.0,0.0
2016-01-04,13:39:00,8.61,8.63,8.605,8.62,53454.0,1.0,0.0,0.0
2016-01-04,13:42:00,8.62,8.62,8.61,8.62,7618.0,1.0,0.0,0.0
2016-01-04,13:45:00,8.62,8.62,8.61,8.615,2570.0,1.0,0.0,0.0
2016-01-04,13:48:00,8.62,8.63,8.6,8.6,27555.0,1.0,0.0,0.0
2016-01-04,13:51:00,8.605,8.62,8.595,8.62,23350.0,1.0,0.0,0.0
2016-01-04,13:54:00,8.62,8.63,8.61,8.615,20675.0,1.0,0.0,0.0
2016-01-04,13:57:00,8.615,8.625,8.61,8.615,14748.0,1.0,0.0,0.0
2016-01-04,14:00:00,8.615,8.615,8.6,8.605,7125.0,1.0,0.0,0.0
2016-01-04,14:03:00,8.6,8.61,8.59,8.61,11067.0,1.0,0.0,0.0
2016-01-04,14:06:00,8.61,8.62,8.59,8.59,12024.0,1.0,0.0,0.0
2016-01-04,14:09:00,8.59,8.61,8.59,8.61,15005.0,1.0,0.0,0.0
2016-01-04,14:12:00,8.61,8.61,8.6,8.6,11855.0,1.0,0.0,0.0
2016-01-04,14:15:00,8.6,8.61,8.6,8.605,10327.0,1.0,0.0,0.0
2016-01-04,14:18:00,8.61,8.61,8.6,8.61,18354.0,1.0,0.0,0.0
2016-01-04,14:21:00,8.61,8.635,8.605,8.635,35001.0,1.0,0.0,0.0
2016-01-04,14:24:00,8.635,8.64,8.63,8.64,20400.0,1.0,0.0,0.0
2016-01-04,14:27:00,8.64,8.64,8.61,8.61,44876.0,1.0,0.0,0.0
2016-01-04,14:30:00,8.61,8.62,8.61,8.62,5960.0,1.0,0.0,0.0
2016-01-04,14:33:00,8.615,8.62,8.61,8.62,32566.0,1.0,0.0,0.0
2016-01-04,14:36:00,8.615,8.63,8.61,8.63,34031.0,1.0,0.0,0.0
