Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,11:30:00,8.74,8.86,8.5,8.635,388883.0,1.0,0.0,0.0
2016-01-04,13:32:00,8.61,9.43,8.61,9.42,542375.0,1.0,0.0,0.0
2016-01-04,15:32:00,9.425,9.8,9.37,9.72,838961.0,1.0,0.0,0.0
2016-01-05,11:03:00,9.725,9.75,8.71,8.8,1758182.0,1.0,0.0,0.0
2016-01-05,13:03:00,8.797,8.95,8.72,8.95,587339.0,1.0,0.0,0.0
2016-01-05,15:05:00,8.93,8.99,8.72,8.74,327001.0,1.0,0.0,0.0
2016-01-06,10:35:00,8.745,9.15,8.55,8.96,1001734.0,1.0,0.0,0.0
2016-01-06,12:39:00,8.97,9.075,8.7871,8.804,305238.0,1.0,0.0,0.0
2016-01-06,14:45:00,8.81,8.8358,8.64,8.74,346201.0,1.0,0.0,0.0
2016-01-07,10:15:00,8.74,8.805,8.09,8.2,1016838.0,1.0,0.0,0.0
2016-01-07,12:15:00,8.2,8.37,8.07,8.089,480379.0,1.0,0.0,0.0
2016-01-07,14:15:00,8.08,8.13,7.89,7.94,477950.0,1.0,0.0,0.0
2016-01-08,09:45:00,7.94,8.12,7.87,7.97,868721.0,1.0,0.0,0.0
2016-01-08,11:46:00,7.97,8.01,7.55,7.77,664781.0,1.0,0.0,0.0
2016-01-08,13:49:00,7.77,7.96,7.77,7.81,295890.0,1.0,0.0,0.0
2016-01-08,15:50:00,7.82,8.07,7.81,7.92,440263.0,1.0,0.0,0.0
2016-01-11,11:22:00,7.92,8.04,7.35,7.465,576420.0,1.0,0.0,0.0
2016-01-11,13:23:00,7.46,7.49,7.22,7.29,491042.0,1.0,0.0,0.0
2016-01-11,15:24:00,7.285,7.435,7.2,7.42,514318.0,1.0,0.0,0.0
2016-01-12,10:55:00,7.42,7.74,7.325,7.365,556115.0,1.0,0.0,0.0
2016-01-12,12:55:00,7.36,7.38,7.0,7.01,463792.0,1.0,0.0,0.0
2016-01-12,15:00:00,7.02,7.07,6.88,6.975,467706.0,1.0,0.0,0.0
2016-01-13,10:30:00,6.9724,7.51,6.8925,7.09,1117439.0,1.0,0.0,0.0
2016-01-13,12:31:00,7.08,7.08,6.83,6.85,479627.0,1.0,0.0,0.0
2016-01-13,14:32:00,6.85,6.915,6.64,6.645,428032.0,1.0,0.0,0.0
2016-01-14,10:02:00,6.65,6.78,5.99,6.05,1040608.0,1.0,0.0,0.0
2016-01-14,12:02:00,6.05,6.73,6.05,6.29,535242.0,1.0,0.0,0.0
2016-01-14,14:07:00,6.3,6.61,6.23,6.48,481206.0,1.0,0.0,0.0
2016-01-15,09:37:00,6.48,6.77,6.4,6.57,938358.0,1.0,0.0,0.0
2016-01-15,11:40:00,6.57,6.65,6.43,6.45,380419.0,1.0,0.0,0.0
2016-01-15,13:51:00,6.44,6.64,6.3301,6.6,183744.0,1.0,0.0,0.0
2016-01-15,15:51:00,6.6023,6.78,6.6023,6.735,298033.0,1.0,0.0,0.0
2016-01-19,11:22:00,6.74,6.8,6.2,6.24,484481.0,1.0,0.0,0.0
2016-01-19,13:28:00,6.25,6.345,6.16,6.24,289757.0,1.0,0.0,0.0
2016-01-19,15:29:00,6.25,6.25,6.03,6.1672,492363.0,1.0,0.0,0.0
2016-01-20,10:59:00,6.165,6.23,5.775,5.83,678361.0,1.0,0.0,0.0
2016-01-20,13:02:00,5.83,6.07,5.825,6.02,400112.0,1.0,0.0,0.0
2016-01-20,15:03:00,6.04,6.48,5.96,6.4,380430.0,1.0,0.0,0.0
2016-01-21,10:33:00,6.4,6.98,6.4,6.83,839194.0,1.0,0.0,0.0
2016-01-21,12:34:00,6.84,7.23,6.74,7.06,550676.0,1.0,0.0,0.0
2016-01-21,14:35:00,7.06,7.165,6.78,6.87,384659.0,1.0,0.0,0.0
2016-01-22,10:05:00,6.86,7.59,6.72,7.36,1001751.0,1.0,0.0,0.0
2016-01-22,12:05:00,7.36,7.79,6.95,6.95,638621.0,1.0,0.0,0.0
2016-01-22,14:09:00,6.9599,7.15,6.93,7.05,424711.0,1.0,0.0,0.0
2016-01-25,09:40:00,7.06,7.21,6.88,6.88,1035197.0,1.0,0.0,0.0
2016-01-25,11:40:00,6.88,7.29,6.78,6.7999,348798.0,1.0,0.0,0.0
2016-01-25,13:45:00,6.8,6.9,6.61,6.64,381197.0,1.0,0.0,0.0
2016-01-25,15:47:00,6.635,6.72,6.51,6.5699,437762.0,1.0,0.0,0.0
2016-01-26,11:17:00,6.57,6.82,6.4,6.8,382331.0,1.0,0.0,0.0
