Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,11.1742,11.4205,11.0165,11.3318,6969497.3259999985,1,0,0.0
2016-01-05,11.3318,11.4402,10.78,11.1742,5627447.647999997,1,0,0.0
2016-01-06,11.0461,11.0904,10.6716,10.78,4773993.815000004,1,0,0.0
2016-01-07,10.5829,10.6815,10.0508,10.1099,5974953.551999996,1,0,0.0
2016-01-08,10.2183,10.3661,9.8833,10.0114,5693738.112600003,1,0,0.0
2016-01-11,10.0607,10.1247,9.6567,9.8537,4896400.453300001,1,0,0.0
2016-01-12,9.9818,10.1297,9.6665,9.8636,4370904.621000001,1,0,0.0
2016-01-13,9.9326,10.0533,9.2822,9.2822,5188257.1978,1,0,0.0
2016-01-14,9.3019,9.3709,8.9078,9.2625,4682342.785199997,1,0,0.0
2016-01-15,9.6074,9.6074,8.7729,8.8684,5668905.125899998,1,0,0.0
2016-01-19,9.0162,9.026,8.6122,8.622,4149641.4849999966,1,0,0.0
2016-01-20,8.4545,8.9472,8.2082,8.8388,7658711.332999999,1,0,0.0
2016-01-21,8.9472,9.3019,8.8684,9.0211,4335962.822999998,1,0,0.0
2016-01-22,9.2231,9.4488,8.9472,9.1049,5658242.379199999,1,0,0.0
2016-01-25,9.0654,9.1049,8.691,8.7403,5236230.510699996,1,0,0.0
2016-01-26,8.7698,9.3512,8.7304,9.3118,3812817.8089999966,1,0,0.0
2016-01-27,8.9472,9.834,8.9373,9.3414,6926309.707999994,1,0,0.0
2016-01-28,9.43,9.6764,8.8684,8.8881,4859552.043999994,1,0,0.0
2016-01-29,8.9571,9.4695,8.9275,9.4202,4899363.605999995,1,0,0.0
2016-02-01,9.3709,9.4547,9.0457,9.1738,3777521.5409999974,1,0,0.0
2016-02-02,9.0162,9.1147,8.622,8.6319,4387090.418899996,1,0,0.0
2016-02-03,8.6713,9.1049,8.2574,9.0457,3589531.890999998,1,0,0.0
2016-02-04,8.9866,9.5877,8.9866,9.4005,3147805.9411999946,1,0,0.0
2016-02-05,9.3808,9.5286,9.232999999999999,9.3709,3111502.868599993,1,0,0.0
2016-02-08,9.1443,9.1541,8.5531,8.8191,3326015.6269999957,1,0,0.0
2016-02-09,8.7501,8.76,8.2969,8.3757,8974815.824299997,1,0,0.0
2016-02-10,8.4939,8.5728,8.3166,8.425,5009808.061000003,1,0,0.0
2016-02-11,8.2574,8.4151,8.0801,8.287,3441829.5990999956,1,0,0.0
2016-02-12,8.3658,9.0162,8.356,8.9866,2784328.0223999973,1,0,0.0
2016-02-16,9.0556,9.5384,9.0063,9.5286,3175757.552699997,1,0,0.0
2016-02-17,9.5877,10.1691,9.5187,9.7749,4247635.587199993,1,0,0.0
2016-02-18,9.7749,10.0311,9.6173,9.9818,2813096.8201999944,1,0,0.0
2016-02-19,9.9621,9.9621,9.5877,9.7749,2553797.576799995,1,0,0.0
2016-02-22,9.9818,10.2331,9.9523,10.1986,2435215.4499999955,1,0,0.0
2016-02-23,10.1395,10.3366,9.972000000000001,10.0853,2424242.888099997,1,0,0.0
2016-02-24,9.8636,10.207,9.5286,10.1444,2627273.406399997,1,0,0.0
2016-02-25,10.307,10.5632,9.9523,10.5041,2871683.560199994,1,0,0.0
2016-02-26,10.5731,10.8293,10.3957,10.4351,3135645.457599995,1,0,0.0
2016-02-29,10.445,10.8982,10.4056,10.6815,3766951.9941999936,1,0,0.0
2016-03-01,10.7307,11.0855,10.5041,10.78,5116366.469999995,1,0,0.0
2016-03-02,10.73,10.9,10.4,10.89,3581951.9999999953,1,0,0.16
2016-03-03,10.86,11.39,10.81,11.26,2934774.9999999953,1,0,0.0
2016-03-04,11.13,11.65,11.13,11.4,3492174.9999999953,1,0,0.0
2016-03-07,11.35,11.465,11.1676,11.4,3577171.9999999953,1,0,0.0
2016-03-08,11.3,11.36,10.94,11.1,3056102.9999999953,1,0,0.0
2016-03-09,11.19,11.39,11.05,11.18,2643983.9999999953,1,0,0.0
2016-03-10,11.28,11.75,11.27,11.665,5249410.999999995,1,0,0.0
2016-03-11,11.74,12.0,11.64,11.97,3001562.9999999953,1,0,0.0
2016-03-14,12.0,12.2,11.675,11.7,5340397.999999995,1,0,0.0
2016-03-15,11.75,11.75,11.11,11.54,5332823.999999996,1,0,0.0
2016-03-16,11.44,11.92,11.44,11.68,2915438.9999999963,1,0,0.0
2016-03-17,11.68,12.085,11.55,11.95,3395644.9999999963,1,0,0.0
2016-03-18,12.06,12.4901,11.92,12.42,4813618.999999996,1,0,0.0
2016-03-21,12.34,12.6,12.265,12.43,2286289.9999999963,1,0,0.0
2016-03-22,12.29,12.4974,12.12,12.37,2759417.9999999963,1,0,0.0
2016-03-23,12.31,12.39,11.89,11.89,2422350.9999999963,1,0,0.0
2016-03-24,11.82,11.99,11.65,11.95,1826877.9999999963,1,0,0.0
