Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,10:29:00,23.81,24.28,23.81,24.22,217680.0,1.0,0.0,0.0
2016-01-04,11:29:00,24.21,24.21,24.0,24.09,229721.0,1.0,0.0,0.0
2016-01-04,12:29:00,24.09,24.26,24.08,24.17,221708.0,1.0,0.0,0.0
2016-01-04,13:29:00,24.17,24.435,24.12,24.425,188013.0,1.0,0.0,0.0
2016-01-04,14:29:00,24.42,24.45,24.34,24.4,217105.0,1.0,0.0,0.0
2016-01-04,15:30:00,24.39,24.41,24.23,24.255,236956.0,1.0,0.0,0.0
2016-01-05,10:00:00,24.26,24.48,24.2,24.26,814152.0,1.0,0.0,0.0
2016-01-05,11:00:00,24.253,24.253,24.04,24.15,200583.0,1.0,0.0,0.0
2016-01-05,12:00:00,24.14,24.21,23.995,24.015,232251.0,1.0,0.0,0.0
2016-01-05,13:01:00,24.015,24.015,23.77,23.835,223686.0,1.0,0.0,0.0
2016-01-05,14:01:00,23.835,23.9475,23.8,23.92,216091.0,1.0,0.0,0.0
2016-01-05,15:01:00,23.92,24.04,23.89,23.99,276124.0,1.0,0.0,0.0
2016-01-06,09:31:00,23.99,23.99,23.22,23.41,1078218.0,1.0,0.0,0.0
2016-01-06,10:31:00,23.34,23.665,23.31,23.54,316626.0,1.0,0.0,0.0
2016-01-06,11:31:00,23.53,23.63,23.5,23.595,376298.0,1.0,0.0,0.0
2016-01-06,12:31:00,23.6,23.64,23.32,23.36,363547.0,1.0,0.0,0.0
2016-01-06,13:31:00,23.36,23.4,23.2,23.23,219582.0,1.0,0.0,0.0
2016-01-06,14:32:00,23.23,23.25,23.085,23.25,296193.0,1.0,0.0,0.0
2016-01-06,15:33:00,23.25,23.31,23.15,23.2,351158.0,1.0,0.0,0.0
2016-01-07,10:04:00,23.19,23.23,22.41,22.41,1040296.0,1.0,0.0,0.0
2016-01-07,11:04:00,22.41,22.44,22.19,22.28,234405.0,1.0,0.0,0.0
2016-01-07,12:04:00,22.28,22.28,22.02,22.05,307999.0,1.0,0.0,0.0
2016-01-07,13:04:00,22.04,22.13,21.805,21.82,344939.0,1.0,0.0,0.0
2016-01-07,14:04:00,21.82,21.83,21.69,21.795,444806.0,1.0,0.0,0.0
2016-01-07,15:04:00,21.79,21.84,21.68,21.74,369100.0,1.0,0.0,0.0
2016-01-08,09:34:00,21.74,22.18,21.74,22.15,989428.0,1.0,0.0,0.0
2016-01-08,10:34:00,22.14,22.21,21.45,21.5349,287008.0,1.0,0.0,0.0
2016-01-08,11:34:00,21.53,21.53,21.17,21.21,267378.0,1.0,0.0,0.0
2016-01-08,12:34:00,21.2,21.47,21.19,21.4,269176.0,1.0,0.0,0.0
2016-01-08,13:36:00,21.39,21.41,21.2,21.25,289512.0,1.0,0.0,0.0
2016-01-08,14:36:00,21.24,21.26,21.12,21.12,277770.0,1.0,0.0,0.0
2016-01-08,15:36:00,21.12,21.18,20.95,20.99,456749.0,1.0,0.0,0.0
2016-01-11,10:06:00,20.9881,21.15,20.84,21.045,686904.0,1.0,0.0,0.0
2016-01-11,11:06:00,21.04,21.06,20.805,20.825,246723.0,1.0,0.0,0.0
2016-01-11,12:06:00,20.825,20.91,20.76,20.811,271453.0,1.0,0.0,0.0
2016-01-11,13:06:00,20.82,20.865,20.695,20.715,417083.0,1.0,0.0,0.0
2016-01-11,14:07:00,20.735,20.755,20.52,20.54,277871.0,1.0,0.0,0.0
2016-01-11,15:08:00,20.535,20.58,20.48,20.535,506025.0,1.0,0.0,0.0
2016-01-12,09:40:00,20.53,20.94,20.48,20.94,920031.0,1.0,0.0,0.0
2016-01-12,10:40:00,20.94,20.95,20.51,20.53,116288.0,1.0,0.0,0.0
2016-01-12,11:40:00,20.53,20.555,20.28,20.28,162694.0,1.0,0.0,0.0
2016-01-12,12:40:00,20.3,20.38,20.155,20.2,142070.0,1.0,0.0,0.0
2016-01-12,13:41:00,20.19,20.25,20.12,20.172,151668.0,1.0,0.0,0.0
2016-01-12,14:42:00,20.17,20.285,20.13,20.25,280211.0,1.0,0.0,0.0
2016-01-12,15:42:00,20.25,20.52,20.23,20.45,313539.0,1.0,0.0,0.0
2016-01-13,10:12:00,20.455,20.79,20.44,20.48,489233.0,1.0,0.0,0.0
2016-01-13,11:12:00,20.48,20.49,20.26,20.3,175320.0,1.0,0.0,0.0
2016-01-13,12:12:00,20.3,20.45,20.14,20.19,115101.0,1.0,0.0,0.0
2016-01-13,13:12:00,20.184,20.19,19.99,20.02,84558.0,1.0,0.0,0.0
2016-01-13,14:12:00,20.03,20.05,19.81,19.88,176967.0,1.0,0.0,0.0
2016-01-13,15:12:00,19.8801,19.96,19.7,19.93,405387.0,1.0,0.0,0.0
2016-01-14,09:42:00,19.93,20.09,19.875,20.04,895416.0,1.0,0.0,0.0
2016-01-14,10:42:00,20.08,20.26,19.64,20.16,387771.0,1.0,0.0,0.0
2016-01-14,11:42:00,20.165,20.44,20.06,20.06,345740.0,1.0,0.0,0.0
2016-01-14,12:44:00,20.06,20.305,20.05,20.25,150308.0,1.0,0.0,0.0
2016-01-14,13:45:00,20.25,20.435,20.2175,20.38,194425.0,1.0,0.0,0.0
2016-01-14,14:45:00,20.39,20.56,20.35,20.54,354578.0,1.0,0.0,0.0
2016-01-14,15:45:00,20.54,20.64,20.45,20.5,281323.0,1.0,0.0,0.0
2016-01-15,10:20:00,20.51,20.53,19.69,19.75,456156.0,1.0,0.0,0.0
2016-01-15,11:20:00,19.76,19.98,19.76,19.83,421837.0,1.0,0.0,0.0
2016-01-15,12:20:00,19.83,19.89,19.73,19.75,293728.0,1.0,0.0,0.0
2016-01-15,13:20:00,19.75,19.87,19.53,19.865,259381.0,1.0,0.0,0.0
2016-01-15,14:20:00,19.87,20.03,19.85,20.0,300077.0,1.0,0.0,0.0
2016-01-15,15:20:00,20.005,20.125,19.885,19.95,155289.0,1.0,0.0,0.0
2016-01-19,09:50:00,19.94,20.27,19.8401,19.85,498602.0,1.0,0.0,0.0
2016-01-19,10:50:00,19.85,20.15,19.85,20.015,241623.0,1.0,0.0,0.0
2016-01-19,11:50:00,20.01,20.02,19.805,19.98,245061.0,1.0,0.0,0.0
2016-01-19,12:50:00,19.986,20.03,19.86,19.89,185389.0,1.0,0.0,0.0
2016-01-19,13:50:00,19.89,20.01,19.84,19.86,174623.0,1.0,0.0,0.0
2016-01-19,14:50:00,19.86,19.86,19.58,19.62,290686.0,1.0,0.0,0.0
