Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,102.1,104.154,101.435,103.499,5399474.2034,1,0,0.0
2016-01-11,102.417,105.801,102.229,104.74,9424249.837,1,0,0.0
2016-01-14,104.978,105.98,102.963,104.88799999999999,6626085.992999995,1,0,0.0
2016-01-20,104.65,107.429,102.566,104.521,9711047.67699999,1,0,0.0
2016-01-25,104.64,106.223,103.073,105.65299999999999,6115429.0529999975,1,0,0.0
2016-01-28,105.801,107.955,104.531,107.469,9020794.454499993,1,0,0.0
2016-02-02,108.571,113.21600000000001,107.955,113.04700000000001,10434481.691000002,1,0,0.0
2016-02-05,113.275,114.645,111.37899999999999,112.749,8401137.128999995,1,0,0.0
2016-02-10,112.789,115.081,110.57600000000001,112.87799999999999,8921779.130999994,1,0,0.0
2016-02-16,112.42200000000001,113.126,109.772,111.508,7118971.776999997,1,0,0.0
2016-02-19,111.419,114.585,110.432,113.91,8147931.820499995,1,0,0.0
2016-02-24,114.238,116.11,113.891,115.98,7396895.416999997,1,0,0.87
2016-02-29,116.37,116.98,112.04,112.83,6043503.999999996,1,0,0.0
2016-03-03,113.43,113.79,109.34,111.61,7836757.999999996,1,0,0.0
2016-03-08,111.47,115.7,110.65,115.46,6440091.999999996,1,0,0.0
2016-03-11,115.34,116.98,114.53,115.79,4291674.999999996,1,0,0.0
2016-03-16,116.04,117.53,114.44,117.15,5032907.999999996,1,0,0.0
2016-03-21,117.28,118.92,116.51,117.59,6018709.999999996,1,0,0.0
2016-03-24,117.36,118.62,116.42,118.52,4527014.999999996,1,0,0.0
