Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,14:30:00,19.2699,19.5181,19.2202,19.27,1240926.427999999,1.0,0.0,0.0
2016-01-05,13:02:00,19.2748,19.6819,19.1408,19.667,2138263.296999999,1.0,0.0,0.0
2016-01-06,11:33:00,19.6604,19.8358,19.4486,19.8258,2585360.0949999993,1.0,0.0,0.0
2016-01-07,10:03:00,19.8258,19.8556,19.528,19.6025,2219877.0733,1.0,0.0,0.0
2016-01-07,15:03:00,19.6074,19.6273,19.2599,19.4386,1485205.3600000022,1.0,0.0,0.0
2016-01-08,13:33:00,19.4386,19.6173,19.3294,19.6074,1891213.3483000025,1.0,0.0,0.0
2016-01-11,12:03:00,19.5975,19.7067,19.2798,19.6372,1758530.2554000015,1.0,0.0,0.0
2016-01-12,10:33:00,19.6372,19.7365,19.3195,19.3791,1666797.984000002,1.0,0.0,0.0
2016-01-12,15:33:00,19.3791,19.5528,19.3394,19.4486,1193073.219400003,1.0,0.0,0.0
2016-01-13,14:05:00,19.4386,19.5181,19.3096,19.4287,1580983.1247000024,1.0,0.0,0.0
2016-01-14,12:35:00,19.4359,19.9053,19.2004,19.8159,1893579.4800000028,1.0,0.0,0.0
2016-01-15,11:05:00,19.8159,20.0045,19.4982,19.5925,1822498.461800001,1.0,0.0,0.0
2016-01-19,09:37:00,19.5876,19.8258,19.389,19.7464,1361002.7841999999,1.0,0.0,0.0
2016-01-19,14:38:00,19.7464,19.9648,19.667,19.7514,1082751.771000001,1.0,0.0,0.0
2016-01-20,13:08:00,19.7464,19.935,18.9125,19.0515,2379670.5006999993,1.0,0.0,0.0
2016-01-21,11:39:00,19.0515,19.5677,18.9969,19.4684,2348914.886000001,1.0,0.0,0.0
2016-01-22,10:09:00,19.4585,19.7216,19.1904,19.6571,2036577.8240000028,1.0,0.0,0.0
2016-01-22,15:12:00,19.667,20.1882,19.6471,20.1137,1450534.631000004,1.0,0.0,0.0
2016-01-25,13:43:00,20.1137,20.2825,19.9847,20.1733,2400117.240100003,1.0,0.0,0.0
2016-01-26,12:13:00,20.1733,20.5307,20.1038,20.3669,2601341.9710000046,1.0,0.0,0.0
2016-01-27,10:44:00,20.3719,20.4314,20.0462,20.1534,1808089.5530000073,1.0,0.0,0.0
2016-01-27,15:45:00,20.1634,20.1932,19.8407,19.9698,2565446.7557000057,1.0,0.0,0.0
2016-01-28,14:15:00,19.9747,20.6101,19.9499,20.5903,2316352.6250000047,1.0,0.0,0.0
2016-01-29,12:45:00,20.5903,20.9874,20.4414,20.8881,2961004.6280000075,1.0,0.0,0.0
2016-02-01,11:15:00,20.8881,20.9576,20.6995,20.769000000000002,3478224.8004000094,1.0,0.0,0.0
2016-02-02,09:47:00,20.769000000000002,21.2753,20.7392,21.2654,3224553.2554000043,1.0,0.0,0.0
2016-02-02,14:47:00,21.2654,21.3746,20.9081,21.0636,2568335.9734000084,1.0,0.0,0.0
2016-02-03,13:17:00,21.0597,21.5036,20.9477,21.4341,3518319.923000003,1.0,0.0,0.0
2016-02-04,11:48:00,21.4341,21.53,21.16,21.21,3271824.0760000064,1.0,0.0,0.155
2016-02-05,10:18:00,21.21,21.39,20.675,20.87,3001204.0000000075,1.0,0.0,0.0
2016-02-05,15:18:00,20.87,21.14,20.75,21.025,2302421.0000000075,1.0,0.0,0.0
2016-02-08,13:50:00,21.03,21.24,20.715,20.78,1754601.0000000075,1.0,0.0,0.0
2016-02-09,12:22:00,20.78,21.25,20.75,21.15,1510621.0000000075,1.0,0.0,0.0
2016-02-10,10:54:00,21.16,21.38,21.055,21.165,2420606.0000000075,1.0,0.0,0.0
2016-02-10,15:54:00,21.17,21.65,21.15,21.5,2735285.0000000075,1.0,0.0,0.0
2016-02-11,14:24:00,21.505,21.51,20.94,21.02,2548862.0000000075,1.0,0.0,0.0
2016-02-12,12:54:00,21.03,21.39,20.99,21.105,3535291.0000000075,1.0,0.0,0.0
2016-02-16,11:28:00,21.11,21.4566,20.96,21.05,2118221.0000000075,1.0,0.0,0.0
2016-02-17,09:59:00,21.05,21.28,20.88,21.04,1541349.0000000075,1.0,0.0,0.0
2016-02-17,14:59:00,21.05,21.43,21.01,21.38,1943051.0000000075,1.0,0.0,0.0
