Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,43.0919,43.6093,41.5696,42.0074,14150038.064,1,0,0.0
2016-01-11,41.4104,41.4104,38.2365,39.1518,16412100.557999998,1,0,0.0
2016-01-14,39.6095,40.5746,36.6943,37.2813,18694240.735000003,1,0,0.0
2016-01-20,36.1868,37.6494,34.3263,35.8884,19663490.852999993,1,0,0.0
2016-01-25,35.9978,37.6096,35.4506,36.9629,16358415.98,1,0,0.0
2016-01-28,37.0326,38.1171,36.3261,37.3112,15687317.832700003,1,0,0.0
2016-02-02,37.0525,39.2215,36.8137,37.0525,21313169.669999994,1,0,0.0
2016-02-05,37.4604,37.5201,35.2864,36.2565,19086104.240000013,1,0,0.0
2016-02-10,35.8685,35.8884,33.2617,34.7044,20884663.230000004,1,0,0.0
2016-02-16,33.8387,35.9182,33.0925,35.8187,12917734.334000006,1,0,0.0
2016-02-19,35.9481,37.6096,35.8486,37.2813,13977505.946000002,1,0,0.0
2016-02-24,37.7788,38.6046,36.8833,37.54,9520304.494999997,1,0,0.0
2016-02-29,37.53,39.18,36.72,37.99,15677278.999999998,1,0,0.0
2016-03-03,38.33,41.3,37.94,41.29,13275411.0,1,0,0.0
2016-03-08,41.3,42.09,38.13,38.7,14589389.0,1,0,0.0
2016-03-11,38.98,41.21,38.81,41.16,17610294.0,1,0,0.0
2016-03-16,40.97,42.4,40.7,42.17,10479399.0,1,0,0.0
2016-03-21,42.13,44.06,41.79,43.17,13594964.0,1,0,0.0
2016-03-24,42.84,43.61,42.69,43.0,10164039.0,1,0,0.0
