Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,17.13,17.13,14.98,15.01,8658542.0,1,0,0
2016-01-15,15.0,15.04,12.89,13.09,13067023.0,1,0,0
2016-01-25,13.34,13.35,11.92,12.44,12014050.0,1,0,0
2016-02-01,12.65,13.51,12.35,12.65,12895248.0,1,0,0
2016-02-08,12.35,13.34,11.58,12.31,10978338.0,1,0,0
2016-02-16,12.11,13.86,12.0,13.63,16499840.0,1,0,0
2016-02-23,13.76,15.19,13.51,14.74,13877802.0,1,0,0
2016-03-01,14.41,15.49,14.02,14.55,12799354.0,1,0,0
2016-03-08,14.58,15.69,13.74,14.02,14741634.0,1,0,0
2016-03-15,14.08,15.25,13.76,14.37,12024535.0,1,0,0
2016-03-22,14.35,16.64,14.27,16.29,11785313.0,1,0,0
