Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:30:00,35.94,36.01,35.76,35.78,66890.0,1.0,0.0,0.15
2016-01-04,09:31:00,35.78,35.8,35.75,35.79,42090.0,1.0,0.0,0.15
2016-01-04,09:32:00,35.79,35.79,35.69,35.7,11947.0,1.0,0.0,0.15
2016-01-04,09:33:00,35.72,35.8,35.68,35.705,339205.0,1.0,0.0,0.15
2016-01-04,09:34:00,35.7,35.71,35.64,35.66,39564.0,1.0,0.0,0.15
2016-01-04,09:35:00,35.65,35.67,35.6,35.62,57567.0,1.0,0.0,0.15
2016-01-04,09:36:00,35.62,35.6693,35.62,35.6693,39817.0,1.0,0.0,0.15
2016-01-04,09:37:00,35.67,35.72,35.66,35.72,51424.0,1.0,0.0,0.15
2016-01-04,09:38:00,35.73,35.73,35.69,35.7099,63708.0,1.0,0.0,0.15
2016-01-04,09:39:00,35.7,35.8,35.7,35.78,98870.0,1.0,0.0,0.15
2016-01-04,09:40:00,35.77,35.775,35.74,35.76,40956.0,1.0,0.0,0.15
2016-01-04,09:41:00,35.765,35.8101,35.7385,35.74,55220.0,1.0,0.0,0.15
2016-01-04,09:42:00,35.73,35.76,35.68,35.68,64683.0,1.0,0.0,0.15
2016-01-04,09:43:00,35.68,35.72,35.65,35.67,53878.0,1.0,0.0,0.15
2016-01-04,09:44:00,35.67,35.68,35.66,35.68,21012.0,1.0,0.0,0.15
2016-01-04,09:45:00,35.68,35.68,35.65,35.6625,42661.0,1.0,0.0,0.15
2016-01-04,09:46:00,35.66,35.66,35.65,35.66,18649.0,1.0,0.0,0.15
2016-01-04,09:47:00,35.66,35.685,35.65,35.66,57944.0,1.0,0.0,0.15
2016-01-04,09:48:00,35.66,35.67,35.645,35.65,35877.0,1.0,0.0,0.15
2016-01-04,09:49:00,35.655,35.71,35.655,35.7,72641.0,1.0,0.0,0.15
2016-01-04,09:50:00,35.705,35.7399,35.7,35.72,52973.0,1.0,0.0,0.15
2016-01-04,09:51:00,35.72,35.74,35.72,35.735,12092.0,1.0,0.0,0.15
2016-01-04,09:52:00,35.74,35.78,35.735,35.765,97432.0,1.0,0.0,0.15
2016-01-04,09:53:00,35.77,35.78,35.73,35.73,41044.0,1.0,0.0,0.15
2016-01-04,09:54:00,35.73,35.75,35.72,35.7231,26477.0,1.0,0.0,0.15
2016-01-04,09:55:00,35.73,35.748000000000005,35.7,35.745,44332.0,1.0,0.0,0.15
2016-01-04,09:56:00,35.74,35.76,35.69,35.74,29768.0,1.0,0.0,0.15
2016-01-04,09:57:00,35.75,35.75,35.72,35.725,34398.0,1.0,0.0,0.15
2016-01-04,09:58:00,35.725,35.75,35.71,35.74,104787.0,1.0,0.0,0.15
2016-01-04,09:59:00,35.75,35.75,35.73,35.74,16519.0,1.0,0.0,0.15
2016-01-04,10:00:00,35.73,35.73,35.63,35.63,60784.0,1.0,0.0,0.15
2016-01-04,10:01:00,35.64,35.67,35.63,35.6325,34929.0,1.0,0.0,0.15
2016-01-04,10:02:00,35.64,35.64,35.48,35.49,129265.0,1.0,0.0,0.15
2016-01-04,10:03:00,35.49,35.56,35.48,35.55,109786.0,1.0,0.0,0.15
2016-01-04,10:04:00,35.55,35.55,35.51,35.53,45513.0,1.0,0.0,0.15
2016-01-04,10:05:00,35.53,35.53,35.51,35.53,30671.0,1.0,0.0,0.15
2016-01-04,10:06:00,35.527,35.56,35.5234,35.555,90140.0,1.0,0.0,0.15
2016-01-04,10:07:00,35.555,35.605,35.55,35.58,115700.0,1.0,0.0,0.15
2016-01-04,10:08:00,35.58,35.62,35.58,35.61,61790.0,1.0,0.0,0.15
2016-01-04,10:09:00,35.62,35.65,35.62,35.64,47436.0,1.0,0.0,0.15
2016-01-04,10:10:00,35.65,35.68,35.65,35.675,71399.0,1.0,0.0,0.15
2016-01-04,10:11:00,35.68,35.68,35.61,35.615,31748.0,1.0,0.0,0.15
2016-01-04,10:12:00,35.615,35.65,35.615,35.641,59333.0,1.0,0.0,0.15
2016-01-04,10:13:00,35.65,35.66,35.63,35.645,40334.0,1.0,0.0,0.15
2016-01-04,10:14:00,35.64,35.645,35.585,35.62,51700.0,1.0,0.0,0.15
2016-01-04,10:15:00,35.62,35.64,35.6134,35.64,31413.0,1.0,0.0,0.15
2016-01-04,10:16:00,35.64,35.66,35.6,35.6,102569.0,1.0,0.0,0.15
2016-01-04,10:17:00,35.6,35.64,35.595,35.635,46797.0,1.0,0.0,0.15
2016-01-04,10:18:00,35.63,35.68,35.625,35.665,55119.0,1.0,0.0,0.15
2016-01-04,10:19:00,35.665,35.68,35.65,35.67,49110.0,1.0,0.0,0.15
2016-01-04,10:20:00,35.67,35.71,35.67,35.71,42577.0,1.0,0.0,0.15
2016-01-04,10:21:00,35.72,35.72,35.685,35.6871,35178.0,1.0,0.0,0.15
2016-01-04,10:22:00,35.68,35.6899,35.625,35.625,31693.0,1.0,0.0,0.15
2016-01-04,10:23:00,35.63,35.6399,35.59,35.62,55896.0,1.0,0.0,0.15
2016-01-04,10:24:00,35.62,35.65,35.6172,35.64,40799.0,1.0,0.0,0.15
2016-01-04,10:25:00,35.63,35.64,35.62,35.62,18572.0,1.0,0.0,0.15
2016-01-04,10:26:00,35.63,35.65,35.625,35.6399,23054.0,1.0,0.0,0.15
2016-01-04,10:27:00,35.64,35.66,35.64,35.66,13595.0,1.0,0.0,0.15
2016-01-04,10:28:00,35.655,35.68,35.6,35.61,62668.0,1.0,0.0,0.15
2016-01-04,10:29:00,35.61,35.63,35.595,35.62,17193.0,1.0,0.0,0.15
2016-01-04,10:30:00,35.61,35.6172,35.58,35.585,22938.0,1.0,0.0,0.15
2016-01-04,10:31:00,35.5845,35.6,35.56,35.565,31169.0,1.0,0.0,0.15
2016-01-04,10:32:00,35.56,35.57,35.53,35.535,38413.0,1.0,0.0,0.15
2016-01-04,10:33:00,35.535,35.56,35.52,35.5434,40666.0,1.0,0.0,0.15
2016-01-04,10:34:00,35.55,35.57,35.54,35.565,8726.0,1.0,0.0,0.15
2016-01-04,10:35:00,35.57,35.57,35.53,35.5472,38862.0,1.0,0.0,0.15
2016-01-04,10:36:00,35.55,35.56,35.54,35.55,13720.0,1.0,0.0,0.15
2016-01-04,10:37:00,35.56,35.59,35.56,35.585,12869.0,1.0,0.0,0.15
2016-01-04,10:38:00,35.59,35.59,35.57,35.585,31232.0,1.0,0.0,0.15
2016-01-04,10:39:00,35.58,35.61,35.57,35.605,41902.0,1.0,0.0,0.15
2016-01-04,10:40:00,35.61,35.61,35.57,35.57,35952.0,1.0,0.0,0.15
2016-01-04,10:41:00,35.56,35.58,35.56,35.58,8169.0,1.0,0.0,0.15
2016-01-04,10:42:00,35.575,35.575,35.525,35.55,54419.0,1.0,0.0,0.15
2016-01-04,10:43:00,35.54,35.59,35.53,35.59,21067.0,1.0,0.0,0.15
2016-01-04,10:44:00,35.595,35.62,35.585,35.6,47951.0,1.0,0.0,0.15
2016-01-04,10:45:00,35.6,35.61,35.575,35.59,15741.0,1.0,0.0,0.15
2016-01-04,10:46:00,35.58,35.6,35.56,35.56,37924.0,1.0,0.0,0.15
2016-01-04,10:47:00,35.56,35.57,35.55,35.55,12807.0,1.0,0.0,0.15
2016-01-04,10:48:00,35.5575,35.57,35.555,35.57,26283.0,1.0,0.0,0.15
2016-01-04,10:49:00,35.57,35.59,35.55,35.58,60080.0,1.0,0.0,0.15
2016-01-04,10:50:00,35.58,35.59,35.56,35.565,30746.0,1.0,0.0,0.15
2016-01-04,10:51:00,35.56,35.5601,35.515,35.52,49267.0,1.0,0.0,0.15
2016-01-04,10:52:00,35.52,35.56,35.49,35.524,42112.0,1.0,0.0,0.15
2016-01-04,10:53:00,35.52,35.5275,35.47,35.4735,71957.0,1.0,0.0,0.15
2016-01-04,10:54:00,35.47,35.505,35.47,35.485,36729.0,1.0,0.0,0.15
2016-01-04,10:55:00,35.48,35.485,35.43,35.44,48840.0,1.0,0.0,0.15
2016-01-04,10:56:00,35.445,35.45,35.44,35.4473,17440.0,1.0,0.0,0.15
2016-01-04,10:57:00,35.44,35.485,35.43,35.4798,41617.0,1.0,0.0,0.15
2016-01-04,10:58:00,35.475,35.48,35.44,35.46,16622.0,1.0,0.0,0.15
2016-01-04,10:59:00,35.45,35.46,35.44,35.46,15686.0,1.0,0.0,0.15
2016-01-04,11:00:00,35.46,35.46,35.42,35.42,37373.0,1.0,0.0,0.15
2016-01-04,11:01:00,35.42,35.43,35.375,35.4101,134216.0,1.0,0.0,0.15
2016-01-04,11:02:00,35.42,35.43,35.4,35.4199,77206.0,1.0,0.0,0.15
2016-01-04,11:03:00,35.415,35.44,35.41,35.435,15218.0,1.0,0.0,0.15
2016-01-04,11:04:00,35.43,35.45,35.43,35.43,14909.0,1.0,0.0,0.15
2016-01-04,11:05:00,35.42,35.43,35.4,35.41,59885.0,1.0,0.0,0.15
2016-01-04,11:06:00,35.42,35.43,35.4,35.415,20273.0,1.0,0.0,0.15
2016-01-04,11:07:00,35.42,35.43,35.36,35.375,52234.0,1.0,0.0,0.15
2016-01-04,11:08:00,35.38,35.44,35.38,35.41,67670.0,1.0,0.0,0.15
2016-01-04,11:09:00,35.4131,35.42,35.38,35.39,29323.0,1.0,0.0,0.15
2016-01-04,11:10:00,35.39,35.4,35.37,35.37,33243.0,1.0,0.0,0.15
2016-01-04,11:11:00,35.37,35.41,35.36,35.405,27656.0,1.0,0.0,0.15
2016-01-04,11:12:00,35.41,35.45,35.41,35.4499,17209.0,1.0,0.0,0.15
2016-01-04,11:13:00,35.44,35.48,35.42,35.44,49259.0,1.0,0.0,0.15
2016-01-04,11:14:00,35.435,35.44,35.41,35.41,38425.0,1.0,0.0,0.15
2016-01-04,11:15:00,35.42,35.45,35.415,35.45,19172.0,1.0,0.0,0.15
2016-01-04,11:16:00,35.44,35.45,35.42,35.4301,22112.0,1.0,0.0,0.15
2016-01-04,11:17:00,35.4399,35.45,35.4201,35.4449,9965.0,1.0,0.0,0.15
2016-01-04,11:18:00,35.44,35.449,35.41,35.41,29835.0,1.0,0.0,0.15
2016-01-04,11:19:00,35.415,35.4465,35.4,35.42,100840.0,1.0,0.0,0.15
2016-01-04,11:20:00,35.43,35.44,35.42,35.4272,8780.0,1.0,0.0,0.15
2016-01-04,11:21:00,35.425,35.43,35.395,35.43,40324.0,1.0,0.0,0.15
2016-01-04,11:22:00,35.425,35.45,35.4206,35.445,21702.0,1.0,0.0,0.15
2016-01-04,11:23:00,35.45,35.47,35.4431,35.47,39581.0,1.0,0.0,0.15
2016-01-04,11:24:00,35.47,35.48,35.46,35.475,16488.0,1.0,0.0,0.15
2016-01-04,11:25:00,35.48,35.48,35.45,35.455,48260.0,1.0,0.0,0.15
2016-01-04,11:26:00,35.455,35.48,35.45,35.48,24654.0,1.0,0.0,0.15
2016-01-04,11:27:00,35.4851,35.51,35.48,35.51,17980.0,1.0,0.0,0.15
2016-01-04,11:28:00,35.507,35.51,35.47,35.47,43726.0,1.0,0.0,0.15
2016-01-04,11:29:00,35.47,35.5,35.47,35.495,14109.0,1.0,0.0,0.15
2016-01-04,11:30:00,35.5,35.5,35.465,35.4871,44502.0,1.0,0.0,0.15
2016-01-04,11:31:00,35.48,35.49,35.455,35.48,24348.0,1.0,0.0,0.15
2016-01-04,11:32:00,35.49,35.5,35.49,35.492,6883.0,1.0,0.0,0.15
2016-01-04,11:33:00,35.5,35.54,35.495,35.52,56650.0,1.0,0.0,0.15
2016-01-04,11:34:00,35.52,35.53,35.51,35.51,58731.0,1.0,0.0,0.15
2016-01-04,11:35:00,35.51,35.52,35.495,35.5,24298.0,1.0,0.0,0.15
2016-01-04,11:36:00,35.5,35.52,35.48,35.49,46715.0,1.0,0.0,0.15
2016-01-04,11:37:00,35.485,35.51,35.485,35.495,24738.0,1.0,0.0,0.15
2016-01-04,11:38:00,35.51,35.5238,35.505,35.52,7505.0,1.0,0.0,0.15
2016-01-04,11:39:00,35.52,35.53,35.51,35.5101,24777.0,1.0,0.0,0.15
