Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,51.5353,51.6592,47.026,47.135,19857819.59629999,1,0,0.0
2016-01-15,47.244,47.4918,45.6385,46.2728,18981679.349999998,1,0,0.0
2016-01-25,47.0161,48.4036,45.3511,46.9764,17955340.912100013,1,0,0.0
2016-02-01,47.2837,48.45,46.2,48.36,13124408.177000007,1,0,0.0
2016-02-08,47.51,48.665,45.83,46.8,21131314.000000007,1,0,0.0
2016-02-16,46.38,50.0672,46.08,49.99,15692022.000000007,1,0,0.0
2016-02-23,50.05,52.06,50.05,51.42,10127454.000000007,1,0,0.0
2016-03-01,51.14,52.61,50.661,52.61,7318852.000000007,1,0,0.0
2016-03-08,52.41,52.81,51.8,52.06,7890756.000000007,1,0,0.0
2016-03-15,52.31,53.21,51.43,53.12,6532732.000000007,1,0,0.0
2016-03-22,52.78,54.47,52.76,54.05,7096974.000000007,1,0,0.0
