Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:36:00,52.85,53.04,52.59,52.88,55693.0,1.0,0.0,0.0
2016-01-04,09:43:00,52.87,52.8999,52.59,52.63,72266.0,1.0,0.0,0.0
2016-01-04,09:50:00,52.62,52.8249,52.6,52.81,28839.0,1.0,0.0,0.0
2016-01-04,09:57:00,52.8,52.86,52.77,52.7905,42662.0,1.0,0.0,0.0
2016-01-04,10:04:00,52.79,52.8,52.61,52.6301,29847.0,1.0,0.0,0.0
2016-01-04,10:11:00,52.63,52.92,52.61,52.87,45091.0,1.0,0.0,0.0
2016-01-04,10:18:00,52.9,52.9,52.74,52.75,21083.0,1.0,0.0,0.0
2016-01-04,10:25:00,52.75,52.75,52.59,52.5999,25901.0,1.0,0.0,0.0
2016-01-04,10:32:00,52.61,52.69,52.59,52.69,46150.0,1.0,0.0,0.0
2016-01-04,10:39:00,52.68,52.85,52.66,52.78,31820.0,1.0,0.0,0.0
2016-01-04,10:46:00,52.77,52.9,52.74,52.89,31806.0,1.0,0.0,0.0
2016-01-04,10:53:00,52.89,52.89,52.825,52.835,83943.0,1.0,0.0,0.0
2016-01-04,11:00:00,52.84,52.87,52.68,52.705,48408.0,1.0,0.0,0.0
2016-01-04,11:07:00,52.69,52.705,52.59,52.6001,43600.0,1.0,0.0,0.0
2016-01-04,11:14:00,52.62,52.69,52.55,52.64,23739.0,1.0,0.0,0.0
2016-01-04,11:21:00,52.65,52.68,52.6,52.65,28882.0,1.0,0.0,0.0
2016-01-04,11:28:00,52.65,52.77,52.65,52.75,29581.0,1.0,0.0,0.0
2016-01-04,11:35:00,52.74,52.9,52.73,52.88,27648.0,1.0,0.0,0.0
2016-01-04,11:42:00,52.88,52.96,52.8101,52.95,26509.0,1.0,0.0,0.0
2016-01-04,11:49:00,52.94,52.96,52.79,52.845,40174.0,1.0,0.0,0.0
2016-01-04,11:56:00,52.86,52.89,52.71,52.76,35023.0,1.0,0.0,0.0
2016-01-04,12:03:00,52.76,52.775,52.68,52.7399,34506.0,1.0,0.0,0.0
2016-01-04,12:10:00,52.72,52.765,52.69,52.74,24977.0,1.0,0.0,0.0
2016-01-04,12:17:00,52.75,52.86,52.7,52.8399,24612.0,1.0,0.0,0.0
2016-01-04,12:24:00,52.84,52.9,52.78,52.85,15393.0,1.0,0.0,0.0
2016-01-04,12:31:00,52.84,52.93,52.81,52.8301,15737.0,1.0,0.0,0.0
2016-01-04,12:38:00,52.83,52.96,52.82,52.92,14719.0,1.0,0.0,0.0
2016-01-04,12:45:00,52.93,52.95,52.85,52.93,15707.0,1.0,0.0,0.0
2016-01-04,12:52:00,52.94,52.9542,52.88,52.93,16033.0,1.0,0.0,0.0
2016-01-04,12:59:00,52.95,52.9799,52.9,52.94,14341.0,1.0,0.0,0.0
2016-01-04,13:06:00,52.9225,52.97,52.9125,52.95,14161.0,1.0,0.0,0.0
2016-01-04,13:13:00,52.94,52.99,52.91,52.95,28446.0,1.0,0.0,0.0
2016-01-04,13:20:00,52.94,52.98,52.88,52.89,25623.0,1.0,0.0,0.0
2016-01-04,13:27:00,52.9,52.91,52.81,52.86,16075.0,1.0,0.0,0.0
2016-01-04,13:34:00,52.86,52.88,52.81,52.85,11790.0,1.0,0.0,0.0
2016-01-04,13:41:00,52.85,52.875,52.79,52.795,19302.0,1.0,0.0,0.0
2016-01-04,13:48:00,52.8,52.81,52.71,52.76,18891.0,1.0,0.0,0.0
2016-01-04,13:55:00,52.76,52.8,52.75,52.76,12603.0,1.0,0.0,0.0
2016-01-04,14:02:00,52.7799,52.78,52.6,52.638999999999996,32438.0,1.0,0.0,0.0
2016-01-04,14:09:00,52.64,52.69,52.59,52.69,18846.0,1.0,0.0,0.0
2016-01-04,14:16:00,52.68,52.73,52.65,52.72,22878.0,1.0,0.0,0.0
2016-01-04,14:23:00,52.715,52.7299,52.66,52.67,23059.0,1.0,0.0,0.0
2016-01-04,14:30:00,52.67,52.71,52.63,52.64,13813.0,1.0,0.0,0.0
2016-01-04,14:37:00,52.65,52.65,52.52,52.54,15371.0,1.0,0.0,0.0
2016-01-04,14:44:00,52.559,52.64,52.54,52.6201,15241.0,1.0,0.0,0.0
2016-01-04,14:51:00,52.63,52.6872,52.6,52.65,18599.0,1.0,0.0,0.0
2016-01-04,14:58:00,52.65,52.66,52.6,52.65,22039.0,1.0,0.0,0.0
2016-01-04,15:06:00,52.6424,52.68,52.55,52.56,23747.0,1.0,0.0,0.0
2016-01-04,15:13:00,52.56,52.61,52.53,52.58,32257.0,1.0,0.0,0.0
2016-01-04,15:20:00,52.58,52.62,52.55,52.55,36936.0,1.0,0.0,0.0
2016-01-04,15:27:00,52.55,52.56,52.46,52.49,46425.0,1.0,0.0,0.0
2016-01-04,15:34:00,52.48,52.58,52.48,52.55,52887.0,1.0,0.0,0.0
2016-01-04,15:41:00,52.55,52.655,52.55,52.62,43325.0,1.0,0.0,0.0
2016-01-04,15:48:00,52.62,52.82,52.61,52.79,63840.0,1.0,0.0,0.0
2016-01-04,15:55:00,52.79,52.93,52.79,52.88,126567.0,1.0,0.0,0.0
2016-01-05,09:32:00,52.89,52.96,52.66,52.69,220331.0,1.0,0.0,0.0
2016-01-05,09:39:00,52.69,52.77,52.4,52.4,84311.0,1.0,0.0,0.0
2016-01-05,09:46:00,52.4,52.48,52.3,52.33,43904.0,1.0,0.0,0.0
2016-01-05,09:53:00,52.34,52.35,52.05,52.06,31752.0,1.0,0.0,0.0
2016-01-05,10:00:00,52.07,52.13,51.96,52.1,59375.0,1.0,0.0,0.0
2016-01-05,10:07:00,52.12,52.13,51.92,51.92,38464.0,1.0,0.0,0.0
2016-01-05,10:14:00,51.91,52.0,51.91,51.97,23876.0,1.0,0.0,0.0
2016-01-05,10:21:00,51.97,52.0,51.93,51.96,33155.0,1.0,0.0,0.0
2016-01-05,10:28:00,51.96,52.12,51.96,52.12,51958.0,1.0,0.0,0.0
2016-01-05,10:35:00,52.12,52.5,52.1,52.49,115616.0,1.0,0.0,0.0
2016-01-05,10:42:00,52.48,52.58,52.46,52.56,45629.0,1.0,0.0,0.0
2016-01-05,10:49:00,52.57,52.7799,52.57,52.76,15218.0,1.0,0.0,0.0
2016-01-05,10:56:00,52.75,52.85,52.72,52.82,19103.0,1.0,0.0,0.0
2016-01-05,11:03:00,52.83,52.93,52.815,52.87,24064.0,1.0,0.0,0.0
2016-01-05,11:10:00,52.87,52.9,52.73,52.73,16837.0,1.0,0.0,0.0
2016-01-05,11:17:00,52.72,52.73,52.61,52.68,14910.0,1.0,0.0,0.0
2016-01-05,11:24:00,52.69,52.74,52.62,52.675,19893.0,1.0,0.0,0.0
2016-01-05,11:31:00,52.67,52.74,52.67,52.73,17923.0,1.0,0.0,0.0
2016-01-05,11:38:00,52.74,52.835,52.74,52.77,23071.0,1.0,0.0,0.0
2016-01-05,11:45:00,52.7699,52.86,52.7699,52.84,14901.0,1.0,0.0,0.0
2016-01-05,11:52:00,52.84,52.91,52.8,52.83,11351.0,1.0,0.0,0.0
2016-01-05,11:59:00,52.84,52.87,52.79,52.83,17800.0,1.0,0.0,0.0
2016-01-05,12:06:00,52.83,52.84,52.78,52.82,14340.0,1.0,0.0,0.0
2016-01-05,12:13:00,52.83,52.87,52.79,52.83,21406.0,1.0,0.0,0.0
2016-01-05,12:20:00,52.83,52.85,52.77,52.81,16475.0,1.0,0.0,0.0
2016-01-05,12:27:00,52.82,52.84,52.78,52.82,10071.0,1.0,0.0,0.0
2016-01-05,12:34:00,52.83,52.86,52.81,52.82,10237.0,1.0,0.0,0.0
2016-01-05,12:41:00,52.81,52.91,52.8,52.8816,15426.0,1.0,0.0,0.0
2016-01-05,12:48:00,52.89,52.91,52.85,52.88,10957.0,1.0,0.0,0.0
2016-01-05,12:55:00,52.87,52.92,52.86,52.9,30269.0,1.0,0.0,0.0
2016-01-05,13:02:00,52.9,52.94,52.89,52.92,15388.0,1.0,0.0,0.0
2016-01-05,13:09:00,52.92,53.0,52.91,52.93,16262.0,1.0,0.0,0.0
2016-01-05,13:16:00,52.93,52.99,52.93,52.98,92377.0,1.0,0.0,0.0
2016-01-05,13:23:00,52.97,53.01,52.96,53.0,21230.0,1.0,0.0,0.0
2016-01-05,13:30:00,53.01,53.1,53.01,53.07,37974.0,1.0,0.0,0.0
2016-01-05,13:37:00,53.08,53.09,53.023999999999994,53.03,11887.0,1.0,0.0,0.0
2016-01-05,13:44:00,53.02,53.13,53.01,53.13,14414.0,1.0,0.0,0.0
2016-01-05,13:51:00,53.13,53.17,53.1,53.14,13391.0,1.0,0.0,0.0
2016-01-05,13:58:00,53.13,53.17,53.12,53.16,14667.0,1.0,0.0,0.0
2016-01-05,14:05:00,53.16,53.16,53.09,53.09,18252.0,1.0,0.0,0.0
2016-01-05,14:12:00,53.0899,53.1,53.04,53.06,13351.0,1.0,0.0,0.0
2016-01-05,14:19:00,53.06,53.1,53.03,53.08,9552.0,1.0,0.0,0.0
2016-01-05,14:26:00,53.08,53.16,53.075,53.15,18805.0,1.0,0.0,0.0
2016-01-05,14:33:00,53.15,53.21,53.13,53.19,11924.0,1.0,0.0,0.0
2016-01-05,14:40:00,53.19,53.21,53.15,53.18,17986.0,1.0,0.0,0.0
2016-01-05,14:47:00,53.18,53.21,53.1,53.1,20328.0,1.0,0.0,0.0
2016-01-05,14:54:00,53.115,53.15,53.1,53.15,132431.0,1.0,0.0,0.0
2016-01-05,15:01:00,53.14,53.15,53.08,53.11,47736.0,1.0,0.0,0.0
2016-01-05,15:08:00,53.1,53.11,53.06,53.09,27496.0,1.0,0.0,0.0
2016-01-05,15:15:00,53.09,53.15,53.07,53.15,36785.0,1.0,0.0,0.0
2016-01-05,15:22:00,53.1465,53.15,53.09,53.13,28096.0,1.0,0.0,0.0
2016-01-05,15:29:00,53.13,53.19,53.1,53.1499,55655.0,1.0,0.0,0.0
2016-01-05,15:36:00,53.14,53.19,53.09,53.13,75727.0,1.0,0.0,0.0
