Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,17.4818,17.5117,15.6809,15.8202,40773928.86899999,1,0,0.0
2016-01-15,15.9694,16.9943,15.4222,15.8699,38767040.50500001,1,0,0.0
2016-01-25,16.059,16.9346,14.5367,15.8202,41831506.32799999,1,0,0.0
2016-02-01,15.9197,16.7853,15.5018,16.4172,42839724.845,1,0,0.0
2016-02-08,16.2381,16.8749,15.5018,15.7008,30978794.444500003,1,0,0.0
2016-02-16,15.4719,16.5963,15.1337,16.5764,28706475.558,1,0,0.0
2016-02-23,16.7256,17.1982,16.1784,17.054000000000002,21643663.02140001,1,0,0.0
2016-03-01,16.855,17.5913,16.6858,17.4918,26247753.769000012,1,0,0.0
2016-03-08,17.4022,18.2131,17.2828,17.81,26953815.00300001,1,0,0.09
2016-03-15,17.93,18.51,17.63,18.26,18055582.000000015,1,0,0.0
2016-03-22,17.95,18.82,17.8,18.28,20930761.000000015,1,0,0.0
