Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,11:30:00,48.256,48.9907,47.8887,47.9582,737287.4560000004,1.0,0.0,0.0
2016-01-04,13:31:00,47.9682,48.8616,47.8292,48.7822,373173.2968000004,1.0,0.0,0.0
2016-01-04,15:31:00,48.7627,48.9013,48.6631,48.7723,299939.14810000034,1.0,0.0,0.0
2016-01-05,11:01:00,48.7723,49.1991,47.8987,48.4943,496877.0390000005,1.0,0.0,0.0
2016-01-05,13:01:00,48.5042,48.5042,47.879,48.0575,147211.9162000003,1.0,0.0,0.0
2016-01-05,15:01:00,48.0576,48.523999999999994,48.0079,48.4347,161308.61640000026,1.0,0.0,0.0
2016-01-06,10:33:00,48.4347,48.5439,47.5115,47.8093,374030.7580000002,1.0,0.0,0.0
2016-01-06,12:35:00,47.7984,47.8689,47.2733,47.2931,239976.39300000021,1.0,0.0,0.0
2016-01-06,14:37:00,47.303000000000004,47.4222,47.0449,47.1541,157674.09800000014,1.0,0.0,0.0
2016-01-07,10:09:00,47.1694,47.3924,46.0721,46.5684,609526.3250000003,1.0,0.0,0.0
2016-01-07,12:10:00,46.5783,46.8861,46.2309,46.3798,311726.9313,1.0,0.0,0.0
2016-01-07,14:12:00,46.3699,46.5108,45.9827,46.1117,207741.68020000032,1.0,0.0,0.0
2016-01-08,09:42:00,46.0919,46.6478,45.9232,46.1515,601418.4114,1.0,0.0,0.0
2016-01-08,11:42:00,46.1018,46.1654,45.5062,45.5956,228384.0713999993,1.0,0.0,0.0
2016-01-08,13:42:00,45.5956,45.9529,45.5757,45.675,817580.1788999997,1.0,0.0,0.0
2016-01-08,15:42:00,45.6799,45.8537,45.4367,45.4864,308826.65609999985,1.0,0.0,0.0
2016-01-11,11:12:00,45.5062,45.943000000000005,44.7021,44.9205,598581.7029999988,1.0,0.0,0.0
2016-01-11,13:12:00,44.9205,45.0198,44.658,44.722,274518.9431999988,1.0,0.0,0.0
2016-01-11,15:12:00,44.7204,45.0992,44.5036,44.9106,689603.421999999,1.0,0.0,0.0
2016-01-12,10:43:00,44.9106,45.9132,44.8212,45.2382,864626.8239999986,1.0,0.0,0.0
2016-01-12,12:43:00,45.2084,45.675,44.851000000000006,44.8709,324887.6369999987,1.0,0.0,0.0
2016-01-12,14:44:00,44.8709,45.1687,44.7418,45.1389,232760.9047999987,1.0,0.0,0.0
2016-01-13,10:14:00,45.1488,46.6578,45.1389,46.1216,802490.676999999,1.0,0.0,0.0
2016-01-13,12:15:00,46.0721,46.082,45.4268,45.5681,316275.93399999884,1.0,0.0,0.0
2016-01-13,14:15:00,45.5757,45.7147,45.0297,45.1488,278489.84569999855,1.0,0.0,0.0
2016-01-14,09:45:00,45.1389,45.1488,44.5631,44.7021,775646.976999999,1.0,0.0,0.0
2016-01-14,11:45:00,44.7071,45.665,44.176,45.1588,504327.38099999935,1.0,0.0,0.0
2016-01-14,13:47:00,45.1588,45.5757,44.8808,45.3275,240749.05039999943,1.0,0.0,0.0
2016-01-14,15:47:00,45.3275,45.5956,45.1687,45.3082,495098.11469999945,1.0,0.0,0.0
2016-01-15,11:18:00,45.2977,45.3374,43.8478,44.0965,981894.7119999997,1.0,0.0,0.0
2016-01-15,13:19:00,44.1164,44.3149,43.6697,44.1782,407220.2339999997,1.0,0.0,0.0
2016-01-15,15:19:00,44.1859,44.722,44.0668,44.3566,377733.4939999999,1.0,0.0,0.0
2016-01-19,10:49:00,44.3447,45.4367,43.8683,44.2852,541450.8449999992,1.0,0.0,0.0
2016-01-19,12:49:00,44.2951,44.4837,43.7789,43.8136,308168.0299999988,1.0,0.0,0.0
2016-01-19,14:49:00,43.7987,44.0568,43.223,43.223,245070.493999999,1.0,0.0,0.0
2016-01-20,10:19:00,43.2266,43.9476,42.3499,42.667,621419.933999999,1.0,0.0,0.0
2016-01-20,12:19:00,42.6571,42.9152,42.0615,42.0813,610521.483299999,1.0,0.0,0.0
2016-01-20,14:19:00,42.0813,42.398999999999994,41.6942,42.2898,432673.52299999923,1.0,0.0,0.0
2016-01-21,09:49:00,42.27,43.2031,41.9622,42.2507,889361.0479999983,1.0,0.0,0.0
2016-01-21,11:49:00,42.3097,42.9639,42.2203,42.9549,723527.380999999,1.0,0.0,0.0
2016-01-21,13:49:00,42.9488,43.3322,42.538000000000004,43.0244,526148.0389999981,1.0,0.0,0.0
2016-01-21,15:49:00,43.0046,43.3719,42.5281,43.1833,516126.1659999978,1.0,0.0,0.0
2016-01-22,11:19:00,43.1634,44.9404,43.083999999999996,43.4811,848347.0509999982,1.0,0.0,0.0
