Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,125.19,127.09,114.97,115.8,22227087.0,1,0,0
2016-01-15,116.57,118.79,108.46,113.09,20246994.0,1,0,0
2016-01-25,114.55,117.9,103.5,107.75,17330619.0,1,0,0
2016-02-01,110.35,124.1,107.96,122.26,15017467.0,1,0,0
2016-02-08,118.43,133.79,112.04,115.18,15472206.0,1,0,0
2016-02-16,113.04,117.8,105.21,115.45,20374792.0,1,0,0
2016-02-23,117.7,126.54,116.14,119.61,13196604.0,1,0,0
2016-03-01,117.67,128.16,115.17,128.12,11010656.0,1,0,0
2016-03-08,127.3,133.3,122.08,125.67,18236014.0,1,0,0
2016-03-15,127.76,137.98,124.29,135.61,11663573.0,1,0,0
2016-03-22,136.34,145.87,132.942,140.2,12377233.0,1,0,0
