Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,49.66,50.8,48.72,50.72,1392317.0,1,0,0
2016-01-05,50.76,50.97,47.36,47.53,1548499.0,1,0,0
2016-01-06,46.63,46.69,44.1544,44.62,2529276.0,1,0,0
2016-01-07,44.5,47.11,44.11,45.64,2940771.0,1,0,0
2016-01-08,43.05,45.32,42.4,44.49,7302549.0,1,0,0
2016-01-11,44.66,44.86,42.8,44.22,2093153.0,1,0,0
2016-01-12,44.48,45.77,44.01,44.78,1245427.0,1,0,0
2016-01-13,40.74,42.25,38.9,40.41,5515306.0,1,0,0
2016-01-14,40.63,40.67,38.96,39.4225,2113092.0,1,0,0
2016-01-15,37.99,38.06,35.16,36.53,3385173.0,1,0,0
2016-01-19,37.21,37.5,35.7201,36.26,1830109.0,1,0,0
2016-01-20,35.54,37.94,35.3,37.06,1825301.0,1,0,0
2016-01-21,37.45,38.4,36.6,37.84,1234956.0,1,0,0
2016-01-22,38.81,41.15,38.26,41.08,2655534.0,1,0,0
2016-01-25,40.77,40.84,39.46,39.76,1290063.0,1,0,0
2016-01-26,40.32,40.5,39.025,39.74,1444890.0,1,0,0
2016-01-27,39.31,39.42,36.8,37.02,2256922.0,1,0,0
2016-01-28,37.11,37.71,36.13,36.66,1784196.0,1,0,0
2016-01-29,37.26,39.99,37.18,39.6,2223215.0,1,0,0
2016-02-01,39.45,40.55,38.33,39.97,1465436.0,1,0,0
2016-02-02,39.25,39.35,37.07,37.15,1274968.0,1,0,0
2016-02-03,37.29,37.59,35.52,37.05,1253586.0,1,0,0
2016-02-04,37.39,38.94,37.09,38.78,2675468.0,1,0,0
2016-02-05,36.62,38.17,34.9,37.25,3515173.0,1,0,0
2016-02-08,36.61,37.22,35.43,36.41,2369658.0,1,0,0
2016-02-09,35.65,37.06,35.01,35.14,1438102.0,1,0,0
2016-02-10,35.31,36.67,34.6,35.36,1201083.0,1,0,0
2016-02-11,34.54,34.85,33.3,34.53,1464483.0,1,0,0
2016-02-12,35.2,37.739000000000004,34.82,37.56,1949867.0,1,0,0
2016-02-16,37.66,41.23,37.5,40.77,2553995.0,1,0,0
2016-02-17,41.23,44.72,41.04,41.59,3980725.0,1,0,0
2016-02-18,41.6,42.3,39.91,40.4,2150695.0,1,0,0
2016-02-19,40.12,42.12,40.12,41.86,1885385.0,1,0,0
2016-02-22,42.84,43.0,41.22,41.96,1864811.0,1,0,0
2016-02-23,41.72,42.33,40.95,41.49,1325642.0,1,0,0
2016-02-24,40.98,42.48,40.54,42.15,1455546.0,1,0,0
2016-02-25,42.31,43.06,41.42,42.67,1244141.0,1,0,0
2016-02-26,43.1,44.14,42.72,43.44,1279993.0,1,0,0
2016-02-29,43.5,46.65,43.47,45.09,1907792.0,1,0,0
2016-03-01,45.52,48.2425,45.4,47.36,2260067.0,1,0,0
2016-03-02,46.66,48.29,46.64,47.65,1754367.0,1,0,0
2016-03-03,47.73,49.13,47.22,49.09,1801035.0,1,0,0
2016-03-04,49.57,50.82,48.59,49.9,2404916.0,1,0,0
2016-03-07,49.5,50.07,48.3775,49.06,2115854.0,1,0,0
2016-03-08,48.9,49.1,46.86,47.11,2156786.0,1,0,0
2016-03-09,47.5,48.68,47.13,48.19,1331628.0,1,0,0
2016-03-10,48.2,48.91,46.68,47.39,1294233.0,1,0,0
2016-03-11,48.07,49.11,47.86,48.63,1007640.0,1,0,0
2016-03-14,48.31,49.13,47.59,48.72,1570765.0,1,0,0
2016-03-15,49.36,49.9,48.1,49.27,1180627.0,1,0,0
2016-03-16,48.93,50.17,48.14,48.98,1532098.0,1,0,0
2016-03-17,48.69,49.43,48.24,49.2,1279509.0,1,0,0
2016-03-18,49.39,51.15,49.0,50.69,1951916.0,1,0,0
2016-03-21,50.65,51.2,50.0,50.64,726005.0,1,0,0
2016-03-22,50.35,51.86,50.16,51.76,1137528.0,1,0,0
2016-03-23,51.72,51.82,49.5,49.52,836616.0,1,0,0
2016-03-24,49.23,49.47,48.62,49.24,955513.0,1,0,0
