Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,55.5553,56.9792,50.1139,50.2033,4909708.6734,1,0,0.0
2016-01-15,50.5608,51.3353,47.3635,48.9025,4918685.008800002,1,0,0.0
2016-01-25,49.5579,51.5438,44.7967,48.5451,4990431.336,1,0,0.0
2016-02-01,49.0118,55.0787,48.7338,54.2942,5927857.0986,1,0,0.0
2016-02-08,53.5098,56.8957,49.0713,55.5652,8161373.046400001,1,0,0.0
2016-02-16,54.611999999999995,56.4688,50.7494,55.9028,5118680.198000001,1,0,0.0
2016-02-23,56.6872,58.58,55.6,56.67,3786945.9150000014,1,0,0.0
2016-03-01,55.6,58.88,54.21,58.49,3205418.000000001,1,0,0.0
2016-03-08,58.31,63.08,58.0435,59.77,4770836.000000001,1,0,0.0
2016-03-15,60.15,62.05,58.84,60.03,3039482.000000001,1,0,0.0
2016-03-22,59.84,66.36,59.84,65.49,3835670.000000001,1,0,0.0
