Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,99.0904,99.2993,92.8027,94.8422,7551779.9399999995,1,0,0.0
2016-01-11,92.7032,94.2752,90.9423,93.1111,6908765.923700001,1,0,0.0
2016-01-14,94.0165,95.1606,85.0625,87.4403,9729585.365999997,1,0,0.0
2016-01-20,84.4258,85.5898,75.8101,82.0281,14657228.084999997,1,0,0.0
2016-01-25,82.9832,87.88799999999999,82.4062,82.9534,8352311.881,1,0,0.0
2016-01-28,83.2618,85.3311,75.1734,77.9292,9960225.376200011,1,0,0.0
2016-02-02,77.6606,85.2615,68.9454,71.3331,30959917.159999996,1,0,0.0
2016-02-05,72.9548,75.1037,68.1197,69.2439,20398919.416000016,1,0,0.0
2016-02-10,67.6919,70.592,63.8815,69.035,14444892.815300016,1,0,0.0
2016-02-16,66.9954,72.139,66.6273,72.139,8509496.430000015,1,0,0.0
2016-02-19,71.9201,73.5617,68.47,70.85,9306438.733000016,1,0,0.0
2016-02-24,70.79,76.25,69.97,72.78,12643094.000000015,1,0,0.0
2016-02-29,72.91,75.88,72.62,74.36,5394244.000000015,1,0,0.0
2016-03-03,75.05,76.84,73.32,75.68,8396039.000000015,1,0,0.0
2016-03-08,75.77,75.79,70.53,70.63,12234251.000000015,1,0,0.0
2016-03-11,71.06,72.88,68.98,72.83,9592104.000000015,1,0,0.0
2016-03-16,72.83,74.67,71.57,74.66,6664581.000000015,1,0,0.0
2016-03-21,74.29,78.31,73.47,78.26,8708366.000000015,1,0,0.0
2016-03-24,76.22,76.922,72.5266,74.45,7311597.000000015,1,0,0.0
