Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:32:00,9.2803,9.3101,9.2307,9.3101,586536.9,1.0,0.0,0.0
2016-01-04,09:35:00,9.3101,9.3498,9.2803,9.32,440957.0,1.0,0.0,0.0
2016-01-04,09:38:00,9.32,9.3399,9.3101,9.325,594398.0,1.0,0.0,0.0
2016-01-04,09:41:00,9.3299,9.3796,9.3299,9.3448,850222.3,1.0,0.0,0.0
2016-01-04,09:44:00,9.3498,9.3498,9.32,9.32,177331.70000000007,1.0,0.0,0.0
2016-01-04,09:47:00,9.32,9.3299,9.3101,9.325,126474.70000000006,1.0,0.0,0.0
2016-01-04,09:50:00,9.3299,9.3796,9.325,9.3696,138188.0000000001,1.0,0.0,0.0
2016-01-04,09:53:00,9.3796,9.4093,9.3796,9.4044,140689.6000000001,1.0,0.0,0.0
2016-01-04,09:56:00,9.3994,9.4093,9.3616,9.3796,116370.30000000012,1.0,0.0,0.0
2016-01-04,09:59:00,9.3696,9.3994,9.3696,9.3994,216878.50000000012,1.0,0.0,0.0
2016-01-04,10:02:00,9.3994,9.3994,9.32,9.325,430366.6000000001,1.0,0.0,0.0
2016-01-04,10:05:00,9.3299,9.3399,9.32,9.32,212806.90000000008,1.0,0.0,0.0
2016-01-04,10:08:00,9.325,9.3399,9.32,9.3299,118730.90000000005,1.0,0.0,0.0
2016-01-04,10:11:00,9.3299,9.3399,9.3151,9.3299,135031.50000000006,1.0,0.0,0.0
2016-01-04,10:14:00,9.3299,9.3597,9.325,9.3597,102349.90000000002,1.0,0.0,0.0
2016-01-04,10:17:00,9.3597,9.3696,9.3498,9.3647,188257.20000000007,1.0,0.0,0.0
2016-01-04,10:20:00,9.3597,9.3746,9.3448,9.3696,111200.80000000009,1.0,0.0,0.0
2016-01-04,10:23:00,9.3696,9.3796,9.3299,9.3349,80791.2000000001,1.0,0.0,0.0
2016-01-04,10:26:00,9.3399,9.3448,9.3299,9.3399,85472.1000000001,1.0,0.0,0.0
2016-01-04,10:29:00,9.3498,9.3597,9.3299,9.3349,81291.80000000009,1.0,0.0,0.0
2016-01-04,10:32:00,9.3299,9.3399,9.3101,9.3101,148371.9000000001,1.0,0.0,0.0
2016-01-04,10:35:00,9.3101,9.32,9.3051,9.3151,202654.28000000012,1.0,0.0,0.0
2016-01-04,10:38:00,9.3151,9.3349,9.3101,9.3349,88322.30000000016,1.0,0.0,0.0
2016-01-04,10:41:00,9.3299,9.3349,9.3002,9.31,61184.100000000144,1.0,0.0,0.0
2016-01-04,10:44:00,9.3002,9.3299,9.2902,9.32,147294.91000000012,1.0,0.0,0.0
2016-01-04,10:47:00,9.3299,9.3299,9.3101,9.32,48984.170000000115,1.0,0.0,0.0
2016-01-04,10:50:00,9.32,9.3298,9.3051,9.32,127613.1000000001,1.0,0.0,0.0
2016-01-04,10:53:00,9.3151,9.32,9.3002,9.3002,73422.20000000008,1.0,0.0,0.0
2016-01-04,10:56:00,9.3002,9.3101,9.2803,9.2803,96301.70000000008,1.0,0.0,0.0
2016-01-04,10:59:00,9.2803,9.3002,9.2803,9.2803,58416.45000000008,1.0,0.0,0.0
2016-01-04,11:02:00,9.2804,9.2901,9.2605,9.2753,214186.3000000001,1.0,0.0,0.0
2016-01-04,11:05:00,9.2704,9.2902,9.2605,9.2654,110743.40000000011,1.0,0.0,0.0
2016-01-04,11:08:00,9.2605,9.2803,9.2605,9.2803,83057.1000000001,1.0,0.0,0.0
2016-01-04,11:11:00,9.2803,9.2853,9.2605,9.2654,250894.00000000006,1.0,0.0,0.0
2016-01-04,11:14:00,9.2674,9.2902,9.2674,9.2726,110458.31000000006,1.0,0.0,0.0
2016-01-04,11:17:00,9.2803,9.3002,9.2753,9.2902,103052.10000000005,1.0,0.0,0.0
2016-01-04,11:20:00,9.2902,9.2902,9.2605,9.2605,59410.75000000006,1.0,0.0,0.0
2016-01-04,11:23:00,9.2654,9.2902,9.2506,9.2871,82976.44000000006,1.0,0.0,0.0
2016-01-04,11:26:00,9.2803,9.2853,9.2654,9.2803,101415.90000000007,1.0,0.0,0.0
2016-01-04,11:29:00,9.2803,9.3002,9.2753,9.3002,76288.60000000006,1.0,0.0,0.0
2016-01-04,11:32:00,9.2952,9.3002,9.2803,9.3002,84660.00000000006,1.0,0.0,0.0
2016-01-04,11:35:00,9.3002,9.3101,9.2952,9.3051,38257.08000000006,1.0,0.0,0.0
2016-01-04,11:38:00,9.3101,9.32,9.3002,9.32,88137.96000000008,1.0,0.0,0.0
