Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:36:00,81.68,81.68,80.791,80.8601,47775.0,1.0,0.0,0.0
2016-01-04,09:43:00,80.95,81.259,80.67,80.77,41197.0,1.0,0.0,0.0
2016-01-04,09:50:00,80.8,81.02,80.63,80.9915,18636.0,1.0,0.0,0.0
2016-01-04,09:57:00,81.0,81.18,80.89,81.12,12003.0,1.0,0.0,0.0
2016-01-04,10:04:00,81.07,81.17,80.76,80.82,28382.0,1.0,0.0,0.0
2016-01-04,10:11:00,80.77,81.0,80.71,80.86,38141.0,1.0,0.0,0.0
2016-01-04,10:18:00,80.84,81.07,80.8,81.02,32704.0,1.0,0.0,0.0
2016-01-04,10:25:00,81.06,81.24,80.95,81.08,46042.0,1.0,0.0,0.0
2016-01-04,10:32:00,81.11,81.13,80.99,81.0699,37425.0,1.0,0.0,0.0
2016-01-04,10:39:00,81.08,81.11,80.96,81.107,57945.0,1.0,0.0,0.0
2016-01-04,10:46:00,81.09,81.13,80.97,81.05,22654.0,1.0,0.0,0.0
2016-01-04,10:53:00,81.0201,81.1199,80.91,80.92,16630.0,1.0,0.0,0.0
2016-01-04,11:00:00,80.96,81.05,80.9,81.0,84112.0,1.0,0.0,0.0
2016-01-04,11:07:00,80.98,81.03,80.83,80.8501,62554.0,1.0,0.0,0.0
2016-01-04,11:14:00,80.88,81.085,80.83,81.03,23586.0,1.0,0.0,0.0
2016-01-04,11:21:00,81.06,81.17,81.0001,81.115,23029.0,1.0,0.0,0.0
2016-01-04,11:28:00,81.14,81.25,81.11,81.15,54003.0,1.0,0.0,0.0
2016-01-04,11:35:00,81.17,81.41,81.168,81.27,29790.0,1.0,0.0,0.0
2016-01-04,11:42:00,81.25,81.43,81.18,81.38,34843.0,1.0,0.0,0.0
2016-01-04,11:49:00,81.38,81.51,81.36,81.47,18765.0,1.0,0.0,0.0
2016-01-04,11:56:00,81.47,81.49,81.33,81.425,29558.0,1.0,0.0,0.0
2016-01-04,12:03:00,81.43,81.47,81.25,81.25,25502.0,1.0,0.0,0.0
2016-01-04,12:10:00,81.25,81.34,81.14,81.19,9618.0,1.0,0.0,0.0
2016-01-04,12:17:00,81.2375,81.29,81.11,81.19,12446.0,1.0,0.0,0.0
2016-01-04,12:24:00,81.2499,81.25,81.12,81.12,24420.0,1.0,0.0,0.0
2016-01-04,12:31:00,81.11,81.24,81.1,81.13,24851.0,1.0,0.0,0.0
2016-01-04,12:38:00,81.1399,81.1399,81.03,81.09,21139.0,1.0,0.0,0.0
2016-01-04,12:45:00,81.13,81.21,81.04,81.1584,33259.0,1.0,0.0,0.0
2016-01-04,12:52:00,81.15,81.22,81.07,81.205,34096.0,1.0,0.0,0.0
2016-01-04,12:59:00,81.19,81.32,81.1,81.18,18904.0,1.0,0.0,0.0
2016-01-04,13:06:00,81.21,81.45,81.2,81.355,18362.0,1.0,0.0,0.0
2016-01-04,13:13:00,81.36,81.52,81.35,81.4111,14446.0,1.0,0.0,0.0
2016-01-04,13:20:00,81.4,81.5299,81.33,81.38,17021.0,1.0,0.0,0.0
2016-01-04,13:27:00,81.41,81.44,81.27,81.37,12484.0,1.0,0.0,0.0
2016-01-04,13:34:00,81.3301,81.4,81.3038,81.39,14556.0,1.0,0.0,0.0
2016-01-04,13:41:00,81.362,81.51,81.36,81.41,19032.0,1.0,0.0,0.0
2016-01-04,13:48:00,81.43,81.5,81.3,81.33,15607.0,1.0,0.0,0.0
2016-01-04,13:55:00,81.32,81.45,81.3,81.39,17586.0,1.0,0.0,0.0
2016-01-04,14:02:00,81.4,81.41,81.06,81.07,14152.0,1.0,0.0,0.0
2016-01-04,14:09:00,81.09,81.2,81.01,81.15,22708.0,1.0,0.0,0.0
2016-01-04,14:16:00,81.15,81.15,80.95,80.9699,11967.0,1.0,0.0,0.0
2016-01-04,14:23:00,80.97,81.34,80.96,81.2327,22113.0,1.0,0.0,0.0
2016-01-04,14:30:00,81.23,81.23,81.13,81.13,21389.0,1.0,0.0,0.0
2016-01-04,14:37:00,81.13,81.13,80.87,80.91,19594.0,1.0,0.0,0.0
2016-01-04,14:44:00,80.93,81.1099,80.91,81.06,18921.0,1.0,0.0,0.0
2016-01-04,14:51:00,81.1,81.14,80.97,80.985,21538.0,1.0,0.0,0.0
2016-01-04,14:58:00,80.9799,81.11,80.8875,81.09,25347.0,1.0,0.0,0.0
2016-01-04,15:05:00,81.09,81.16,80.91,80.97,28403.0,1.0,0.0,0.0
2016-01-04,15:12:00,80.99,81.04,80.8,80.8,20216.0,1.0,0.0,0.0
2016-01-04,15:19:00,80.82,80.92,80.73,80.83,25874.0,1.0,0.0,0.0
2016-01-04,15:26:00,80.83,80.86,80.77,80.78,35058.0,1.0,0.0,0.0
2016-01-04,15:33:00,80.76,81.0,80.76,80.99,30936.0,1.0,0.0,0.0
2016-01-04,15:40:00,80.98,81.16,80.98,81.1,42604.0,1.0,0.0,0.0
2016-01-04,15:47:00,81.1099,81.49,81.1,81.4,66485.0,1.0,0.0,0.0
2016-01-04,15:54:00,81.39,81.5399,81.35,81.45,88295.0,1.0,0.0,0.0
2016-01-05,09:31:00,81.46,81.97,81.46,81.97,118890.0,1.0,0.0,0.0
2016-01-05,09:38:00,81.97,82.05,81.69,81.81,11932.0,1.0,0.0,0.0
2016-01-05,09:45:00,81.77,82.1099,81.69,82.0,14637.0,1.0,0.0,0.0
2016-01-05,09:52:00,82.0,82.13,81.83,81.94,15626.0,1.0,0.0,0.0
2016-01-05,09:59:00,81.94,82.06,81.8708,81.91,10021.0,1.0,0.0,0.0
2016-01-05,10:06:00,81.87,81.96,81.6,81.85,53124.0,1.0,0.0,0.0
2016-01-05,10:13:00,81.82,81.93,81.62,81.92,10746.0,1.0,0.0,0.0
2016-01-05,10:20:00,81.89,82.04,81.87,81.92,12521.0,1.0,0.0,0.0
2016-01-05,10:27:00,81.84,82.0,81.78,81.96,30839.0,1.0,0.0,0.0
2016-01-05,10:34:00,81.93,82.01,81.77,81.92,18875.0,1.0,0.0,0.0
2016-01-05,10:41:00,81.96,82.45,81.92,82.42,64125.0,1.0,0.0,0.0
2016-01-05,10:48:00,82.46,82.46,82.17,82.26,32637.0,1.0,0.0,0.0
2016-01-05,10:55:00,82.32,82.53,82.27,82.4553,42166.0,1.0,0.0,0.0
2016-01-05,11:02:00,82.43,82.46,82.18,82.18,19449.0,1.0,0.0,0.0
2016-01-05,11:09:00,82.18,82.24,82.1,82.14,16463.0,1.0,0.0,0.0
2016-01-05,11:16:00,82.11,82.16,81.98,82.01,11414.0,1.0,0.0,0.0
2016-01-05,11:23:00,81.991,82.1,81.97,82.05,18555.0,1.0,0.0,0.0
2016-01-05,11:30:00,82.05,82.1299,81.94,82.0,28779.0,1.0,0.0,0.0
2016-01-05,11:37:00,82.05,82.18,82.02,82.05,23931.0,1.0,0.0,0.0
2016-01-05,11:44:00,82.04,82.18,81.98,81.98,20780.0,1.0,0.0,0.0
2016-01-05,11:51:00,81.98,82.115,81.9266,82.0905,12794.0,1.0,0.0,0.0
2016-01-05,11:58:00,82.15,82.1999,81.95,82.01,16330.0,1.0,0.0,0.0
2016-01-05,12:05:00,82.059,82.07,81.81,81.892,10575.0,1.0,0.0,0.0
2016-01-05,12:12:00,81.86,81.89,81.73,81.73,12471.0,1.0,0.0,0.0
2016-01-05,12:19:00,81.76,81.81,81.61,81.64,22299.0,1.0,0.0,0.0
2016-01-05,12:26:00,81.63,81.7,81.59,81.59,11942.0,1.0,0.0,0.0
2016-01-05,12:33:00,81.62,81.72,81.53,81.64,17977.0,1.0,0.0,0.0
2016-01-05,12:40:00,81.64,81.64,81.49,81.55,8066.0,1.0,0.0,0.0
2016-01-05,12:47:00,81.53,81.5899,81.43,81.5,10519.0,1.0,0.0,0.0
2016-01-05,12:54:00,81.48,81.56,81.43,81.53,4702.0,1.0,0.0,0.0
2016-01-05,13:01:00,81.53,81.63,81.49,81.55,7751.0,1.0,0.0,0.0
2016-01-05,13:08:00,81.54,81.704,81.5,81.64,13860.0,1.0,0.0,0.0
2016-01-05,13:15:00,81.65,81.85,81.65,81.74,11098.0,1.0,0.0,0.0
2016-01-05,13:22:00,81.71,81.76,81.5801,81.61,11382.0,1.0,0.0,0.0
2016-01-05,13:29:00,81.64,81.65,81.53,81.61,6965.0,1.0,0.0,0.0
2016-01-05,13:36:00,81.62,81.64,81.49,81.49,7364.0,1.0,0.0,0.0
2016-01-05,13:43:00,81.52,81.77,81.485,81.665,9649.0,1.0,0.0,0.0
2016-01-05,13:50:00,81.71,81.93,81.71,81.89,10222.0,1.0,0.0,0.0
2016-01-05,13:58:00,81.9399,81.99,81.86,81.89,7685.0,1.0,0.0,0.0
2016-01-05,14:05:00,81.905,81.93,81.74,81.7799,11310.0,1.0,0.0,0.0
