Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:36:00,122.51,122.91,122.41,122.52,90807.0,1.0,0.0,0.67
2016-01-04,09:43:00,122.5,122.83,122.14299999999999,122.24,66784.0,1.0,0.0,0.67
2016-01-04,09:50:00,122.19,122.47,121.88,122.4,47169.0,1.0,0.0,0.67
2016-01-04,09:57:00,122.46,122.79899999999999,122.19,122.29700000000001,24791.0,1.0,0.0,0.67
2016-01-04,10:04:00,122.25,122.49,121.8,121.91,33449.0,1.0,0.0,0.67
2016-01-04,10:11:00,121.83,122.07,121.75,121.99,34485.0,1.0,0.0,0.67
2016-01-04,10:18:00,122.05,122.54,122.01,122.45,35606.0,1.0,0.0,0.67
2016-01-04,10:25:00,122.45,122.62,122.29,122.38,34660.0,1.0,0.0,0.67
2016-01-04,10:32:00,122.39,122.5,122.221,122.23,17385.0,1.0,0.0,0.67
2016-01-04,10:39:00,122.22,122.29,122.03,122.22,22390.0,1.0,0.0,0.67
2016-01-04,10:46:00,122.19,122.24,121.92,121.94,31985.0,1.0,0.0,0.67
2016-01-04,10:53:00,121.97,122.23,121.9,121.91,23149.0,1.0,0.0,0.67
2016-01-04,11:00:00,121.93,122.02799999999999,121.77,121.86,22577.0,1.0,0.0,0.67
2016-01-04,11:07:00,121.86,121.92,121.75,121.75,36078.0,1.0,0.0,0.67
2016-01-04,11:14:00,121.8,121.92,121.75,121.9,20011.0,1.0,0.0,0.67
2016-01-04,11:21:00,121.91,121.93,121.75,121.87799999999999,25738.0,1.0,0.0,0.67
2016-01-04,11:28:00,121.87,122.0,121.83,121.89,21140.0,1.0,0.0,0.67
2016-01-04,11:35:00,121.866,122.24,121.865,122.15799999999999,16174.0,1.0,0.0,0.67
2016-01-04,11:42:00,122.13,122.148,122.01,122.1,16092.0,1.0,0.0,0.67
2016-01-04,11:49:00,122.11,122.15,121.96,122.09,20323.0,1.0,0.0,0.67
2016-01-04,11:56:00,122.07,122.21,122.05,122.08,18740.0,1.0,0.0,0.67
2016-01-04,12:03:00,122.073,122.08,121.93,122.05,18122.0,1.0,0.0,0.67
