Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,4.7288,4.7387,4.64,4.7338,6076005.733900002,1,0,0.0
2016-01-05,4.64,4.6499,4.5709,4.64,7184979.691099995,1,0,0.0
2016-01-06,4.4426,4.482,4.4129,4.4524,7573417.005900001,1,0,0.0
2016-01-07,4.3932,4.4426,4.3636,4.3734,6404097.623900002,1,0,0.0
2016-01-08,4.3932,4.4228,4.2155,4.2402,10527803.5247,1,0,0.0
2016-01-11,4.4129,4.4129,4.3142,4.3734,7278779.025800005,1,0,0.0
2016-01-12,4.482,4.482,4.3438,4.4129,5350789.092300008,1,0,0.0
2016-01-13,4.4623,4.4722,4.2747,4.3142,5848079.239899997,1,0,0.0
2016-01-14,4.3438,4.4228,4.2895,4.4129,5112298.328900005,1,0,0.0
2016-01-15,4.2846,4.3231,4.2155,4.2451,4396983.328000002,1,0,0.0
2016-01-19,4.2254,4.2451,4.1168,4.1661,5499694.480699997,1,0,0.0
2016-01-20,4.0575,4.0871,3.9292,4.0082,9996951.6481,1,0,0.0
2016-01-21,4.0378,4.1217,3.9786,4.0674,6824463.681999998,1,0,0.0
2016-01-22,4.2747,4.2945,4.2057,4.255,4419031.764100002,1,0,0.0
2016-01-25,4.1168,4.1266,4.0575,4.0575,5902738.2058999995,1,0,0.0
2016-01-26,4.1365,4.2451,4.1168,4.2254,6566063.187999999,1,0,0.0
2016-01-27,4.19,4.26,4.16,4.17,5675172.999999999,1,0,0.0546
2016-01-28,4.17,4.17,4.05,4.11,5580818.0,1,0,0.0
2016-01-29,4.14,4.2,4.11,4.2,4112107.0,1,0,0.0
2016-02-01,4.13,4.14,4.07,4.13,4543921.0,1,0,0.0
2016-02-02,3.97,3.98,3.835,3.86,10676798.0,1,0,0.0
2016-02-03,3.85,3.87,3.69,3.86,8113177.0,1,0,0.0
2016-02-04,3.91,4.1,3.91,4.07,4787852.0,1,0,0.0
2016-02-05,4.17,4.1926,4.1,4.11,5215751.0,1,0,0.0
2016-02-08,3.96,3.97,3.85,3.9,6647098.0,1,0,0.0
2016-02-09,3.75,3.86,3.73,3.82,6718306.0,1,0,0.0
2016-02-10,3.94,4.019,3.87,3.93,5601804.0,1,0,0.0
2016-02-11,3.78,3.8,3.69,3.74,5741293.0,1,0,0.0
2016-02-12,3.82,3.88,3.76,3.875,4539240.0,1,0,0.0
2016-02-16,4.02,4.0283,3.93,3.99,3020655.0,1,0,0.0
2016-02-17,4.08,4.18,4.07,4.17,6761060.0,1,0,0.0
2016-02-18,4.11,4.11,3.94,3.96,5055899.0,1,0,0.0
2016-02-19,3.84,3.9,3.79,3.86,6165336.0,1,0,0.0
2016-02-22,3.96,4.03,3.95,4.02,2961788.0,1,0,0.0
2016-02-23,4.02,4.04,3.92,3.925,6406552.0,1,0,0.0
2016-02-24,3.79,3.83,3.74,3.8,6119972.0,1,0,0.0
2016-02-25,3.87,3.89,3.83,3.865,3954885.0,1,0,0.0
2016-02-26,4.0,4.01,3.9501,3.98,4074907.0,1,0,0.0
2016-02-29,4.01,4.05,3.98,4.0,3238327.0,1,0,0.0
2016-03-01,4.04,4.17,4.02,4.17,5392982.0,1,0,0.0
2016-03-02,4.25,4.38,4.24,4.37,11045368.0,1,0,0.0
2016-03-03,4.38,4.45,4.34,4.45,3435305.0,1,0,0.0
2016-03-04,4.48,4.53,4.43,4.5,5747006.0,1,0,0.0
2016-03-07,4.45,4.51,4.4201,4.49,4340423.0,1,0,0.0
2016-03-08,4.58,4.6,4.5,4.52,6824147.0,1,0,0.0
2016-03-09,4.54,4.55,4.44,4.49,4268908.0,1,0,0.0
2016-03-10,4.69,4.8,4.54,4.62,11414633.0,1,0,0.0
2016-03-11,4.84,4.97,4.8,4.925,11319697.0,1,0,0.0
2016-03-14,4.98,4.99,4.92,4.97,6557023.0,1,0,0.0
2016-03-15,4.79,4.82,4.73,4.76,8859917.0,1,0,0.0
2016-03-16,4.62,4.72,4.61,4.705,4776533.0,1,0,0.0
2016-03-17,4.72,4.79,4.65,4.77,4383382.0,1,0,0.0
2016-03-18,4.83,4.86,4.74,4.78,8751665.0,1,0,0.0
2016-03-21,4.76,4.79,4.695,4.71,5991578.0,1,0,0.0
2016-03-22,4.61,4.67,4.59,4.64,6042117.0,1,0,0.0
2016-03-23,4.58,4.59,4.49,4.5,3370977.0,1,0,0.0
2016-03-24,4.41,4.475,4.39,4.42,8591941.0,1,0,0.0
