Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,23.6864,24.3964,23.4902,24.3865,6864008.169999995,1,0,0.0
2016-01-05,24.495,24.8993,24.3767,24.8106,8526772.81000001,1,0,0.0
2016-01-06,24.4062,24.6429,24.2189,24.6429,6569823.863000004,1,0,0.0
2016-01-07,24.1203,24.7218,23.9822,24.2288,7020223.5200000005,1,0,0.0
2016-01-08,24.426,24.9782,24.2534,24.4654,6657323.810000005,1,0,0.0
2016-01-11,24.6824,24.8303,23.5385,23.7751,7461051.220000007,1,0,0.0
2016-01-12,24.14,24.3471,22.9567,23.8935,7334242.989999999,1,0,0.0
2016-01-13,24.209,24.2682,23.3139,23.854,9109390.96,1,0,0.0
2016-01-14,24.0118,25.3431,23.9132,25.0374,13331853.119999995,1,0,0.0
2016-01-15,23.7258,24.6626,23.7258,24.1794,9386421.59,1,0,0.0
2016-01-19,24.3668,24.5935,23.6864,24.1351,8456093.450000001,1,0,0.0
2016-01-20,23.8047,23.9428,23.1835,23.6864,14436400.170000002,1,0,0.0
2016-01-21,23.8639,25.5304,23.5976,25.3036,10262682.929999994,1,0,0.0
2016-01-22,26.1122,27.0589,25.9542,27.0096,11461380.62000001,1,0,0.0
2016-01-25,26.5264,27.5717,25.9742,26.0037,8334547.4700000025,1,0,0.0
2016-01-26,26.5067,26.9258,25.8657,26.3193,8235362.899999998,1,0,0.0
2016-01-27,26.1122,26.8419,25.3825,26.201,7720698.530000002,1,0,0.0
2016-01-28,27.1674,27.3843,26.3883,26.7335,7220300.519999994,1,0,0.0
2016-01-29,26.9406,27.2956,26.5165,27.0589,7592783.440000009,1,0,0.0
2016-02-01,26.6644,26.8518,25.7769,26.6151,7734150.73,1,0,0.0
2016-02-02,25.9446,26.3587,25.7474,25.8263,7314707.600000005,1,0,0.0
2016-02-03,26.5954,28.0943,26.0432,28.0056,10065985.060000004,1,0,0.0
2016-02-04,28.5381,29.4058,28.2324,28.8635,9502134.050000004,1,0,0.0
2016-02-05,28.6071,29.2826,28.1633,29.11,7877787.479999997,1,0,0.0
2016-02-08,28.4493,29.9088,27.8774,29.3269,10495713.890000004,1,0,0.0
2016-02-09,29.041,29.6721,28.5775,28.755,8562302.97,1,0,0.0
2016-02-10,28.53,28.83,27.62,28.0599,7676338.000000002,1,0,0.405
2016-02-11,27.35,28.01,26.88,27.59,7346024.000000002,1,0,0.0
2016-02-12,28.01,28.575,27.7,28.48,4873137.000000002,1,0,0.0
2016-02-16,28.77,29.09,28.14,28.39,7004996.000000002,1,0,0.0
2016-02-17,29.0,29.42,28.56,29.31,5961136.000000002,1,0,0.0
2016-02-18,29.65,29.6999,28.52,29.11,6198436.000000002,1,0,0.0
2016-02-19,28.53,28.65,28.01,28.63,5495332.000000002,1,0,0.0
2016-02-22,29.1,29.32,28.95,29.02,6092582.000000002,1,0,0.0
2016-02-23,28.76,28.935,28.365,28.58,4680122.000000002,1,0,0.0
2016-02-24,28.27,28.78,27.67,28.69,4845289.000000002,1,0,0.0
2016-02-25,28.63,28.95,28.18,28.77,3760102.000000002,1,0,0.0
2016-02-26,29.33,29.45,29.09,29.21,2993339.000000002,1,0,0.0
2016-02-29,29.27,29.84,29.1,29.21,3311749.000000002,1,0,0.0
2016-03-01,29.38,29.82,28.86,29.65,4493380.000000002,1,0,0.0
2016-03-02,29.5,29.94,29.1701,29.92,3776147.000000002,1,0,0.0
2016-03-03,29.76,30.24,29.46,30.09,5467267.000000002,1,0,0.0
2016-03-04,30.2,30.6,29.91,30.21,5453691.000000002,1,0,0.0
2016-03-07,30.08,30.98,30.01,30.79,5789548.000000002,1,0,0.0
2016-03-08,30.78,30.8,29.74,29.85,6103418.000000002,1,0,0.0
2016-03-09,30.17,30.21,29.51,29.55,5412527.000000002,1,0,0.0
2016-03-10,29.51,29.99,29.23,29.89,8141873.000000002,1,0,0.0
2016-03-11,30.02,30.5742,30.02,30.32,5079479.000000002,1,0,0.0
2016-03-14,29.94,30.24,29.65,30.02,4119665.000000002,1,0,0.0
2016-03-15,29.64,29.79,28.9,29.54,4760692.000000002,1,0,0.0
2016-03-16,29.62,30.4,29.54,30.19,3704352.000000002,1,0,0.0
2016-03-17,30.53,31.08,30.35,30.87,4102455.000000002,1,0,0.0
2016-03-18,31.1,31.215,30.495,31.02,8848350.000000002,1,0,0.0
2016-03-21,30.75,31.0299,30.44,30.88,2898963.000000002,1,0,0.0
2016-03-22,30.57,31.07,30.505,30.91,3195918.000000002,1,0,0.0
2016-03-23,30.57,30.9,30.3983,30.4,1990402.0000000019,1,0,0.0
2016-03-24,30.09,30.55,29.87,30.45,3386890.000000002,1,0,0.0
