Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:36:00,6.4,6.68,6.4,6.45,83296.0,1.0,0.0,0.0
2016-01-04,09:43:00,6.45,6.45,6.4,6.435,86316.0,1.0,0.0,0.0
2016-01-04,09:50:00,6.435,6.47,6.42,6.455,264051.0,1.0,0.0,0.0
2016-01-04,09:58:00,6.47,6.495,6.44,6.46,134342.0,1.0,0.0,0.0
2016-01-04,10:05:00,6.45,6.4701,6.39,6.415,112924.0,1.0,0.0,0.0
2016-01-04,10:13:00,6.42,6.47,6.415,6.44,44297.0,1.0,0.0,0.0
2016-01-04,10:20:00,6.44,6.515,6.435,6.5,101439.0,1.0,0.0,0.0
2016-01-04,10:27:00,6.495,6.52,6.485,6.52,27124.0,1.0,0.0,0.0
2016-01-04,10:34:00,6.52,6.52,6.47,6.47,38614.0,1.0,0.0,0.0
2016-01-04,10:41:00,6.47,6.47,6.42,6.43,69186.0,1.0,0.0,0.0
2016-01-04,10:48:00,6.43,6.46,6.42,6.455,28804.0,1.0,0.0,0.0
2016-01-04,10:55:00,6.45,6.45,6.44,6.445,31382.0,1.0,0.0,0.0
2016-01-04,11:02:00,6.45,6.45,6.435,6.445,82233.0,1.0,0.0,0.0
2016-01-04,11:10:00,6.45,6.45,6.41,6.415,27005.0,1.0,0.0,0.0
2016-01-04,11:17:00,6.42,6.43,6.41,6.42,38405.0,1.0,0.0,0.0
2016-01-04,11:24:00,6.425,6.435,6.41,6.435,54364.0,1.0,0.0,0.0
2016-01-04,11:31:00,6.44,6.45,6.43,6.445,13855.0,1.0,0.0,0.0
2016-01-04,11:38:00,6.445,6.45,6.43,6.45,32363.0,1.0,0.0,0.0
2016-01-04,11:45:00,6.45,6.45,6.42,6.425,27114.0,1.0,0.0,0.0
2016-01-04,11:52:00,6.42,6.44,6.42,6.435,21740.0,1.0,0.0,0.0
2016-01-04,11:59:00,6.44,6.46,6.42,6.425,130978.0,1.0,0.0,0.0
2016-01-04,12:06:00,6.42,6.44,6.42,6.44,40438.0,1.0,0.0,0.0
2016-01-04,12:13:00,6.435,6.46,6.43,6.43,53799.0,1.0,0.0,0.0
2016-01-04,12:20:00,6.43,6.435,6.42,6.43,27639.0,1.0,0.0,0.0
2016-01-04,12:27:00,6.42,6.47,6.42,6.445,43628.0,1.0,0.0,0.0
2016-01-04,12:34:00,6.45,6.46,6.42,6.45,59123.0,1.0,0.0,0.0
2016-01-04,12:41:00,6.45,6.49,6.45,6.475,96034.0,1.0,0.0,0.0
2016-01-04,12:48:00,6.48,6.52,6.48,6.505,52744.0,1.0,0.0,0.0
2016-01-04,12:55:00,6.5,6.53,6.5,6.53,22818.0,1.0,0.0,0.0
2016-01-04,13:02:00,6.525,6.53,6.5,6.51,46097.0,1.0,0.0,0.0
2016-01-04,13:09:00,6.51,6.52,6.505,6.515,14940.0,1.0,0.0,0.0
2016-01-04,13:16:00,6.52,6.54,6.51,6.54,23013.0,1.0,0.0,0.0
2016-01-04,13:23:00,6.54,6.56,6.52,6.525,83809.0,1.0,0.0,0.0
2016-01-04,13:30:00,6.525,6.58,6.5199,6.555,74511.0,1.0,0.0,0.0
2016-01-04,13:37:00,6.555,6.555,6.51,6.52,29780.0,1.0,0.0,0.0
2016-01-04,13:44:00,6.515,6.54,6.5,6.5199,93271.0,1.0,0.0,0.0
2016-01-04,13:51:00,6.51,6.51,6.45,6.45,64446.0,1.0,0.0,0.0
2016-01-04,13:58:00,6.45,6.47,6.45,6.47,34652.0,1.0,0.0,0.0
2016-01-04,14:05:00,6.46,6.48,6.455,6.46,53029.0,1.0,0.0,0.0
2016-01-04,14:12:00,6.455,6.49,6.455,6.47,40907.0,1.0,0.0,0.0
2016-01-04,14:19:00,6.48,6.49,6.47,6.49,17070.0,1.0,0.0,0.0
2016-01-04,14:26:00,6.49,6.51,6.48,6.48,28574.0,1.0,0.0,0.0
2016-01-04,14:33:00,6.48,6.5,6.465,6.465,24704.0,1.0,0.0,0.0
2016-01-04,14:40:00,6.46,6.47,6.455,6.47,20845.0,1.0,0.0,0.0
2016-01-04,14:47:00,6.47,6.48,6.465,6.48,26501.0,1.0,0.0,0.0
2016-01-04,14:54:00,6.48,6.49,6.475,6.49,16154.0,1.0,0.0,0.0
2016-01-04,15:01:00,6.49,6.5,6.485,6.495,38695.0,1.0,0.0,0.0
2016-01-04,15:08:00,6.5,6.5,6.475,6.49,87384.0,1.0,0.0,0.0
2016-01-04,15:15:00,6.49,6.5,6.48,6.495,72047.0,1.0,0.0,0.0
2016-01-04,15:22:00,6.495,6.5,6.49,6.495,39171.0,1.0,0.0,0.0
2016-01-04,15:29:00,6.49,6.495,6.48,6.485,51909.0,1.0,0.0,0.0
2016-01-04,15:36:00,6.485,6.53,6.48,6.51,89983.0,1.0,0.0,0.0
2016-01-04,15:43:00,6.51,6.53,6.51,6.515,57997.0,1.0,0.0,0.0
2016-01-04,15:50:00,6.51,6.545,6.51,6.53,138741.0,1.0,0.0,0.0
2016-01-04,15:57:00,6.535,6.535,6.52,6.525,118953.0,1.0,0.0,0.0
2016-01-05,09:34:00,6.53,6.7,6.47,6.47,354121.0,1.0,0.0,0.0
2016-01-05,09:41:00,6.47,6.5,6.45,6.47,192738.0,1.0,0.0,0.0
2016-01-05,09:48:00,6.47,6.52,6.47,6.51,92128.0,1.0,0.0,0.0
2016-01-05,09:55:00,6.51,6.52,6.475,6.475,124679.0,1.0,0.0,0.0
2016-01-05,10:02:00,6.475,6.48,6.44,6.445,103856.0,1.0,0.0,0.0
2016-01-05,10:09:00,6.45,6.5,6.445,6.46,217730.0,1.0,0.0,0.0
2016-01-05,10:16:00,6.468999999999999,6.47,6.395,6.4,73140.0,1.0,0.0,0.0
2016-01-05,10:23:00,6.395,6.4,6.37,6.375,82391.0,1.0,0.0,0.0
2016-01-05,10:30:00,6.37,6.39,6.37,6.385,109673.0,1.0,0.0,0.0
2016-01-05,10:37:00,6.39,6.4,6.38,6.4,16812.0,1.0,0.0,0.0
2016-01-05,10:44:00,6.4,6.425,6.395,6.415,31184.0,1.0,0.0,0.0
2016-01-05,10:51:00,6.42,6.42,6.385,6.39,89964.0,1.0,0.0,0.0
2016-01-05,10:59:00,6.39,6.39,6.36,6.375,138149.0,1.0,0.0,0.0
2016-01-05,11:06:00,6.375,6.4,6.37,6.4,28717.0,1.0,0.0,0.0
2016-01-05,11:13:00,6.395,6.4,6.35,6.355,20532.0,1.0,0.0,0.0
2016-01-05,11:20:00,6.35,6.36,6.34,6.35,45355.0,1.0,0.0,0.0
2016-01-05,11:28:00,6.355,6.38,6.355,6.38,84935.0,1.0,0.0,0.0
2016-01-05,11:37:00,6.37,6.38,6.36,6.36,44409.0,1.0,0.0,0.0
2016-01-05,11:45:00,6.36,6.38,6.35,6.36,100492.0,1.0,0.0,0.0
2016-01-05,11:52:00,6.36,6.37,6.36,6.36,6809.0,1.0,0.0,0.0
2016-01-05,11:59:00,6.365,6.37,6.36,6.36,45438.0,1.0,0.0,0.0
2016-01-05,12:06:00,6.36,6.37,6.35,6.36,50470.0,1.0,0.0,0.0
2016-01-05,12:13:00,6.365,6.37,6.35,6.36,41114.0,1.0,0.0,0.0
2016-01-05,12:20:00,6.355,6.36,6.35,6.355,22657.0,1.0,0.0,0.0
2016-01-05,12:27:00,6.36,6.37,6.35,6.365,30793.0,1.0,0.0,0.0
2016-01-05,12:34:00,6.365,6.38,6.35,6.36,38159.0,1.0,0.0,0.0
2016-01-05,12:41:00,6.355,6.37,6.35,6.37,26754.0,1.0,0.0,0.0
2016-01-05,12:49:00,6.365,6.365,6.35,6.35,26226.0,1.0,0.0,0.0
2016-01-05,12:56:00,6.35,6.38,6.35,6.37,36781.0,1.0,0.0,0.0
2016-01-05,13:03:00,6.375,6.39,6.375,6.39,10383.0,1.0,0.0,0.0
2016-01-05,13:10:00,6.39,6.42,6.38,6.4,55452.0,1.0,0.0,0.0
2016-01-05,13:17:00,6.395,6.4,6.37,6.37,15807.0,1.0,0.0,0.0
2016-01-05,13:24:00,6.375,6.375,6.36,6.3672,7824.0,1.0,0.0,0.0
2016-01-05,13:31:00,6.36,6.3665,6.36,6.3665,9570.0,1.0,0.0,0.0
2016-01-05,13:38:00,6.365,6.365,6.35,6.35,8221.0,1.0,0.0,0.0
2016-01-05,13:45:00,6.35,6.38,6.35,6.375,45529.0,1.0,0.0,0.0
2016-01-05,13:53:00,6.37,6.37,6.36,6.365,14677.0,1.0,0.0,0.0
2016-01-05,14:00:00,6.36,6.37,6.35,6.35,24573.0,1.0,0.0,0.0
2016-01-05,14:08:00,6.355,6.37,6.35,6.355,52401.0,1.0,0.0,0.0
2016-01-05,14:15:00,6.355,6.38,6.3525,6.375,45261.0,1.0,0.0,0.0
2016-01-05,14:22:00,6.37,6.38,6.37,6.37,21869.0,1.0,0.0,0.0
2016-01-05,14:29:00,6.37,6.3775,6.36,6.36,23761.0,1.0,0.0,0.0
2016-01-05,14:36:00,6.37,6.37,6.36,6.36,16781.0,1.0,0.0,0.0
2016-01-05,14:43:00,6.36,6.365,6.345,6.35,36570.0,1.0,0.0,0.0
2016-01-05,14:50:00,6.35,6.355,6.335,6.345,213092.0,1.0,0.0,0.0
2016-01-05,14:57:00,6.345,6.345,6.33,6.335,20375.0,1.0,0.0,0.0
2016-01-05,15:04:00,6.33,6.34,6.33,6.335,215412.0,1.0,0.0,0.0
2016-01-05,15:11:00,6.335,6.37,6.33,6.37,95658.0,1.0,0.0,0.0
2016-01-05,15:18:00,6.37,6.405,6.365,6.38,55170.0,1.0,0.0,0.0
2016-01-05,15:25:00,6.38,6.38,6.37,6.37,33070.0,1.0,0.0,0.0
2016-01-05,15:32:00,6.375,6.38,6.37,6.375,45842.0,1.0,0.0,0.0
2016-01-05,15:39:00,6.375,6.38,6.35,6.35,52755.0,1.0,0.0,0.0
2016-01-05,15:46:00,6.35,6.36,6.35,6.35,49400.0,1.0,0.0,0.0
2016-01-05,15:53:00,6.355,6.37,6.35,6.36,161272.0,1.0,0.0,0.0
2016-01-06,09:30:00,6.37,6.39,6.29,6.29,515960.0,1.0,0.0,0.0
2016-01-06,09:37:00,6.3,6.32,6.27,6.27,34490.0,1.0,0.0,0.0
2016-01-06,09:45:00,6.27,6.3,6.25,6.28,49398.0,1.0,0.0,0.0
