Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,14:32:00,75.27,76.16,75.11,75.91,1287973.0,1.0,0.0,0.0
2016-01-05,13:07:00,75.91,76.51,75.34,76.23,1678761.0,1.0,0.0,0.0
2016-01-06,11:40:00,76.21,76.36,75.25,75.51,1448338.0,1.0,0.0,0.0
2016-01-07,10:15:00,75.5212,75.69,74.45,75.38,1147663.0,1.0,0.0,0.0
2016-01-07,15:18:00,75.34,75.49,75.02,75.03,1377725.0,1.0,0.0,0.0
2016-01-08,13:48:00,75.03,75.75,74.53,74.57,1662529.0,1.0,0.0,0.0
2016-01-11,12:18:00,74.56,75.255,74.03,74.33,2027442.0,1.0,0.0,0.0
2016-01-12,10:49:00,74.33,74.6,73.14,74.05,1997214.0,1.0,0.0,0.0
2016-01-12,15:52:00,74.08,74.4,73.4,74.37,1381014.0,1.0,0.0,0.0
2016-01-13,14:22:00,74.37,74.86,72.42,72.44,2770058.0,1.0,0.0,0.0
2016-01-14,12:52:00,72.46,72.85,71.2,72.81,3399496.0,1.0,0.0,0.0
2016-01-15,11:22:00,72.82,74.89,72.59,72.67,4317626.0,1.0,0.0,0.0
2016-01-19,09:52:00,72.66,72.66,71.24,72.2111,2783077.0,1.0,0.0,0.0
2016-01-19,14:52:00,72.2,72.46,70.09,70.11,1922330.0,1.0,0.0,0.0
2016-01-20,13:22:00,70.115,71.38,68.27,68.36,3041653.0,1.0,0.0,0.0
2016-01-21,11:52:00,68.36,69.88,67.36,67.56,3608705.0,1.0,0.0,0.0
2016-01-22,10:22:00,67.555,68.26,65.58,67.45,5063841.0,1.0,0.0,0.0
2016-01-22,15:23:00,67.46,68.09,67.16,67.641,1504205.0,1.0,0.0,0.0
2016-01-25,13:53:00,67.63,67.8,60.71,61.12,5359298.0,1.0,0.0,0.0
2016-01-26,12:23:00,61.11,65.34,59.35,64.22,7460382.0,1.0,0.0,0.0
2016-01-27,10:54:00,64.27,66.2,63.59,64.5,3718047.0,1.0,0.0,0.0
2016-01-27,15:54:00,64.49,66.45,63.91,64.34,2660694.0,1.0,0.0,0.0
2016-01-28,14:24:00,64.34,67.47,64.2,67.17,2987580.0,1.0,0.0,0.0
2016-01-29,12:54:00,67.16,71.34,66.85,70.82,3646204.0,1.0,0.0,0.0
2016-02-01,11:24:00,70.81,71.6,69.8,71.3865,2165523.0,1.0,0.0,0.0
2016-02-02,09:54:00,71.36,72.05,69.27,69.41,1984008.0,1.0,0.0,0.0
2016-02-02,14:56:00,69.4,70.6,69.32,70.0575,1184133.0,1.0,0.0,0.0
2016-02-03,13:27:00,70.086,71.0,69.26,69.7,1874429.0,1.0,0.0,0.0
2016-02-04,11:57:00,69.7,71.03,69.345,70.91,2022857.0,1.0,0.0,0.0
2016-02-05,10:30:00,70.91,71.51,68.8,69.23,1713252.0,1.0,0.0,0.0
2016-02-05,15:30:00,69.21,69.51,68.37,68.9075,1265682.0,1.0,0.0,0.0
2016-02-08,14:01:00,68.9,69.0,67.0,67.01,2047870.0,1.0,0.0,0.0
2016-02-09,12:31:00,67.02,68.01,66.34,66.54,1735438.0,1.0,0.0,0.0
2016-02-10,11:01:00,66.52,67.51,66.0,67.36,1759237.0,1.0,0.0,0.0
2016-02-11,09:31:00,67.34,68.3,66.31,66.31,973765.0,1.0,0.0,0.0
2016-02-11,14:31:00,66.69,67.18,65.95,66.04,1077512.0,1.0,0.0,0.0
2016-02-12,13:02:00,66.04,68.5,66.03,66.87,1568434.0,1.0,0.0,0.0
2016-02-16,11:32:00,66.91,68.25,66.8,67.77,1108742.0,1.0,0.0,0.0
2016-02-17,10:02:00,67.7555,68.83,67.6897,68.63,1076560.0,1.0,0.0,0.0
2016-02-17,15:08:00,68.6,68.85,68.31,68.53,1020358.0,1.0,0.0,0.0
2016-02-18,13:38:00,68.53,69.07,68.38,68.98,957453.0,1.0,0.0,0.0
2016-02-19,12:09:00,68.97,69.98,68.3,69.26,1318276.0,1.0,0.0,0.0
2016-02-22,10:42:00,69.25,69.61,68.39,69.05,1351944.0,1.0,0.0,0.0
2016-02-22,15:42:00,69.032,69.2,65.9905,67.42,3273210.0,1.0,0.0,0.0
2016-02-23,14:13:00,67.42,67.76,65.87,66.75,7172803.0,1.0,0.0,0.0
2016-02-24,12:43:00,66.75,67.59,65.38,67.43,4648560.0,1.0,0.0,0.0
2016-02-25,11:13:00,67.41,71.94,67.36,71.35,5695948.0,1.0,0.0,0.0
2016-02-26,09:45:00,71.35,72.37,71.0,72.0,3222178.0,1.0,0.0,0.0
2016-02-26,14:45:00,71.96,72.53,71.44,72.1,3582774.0,1.0,0.0,0.0
2016-02-29,13:15:00,72.1,74.0,72.03,72.91,6822548.0,1.0,0.0,0.0
2016-03-01,11:45:00,72.91,73.8,72.23,73.78,5955065.0,1.0,0.0,0.0
2016-03-02,10:15:00,73.81,74.94,73.18,74.815,3773870.0,1.0,0.0,0.0
2016-03-02,15:15:00,74.81,75.19,74.61,75.0,4635497.0,1.0,0.0,0.0
2016-03-03,13:45:00,74.99,75.82,74.38,75.71,2026155.0,1.0,0.0,0.0
2016-03-04,12:15:00,75.73,76.23,75.39,76.03,2390183.0,1.0,0.0,0.0
2016-03-07,10:45:00,76.05,76.6,75.22,76.58,3301717.0,1.0,0.0,0.0
2016-03-07,15:50:00,76.58,76.85,76.33,76.75,3336507.0,1.0,0.0,0.0
2016-03-08,14:21:00,76.75,76.85,76.15,76.5,4032512.0,1.0,0.0,0.0
2016-03-09,12:51:00,76.49,76.5,75.641,76.47,3855070.0,1.0,0.0,0.0
2016-03-10,11:21:00,76.47,76.75,76.13,76.18,3551363.0,1.0,0.0,0.0
2016-03-11,09:51:00,76.17,76.75,75.94,76.6525,2730031.0,1.0,0.0,0.0
2016-03-11,14:51:00,76.69,76.85,76.47,76.58,3149684.0,1.0,0.0,0.0
2016-03-14,13:22:00,76.58,76.76,75.96,76.486,3586503.0,1.0,0.0,0.0
2016-03-15,11:52:00,76.485,76.51,75.77,75.99,3813852.0,1.0,0.0,0.0
2016-03-16,10:22:00,75.99,76.47,75.63,75.96,6714805.0,1.0,0.0,0.0
2016-03-16,15:22:00,75.96,76.24,75.815,76.085,1901128.0,1.0,0.0,0.0
2016-03-17,13:52:00,76.11,76.38,75.9,76.37,2128363.0,1.0,0.0,0.0
2016-03-18,12:23:00,76.36,76.79,75.88,76.54,3241982.0,1.0,0.0,0.0
2016-03-21,10:54:00,76.54,76.79,76.39,76.64,2985314.0,1.0,0.0,0.0
