Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,75.27,76.51,74.03,74.2,9839502.0,1,0,0
2016-01-15,74.6,75.255,71.2,71.49,17200683.0,1,0,0
2016-01-25,72.2,72.48,59.35,61.75,24861454.0,1,0,0
2016-02-01,61.68,72.05,60.97,70.64,20293831.0,1,0,0
2016-02-08,70.0,71.51,66.8,67.85,11065379.0,1,0,0
2016-02-16,67.02,68.5,65.95,68.17,8340966.0,1,0,0
2016-02-23,68.24,69.98,65.87,66.62,17370731.0,1,0,0
2016-03-01,65.66,74.155,65.38,74.07,30235202.0,1,0,0
2016-03-08,73.21,76.85,73.18,76.0,22903854.0,1,0,0
2016-03-15,75.96,76.85,75.641,75.72,25130645.0,1,0,0
2016-03-22,75.63,77.34,75.63,77.12,15812681.0,1,0,0
