Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,45.9082,46.9713,45.74,46.8576,16925478.694,1,0,0.0
2016-01-11,46.4818,46.9268,46.0466,46.3037,15467301.898999996,1,0,0.0
2016-01-14,46.195,47.0257,45.4928,46.6103,15911706.127000008,1,0,0.0
2016-01-20,46.1752,47.5202,46.0268,46.64,20838716.669000003,1,0,0.0
2016-01-25,46.7587,47.0355,45.82899999999999,46.8872,15020221.120000007,1,0,0.0
2016-01-28,46.996,48.0246,46.7092,47.7279,9891571.89100001,1,0,0.0
2016-02-02,48.0443,49.4388,47.9652,49.0927,21625197.55600001,1,0,0.0
2016-02-05,48.8652,49.68600000000001,46.7389,47.6784,31208535.96000001,1,0,0.0
2016-02-10,47.6784,48.8058,47.5103,48.6575,18559556.533000007,1,0,0.0
2016-02-16,48.19,48.76,47.47,48.08,14536064.999999996,1,0,0.0
2016-02-19,48.08,48.93,47.51,48.57,13662194.999999996,1,0,0.0
2016-02-24,48.61,49.4,48.46,48.97,9497618.999999996,1,0,0.0
2016-02-29,48.93,49.43,48.1,48.19,12479114.999999996,1,0,0.0
2016-03-03,48.34,48.6,46.55,48.17,15429100.999999996,1,0,0.0
2016-03-08,47.88,49.29,47.7396,49.17,14034461.999999996,1,0,0.0
2016-03-11,49.14,50.14,49.02,49.77,14953272.999999996,1,0,0.0
2016-03-16,49.89,50.83,49.54,50.7,11852201.999999996,1,0,0.0
2016-03-21,50.6,51.01,50.12,50.48,12630475.999999996,1,0,0.0
2016-03-24,50.46,50.98,50.07,50.91,8148165.999999996,1,0,0.0
