Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:32:00,92.4466,92.9132,92.1538,92.397,14353.3205,1.0,0.0,0.0
2016-01-04,09:35:00,92.3474,92.4665,91.9205,92.0996,8774.387999999999,1.0,0.0,0.0
2016-01-04,09:38:00,92.2382,92.5161,92.1389,92.1488,10140.410000000002,1.0,0.0,0.0
2016-01-04,09:41:00,92.1984,92.2084,91.9007,91.9602,8004.7400000000025,1.0,0.0,0.0
2016-01-04,09:44:00,91.8907,91.9304,91.7915,91.84100000000001,9471.5,1.0,0.0,0.0
2016-01-04,09:47:00,91.8411,91.8907,91.7319,91.8212,7595.74,1.0,0.0,0.0
2016-01-04,09:50:00,91.8312,92.119,91.8312,92.119,6299.2199999999975,1.0,0.0,0.0
2016-01-04,09:53:00,92.1091,92.2282,92.0694,92.2282,5644.4259999999995,1.0,0.0,0.0
2016-01-04,09:56:00,92.2233,92.2481,91.9701,92.1091,8801.580999999998,1.0,0.0,0.0
2016-01-04,09:59:00,92.0396,92.0793,91.9205,91.9701,9858.342999999999,1.0,0.0,0.0
2016-01-04,10:02:00,91.9602,92.0098,91.7915,91.7964,18755.610000000004,1.0,0.0,0.0
2016-01-04,10:05:00,91.851,91.9205,91.7617,91.7716,14299.930000000004,1.0,0.0,0.0
2016-01-04,10:08:00,91.7815,92.0098,91.7815,91.99,14192.140000000003,1.0,0.0,0.0
2016-01-04,10:11:00,92.0098,92.2084,91.9701,92.0992,14851.980000000001,1.0,0.0,0.0
2016-01-04,10:14:00,92.0793,92.119,91.8619,92.0297,10491.990000000002,1.0,0.0,0.0
2016-01-04,10:17:00,92.0496,92.12899999999999,92.0297,92.0347,12197.504,1.0,0.0,0.0
2016-01-04,10:20:00,92.0098,92.0098,91.8808,91.9602,15009.139999999998,1.0,0.0,0.0
2016-01-04,10:23:00,91.9602,91.9602,91.8312,91.9205,8417.769999999999,1.0,0.0,0.0
2016-01-04,10:26:00,91.9007,91.9404,91.8212,91.9404,12302.279999999999,1.0,0.0,0.0
2016-01-04,10:29:00,91.9205,91.9404,91.8212,91.9205,12492.669999999998,1.0,0.0,0.0
2016-01-04,10:32:00,91.8907,92.0893,91.8907,92.0694,15439.339999999997,1.0,0.0,0.0
2016-01-04,10:35:00,92.0297,92.0793,91.9602,92.0496,9679.03,1.0,0.0,0.0
2016-01-04,10:38:00,92.0595,92.1587,91.9999,92.1587,7165.580000000001,1.0,0.0,0.0
2016-01-04,10:41:00,92.1488,92.1488,91.8808,91.9701,8588.020000000002,1.0,0.0,0.0
2016-01-04,10:44:00,91.9503,92.1648,91.851,92.1296,10645.11,1.0,0.0,0.0
2016-01-04,10:47:00,92.1488,92.1587,92.0396,92.1091,5688.750000000002,1.0,0.0,0.0
2016-01-04,10:50:00,92.0893,92.1687,92.0595,92.1091,10926.17,1.0,0.0,0.0
2016-01-04,10:53:00,92.0992,92.0992,91.9304,91.9304,8125.630000000002,1.0,0.0,0.0
2016-01-04,10:56:00,91.9701,91.9701,91.8113,91.8907,23976.93,1.0,0.0,0.0
2016-01-04,10:59:00,91.8907,91.8907,91.7979,91.8212,11334.179999999998,1.0,0.0,0.0
2016-01-04,11:02:00,91.851,91.9205,91.7418,91.8709,16057.83,1.0,0.0,0.0
2016-01-04,11:05:00,91.8709,91.9404,91.8113,91.851,11315.039999999999,1.0,0.0,0.0
2016-01-04,11:08:00,91.8113,91.9007,91.7617,91.9007,10464.789999999995,1.0,0.0,0.0
