Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,140.732,144.105,138.138,142.84799999999998,5106723.915599998,1,0,0.0
2016-01-11,149.184,153.984,144.484,146.74,7351510.751899997,1,0,0.0
2016-01-14,147.877,148.156,140.90200000000002,143.037,4029429.5737999994,1,0,0.0
2016-01-20,140.90200000000002,146.35,140.90200000000002,144.833,6016785.593999999,1,0,0.0
2016-01-25,144.664,149.184,142.049,147.947,5011064.2563,1,0,0.0
2016-01-28,147.937,152.148,144.494,151.509,5206510.981699996,1,0,0.0
2016-02-02,151.94899999999998,155.361,150.941,152.218,4052751.610799998,1,0,0.0
2016-02-05,152.208,152.916,137.81,137.95,9151835.856999997,1,0,0.31
2016-02-10,135.54,140.14,130.222,138.83,8148958.999999996,1,0,0.0
2016-02-16,137.33,141.22,134.39,139.34,4046413.9999999963,1,0,0.0
2016-02-19,140.49,142.53,138.27,139.53,4028687.9999999963,1,0,0.0
2016-02-24,139.87,142.33,137.25,139.08,3958093.9999999963,1,0,0.0
2016-02-29,139.66,144.41,137.57,141.39,3922564.9999999963,1,0,0.0
2016-03-03,142.42,145.0,141.08,144.44,3339130.9999999963,1,0,0.0
2016-03-08,143.94,144.93,137.845,139.97,4494341.999999996,1,0,0.0
2016-03-11,140.27,142.31,139.11,142.05,3392802.9999999963,1,0,0.0
2016-03-16,143.13,145.0,140.98,144.58,4026585.9999999963,1,0,0.0
2016-03-21,144.54,149.49,144.02,147.18,4176136.9999999963,1,0,0.0
2016-03-24,147.09,150.77,146.45,149.95,4435804.999999996,1,0,0.0
