Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,6.64,6.86,6.0,6.09,18091312.0,1,0,0
2016-01-15,6.07,6.15,4.22,4.53,45761691.0,1,0,0
2016-01-25,4.53,4.55,3.99,4.08,22947066.0,1,0,0
2016-02-01,4.15,4.6,4.0,4.575,17320141.0,1,0,0
2016-02-08,4.51,4.52,3.94,4.15,17134675.0,1,0,0
2016-02-16,4.11,4.54,3.96,4.52,16803115.0,1,0,0
2016-02-23,4.54,4.91,4.5,4.795,12680479.0,1,0,0
2016-03-01,4.72,5.27,4.48,5.27,11620257.0,1,0,0
2016-03-08,5.27,5.705,5.1,5.59,15527553.0,1,0,0
2016-03-15,5.62,5.81,5.43,5.68,14622014.0,1,0,0
2016-03-22,5.65,6.17,5.64,5.69,9128905.0,1,0,0
