Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,24.8685,24.9282,23.3174,23.3671,6600632.092099999,1,0,0.0
2016-01-15,23.4765,24.4907,22.4224,23.8742,14068743.941399999,1,0,0.0
2016-01-25,24.2421,24.2421,21.6568,23.1384,9565646.764600001,1,0,0.0
2016-02-01,23.1682,24.261999999999997,22.5517,24.1128,9914485.2602,1,0,0.0
2016-02-08,24.6299,24.6299,21.3585,21.796,8484207.771200001,1,0,0.0
2016-02-16,21.2292,23.2478,21.0105,23.0688,9901595.161000002,1,0,0.0
2016-02-23,23.4367,24.61,23.1881,24.2222,7075604.932200002,1,0,0.0
2016-03-01,23.914,24.9182,23.3571,24.61,7238067.293400003,1,0,0.0
2016-03-08,24.55,25.38,23.7,24.01,6285897.000000003,1,0,0.0
2016-03-15,24.22,24.94,23.21,23.28,7650702.000000004,1,0,0.0
2016-03-22,23.21,24.48,23.155,24.14,5199909.000000004,1,0,0.0
