Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,74.7721,75.0108,72.2565,72.5051,5228780.943300001,1,0,0.0
2016-01-11,71.6898,72.7636,66.6188,67.4242,6575021.985000002,1,0,0.0
2016-01-14,68.1898,68.9455,65.1273,66.4497,4699162.2114,1,0,0.0
2016-01-20,64.9981,68.6074,59.3802,61.4384,18392734.587999992,1,0,0.0
2016-01-25,61.2694,62.552,60.2751,60.5734,10618103.47919999,1,0,0.0
2016-01-28,60.9612,62.8205,60.0762,61.0407,5256412.455899993,1,0,0.0
2016-02-02,61.5577,64.9881,61.3489,63.3972,11994256.68479999,1,0,0.0
2016-02-05,63.6955,64.6202,62.2985,63.4867,12304055.059999995,1,0,0.0
2016-02-10,62.731,63.4469,60.6748,61.32899999999999,5297893.458299995,1,0,0.0
2016-02-16,60.2154,62.9895,59.41,62.8702,6220822.2042,1,0,0.0
2016-02-19,63.5364,65.873,62.9299,64.1429,4729713.670999997,1,0,0.0
2016-02-24,64.6401,65.5847,62.562,64.5606,3598250.4736999976,1,0,0.0
2016-02-29,64.5705,65.5946,63.3376,64.5904,3460104.4031999954,1,0,0.0
2016-03-03,65.3162,69.1642,64.6898,68.7068,5217608.760799997,1,0,0.0
2016-03-08,68.7367,70.8844,68.4185,68.9852,4221177.6741999965,1,0,0.0
2016-03-11,69.2338,71.4809,68.7764,71.4412,3105976.0920999963,1,0,0.0
2016-03-16,71.2622,71.9781,68.4781,69.9,5456048.807799996,1,0,0.0
2016-03-21,69.87,72.9,69.66,71.53,7806579.999999996,1,0,0.0
2016-03-24,71.5,73.2,70.58,70.93,5827667.999999996,1,0,0.0
