Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,69.6741,71.7577,69.3252,69.8835,11229618.611999998,1,0,0.0
2016-01-11,68.7869,70.6102,66.5538,67.5706,13188776.382000009,1,0,0.0
2016-01-14,68.5974,69.4947,66.7831,68.2385,8239465.314,1,0,0.0
2016-01-20,66.2796,68.4778,65.4372,67.2516,9910787.115,1,0,0.0
2016-01-25,67.0921,69.5644,66.5737,68.5775,8500148.840999998,1,0,0.0
2016-01-28,68.6573,70.2123,68.428,69.1757,5850185.606599994,1,0,0.0
2016-02-02,69.6542,73.1533,69.2953,72.625,9119650.887799999,1,0,0.0
2016-02-05,72.92399999999999,73.0736,67.6903,67.7501,10129388.960399993,1,0,0.0
2016-02-10,67.2317,70.97,66.5937,69.36,10813235.939999994,1,0,0.0
2016-02-16,68.15,71.82,67.41,71.35,9435803.999999994,1,0,0.0
2016-02-19,71.6,72.37,70.245,71.59,8463511.999999994,1,0,0.0
2016-02-24,71.92,74.65,71.74,74.25,16025114.999999993,1,0,0.0
2016-02-29,73.95,75.83,73.23,74.06,14098787.999999993,1,0,0.0
2016-03-03,74.36,75.75,74.0,75.21,7204100.999999993,1,0,0.0
2016-03-08,75.22,76.19,74.52,75.41,8331676.999999993,1,0,0.0
2016-03-11,75.72,76.12,74.44,75.48,6340412.999999993,1,0,0.0
2016-03-16,75.6,76.62,75.2,76.32,7031656.999999993,1,0,0.0
2016-03-21,76.12,78.46,76.1,77.83,8566057.999999993,1,0,0.0
2016-03-24,77.43,78.14,77.08,77.13,7204932.999999993,1,0,0.0
