Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:32:00,83.64,83.75,83.2101,83.59,53400.0,1.0,0.0,0.0
2016-01-04,09:35:00,83.75,83.76,82.41,82.41,18917.0,1.0,0.0,0.0
2016-01-04,09:38:00,82.43,82.6,82.105,82.43,30520.0,1.0,0.0,0.0
2016-01-04,09:41:00,82.42,82.7,82.42,82.5,56562.0,1.0,0.0,0.0
2016-01-04,09:44:00,82.54,82.66,82.45,82.495,24585.0,1.0,0.0,0.0
2016-01-04,09:47:00,82.52,82.55,82.07700000000001,82.14,23015.0,1.0,0.0,0.0
2016-01-04,09:50:00,82.135,82.67,82.135,82.51,48203.0,1.0,0.0,0.0
2016-01-04,09:53:00,82.55,82.6,82.14,82.241,21447.0,1.0,0.0,0.0
2016-01-04,09:56:00,82.3599,82.515,82.22,82.515,8935.0,1.0,0.0,0.0
2016-01-04,09:59:00,82.45,82.685,82.4,82.645,5089.0,1.0,0.0,0.0
2016-01-04,10:02:00,82.65,82.68,82.35,82.3876,34001.0,1.0,0.0,0.0
2016-01-04,10:05:00,82.31,82.38,82.02,82.14,18468.0,1.0,0.0,0.0
2016-01-04,10:08:00,82.15,82.34,82.11,82.24,12812.0,1.0,0.0,0.0
2016-01-04,10:11:00,82.29,82.5,82.28,82.38,30025.0,1.0,0.0,0.0
2016-01-04,10:14:00,82.38,82.55,82.33,82.55,26971.0,1.0,0.0,0.0
2016-01-04,10:17:00,82.56,82.83,82.54,82.815,12154.0,1.0,0.0,0.0
2016-01-04,10:20:00,82.78,82.91,82.58,82.91,12488.0,1.0,0.0,0.0
2016-01-04,10:23:00,82.85,82.955,82.734,82.83,41950.0,1.0,0.0,0.0
2016-01-04,10:26:00,82.83,82.89,82.73,82.89,8675.0,1.0,0.0,0.0
2016-01-04,10:29:00,82.7701,83.075,82.7701,82.92,14355.0,1.0,0.0,0.0
2016-01-04,10:32:00,82.92,83.01,82.89,82.985,18032.0,1.0,0.0,0.0
2016-01-04,10:35:00,82.965,83.01,82.84,82.88,27399.0,1.0,0.0,0.0
2016-01-04,10:38:00,82.88,82.9,82.79,82.81,18147.0,1.0,0.0,0.0
2016-01-04,10:41:00,82.8,82.95,82.71,82.75,15562.0,1.0,0.0,0.0
2016-01-04,10:44:00,82.75,82.95,82.63,82.95,8262.0,1.0,0.0,0.0
2016-01-04,10:47:00,82.91,82.99,82.81,82.97,8341.0,1.0,0.0,0.0
2016-01-04,10:50:00,82.99,83.23,82.95,83.14,9904.0,1.0,0.0,0.0
2016-01-04,10:53:00,83.1,83.21,83.0,83.2,27115.0,1.0,0.0,0.0
2016-01-04,10:56:00,83.15,83.22,83.03,83.05,16894.0,1.0,0.0,0.0
2016-01-04,10:59:00,83.05,83.1599,83.01,83.01,10448.0,1.0,0.0,0.0
2016-01-04,11:02:00,83.01,83.02,82.65,82.73,6828.0,1.0,0.0,0.0
2016-01-04,11:05:00,82.76,82.76,82.3243,82.383,13994.0,1.0,0.0,0.0
2016-01-04,11:08:00,82.355,82.48,82.32,82.3701,4599.0,1.0,0.0,0.0
2016-01-04,11:11:00,82.47,82.5,82.33,82.39,4751.0,1.0,0.0,0.0
2016-01-04,11:14:00,82.45,82.58,82.41,82.46,6454.0,1.0,0.0,0.0
2016-01-04,11:17:00,82.51,82.61399999999999,82.41,82.47,5925.0,1.0,0.0,0.0
2016-01-04,11:20:00,82.49,82.53,82.3,82.34,7330.0,1.0,0.0,0.0
2016-01-04,11:23:00,82.3699,82.59,82.36,82.58,3612.0,1.0,0.0,0.0
2016-01-04,11:26:00,82.59,82.61,82.45,82.61,10592.0,1.0,0.0,0.0
2016-01-04,11:29:00,82.54,82.66,82.44,82.66,5653.0,1.0,0.0,0.0
2016-01-04,11:32:00,82.6,82.66,82.43,82.6,4545.0,1.0,0.0,0.0
2016-01-04,11:35:00,82.67,82.8,82.56,82.76,7546.0,1.0,0.0,0.0
2016-01-04,11:38:00,82.74,82.79,82.51,82.68,7718.0,1.0,0.0,0.0
2016-01-04,11:41:00,82.72,82.91,82.67,82.6938,4589.0,1.0,0.0,0.0
