Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,83.3058,84.8921,80.6121,81.6696,6219843.691200001,1,0,0.0
2016-01-15,82.3181,85.2014,80.0035,81.2805,9713740.089900004,1,0,0.0
2016-01-25,82.0088,85.2214,79.8539,83.2958,7738942.565800002,1,0,0.0
2016-02-01,83.7348,88.354,78.2077,86.5183,8660028.419700004,1,0,0.0
2016-02-08,85.4907,86.9074,77.8585,79.6444,7042300.671399997,1,0,0.0
2016-02-16,79.2453,85.6504,79.2154,85.3411,5044608.059399995,1,0,0.0
2016-02-23,85.9497,87.12,83.12,84.89,3963594.662499995,1,0,0.0
2016-03-01,83.92,87.74,83.28,87.63,3890438.9999999953,1,0,0.0
2016-03-08,87.09,87.97,85.08,85.92,3541139.9999999953,1,0,0.0
2016-03-15,86.51,90.76,86.26,90.09,4762068.999999995,1,0,0.0
2016-03-22,89.52,90.1,87.86,89.07,3707084.9999999953,1,0,0.0
