Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,11:29:00,55.95,56.34,54.86,55.56,2173277.0,1.0,0.0,0.0
2016-01-04,13:29:00,55.56,56.07,55.53,55.69,1101177.0,1.0,0.0,0.0
2016-01-04,15:29:00,55.68,55.7299,55.14,55.23,1009961.0,1.0,0.0,0.0
2016-01-05,10:59:00,55.22,56.33,54.01,55.4089,3568084.0,1.0,0.0,0.0
2016-01-05,12:59:00,55.401,55.41,54.185,55.03,1500448.0,1.0,0.0,0.0
2016-01-05,15:01:00,55.04,55.45,54.73,55.22,1055936.0,1.0,0.0,0.0
2016-01-06,10:31:00,55.22,55.29,54.04,54.68,1865068.0,1.0,0.0,0.0
2016-01-06,12:31:00,54.68,55.47,54.65,55.25,1339092.0,1.0,0.0,0.0
2016-01-06,14:31:00,55.245,55.43,54.77,55.04,969074.0,1.0,0.0,0.0
2016-01-07,10:01:00,55.04,55.3,53.29,53.5,1838479.0,1.0,0.0,0.0
2016-01-07,12:01:00,53.49,54.06,53.06,53.59,1640844.0,1.0,0.0,0.0
2016-01-07,14:01:00,53.58,53.82,52.62,53.0,1463034.0,1.0,0.0,0.0
2016-01-08,09:31:00,53.0,53.62,52.34,53.2175,2069310.0,1.0,0.0,0.0
2016-01-08,11:31:00,53.22,53.86,52.78,52.84,1568288.0,1.0,0.0,0.0
2016-01-08,13:31:00,52.84,53.04,52.385,52.66,1202655.0,1.0,0.0,0.0
2016-01-08,15:31:00,52.65,52.95,51.89,51.91,1427027.0,1.0,0.0,0.0
2016-01-11,11:01:00,51.91,52.55,51.43,51.46,2393735.0,1.0,0.0,0.0
2016-01-11,13:01:00,51.48,51.85,51.25,51.4499,1714899.0,1.0,0.0,0.0
2016-01-11,15:01:00,51.445,51.51,50.35,51.15,1921938.0,1.0,0.0,0.0
2016-01-12,10:31:00,51.14,51.795,49.71,50.96,4885404.0,1.0,0.0,0.0
2016-01-12,12:31:00,50.97,51.5,50.35,50.495,2336363.0,1.0,0.0,0.0
2016-01-12,14:31:00,50.5,50.58,49.98,50.35,1848706.0,1.0,0.0,0.0
2016-01-13,10:01:00,50.34,51.28,50.07,50.54,3090075.0,1.0,0.0,0.0
2016-01-13,12:01:00,50.56,50.57,49.26,49.36,1811368.0,1.0,0.0,0.0
2016-01-13,14:01:00,49.36,49.41,48.3,48.3,1614594.0,1.0,0.0,0.0
2016-01-14,09:31:00,48.3,48.4125,47.76,48.14,3303676.0,1.0,0.0,0.0
2016-01-14,11:31:00,48.14,48.14,45.89,46.82,4017096.0,1.0,0.0,0.0
2016-01-14,13:31:00,46.82,48.31,46.61,48.245,1905304.0,1.0,0.0,0.0
2016-01-14,15:31:00,48.24,48.59,48.0547,48.095,1953538.0,1.0,0.0,0.0
2016-01-15,11:01:00,48.095,48.15,45.75,45.88,4277684.0,1.0,0.0,0.0
2016-01-15,13:01:00,45.91,46.14,44.93,45.34,2313434.0,1.0,0.0,0.0
2016-01-15,15:01:00,45.33,46.51,45.17,46.33,2699183.0,1.0,0.0,0.0
2016-01-19,10:31:00,46.33,46.97,45.42,45.94,4161157.0,1.0,0.0,0.0
2016-01-19,12:31:00,45.93,46.0,45.07,45.51,1956001.0,1.0,0.0,0.0
2016-01-19,14:31:00,45.51,45.64,44.64,44.83,1683508.0,1.0,0.0,0.0
2016-01-20,10:03:00,44.838,45.5,42.4,42.77,3503348.0,1.0,0.0,0.0
2016-01-20,12:03:00,42.76,44.46,42.17,44.1316,3488727.0,1.0,0.0,0.0
2016-01-20,14:03:00,44.14,45.18,43.31,44.54,2307599.0,1.0,0.0,0.0
2016-01-21,09:33:00,44.54,46.2799,44.47,45.79,4815933.0,1.0,0.0,0.0
2016-01-21,11:33:00,45.77,46.66,44.25,45.26,4566667.0,1.0,0.0,0.0
2016-01-21,13:33:00,45.28,46.18,45.03,45.0612,1634202.0,1.0,0.0,0.0
2016-01-21,15:33:00,45.0805,45.85,45.04,45.57,1947759.0,1.0,0.0,0.0
2016-01-22,11:03:00,45.57,47.73,45.32,47.2395,4037287.0,1.0,0.0,0.0
2016-01-22,13:03:00,47.23,47.51,46.74,47.08,1698969.0,1.0,0.0,0.0
2016-01-22,15:03:00,47.07,47.37,46.7,46.75,1870616.0,1.0,0.0,0.0
2016-01-25,10:33:00,46.75,47.26,46.36,46.79,2380567.0,1.0,0.0,0.0
2016-01-25,12:33:00,46.7922,47.095,46.33,46.82,1367250.0,1.0,0.0,0.0
2016-01-25,14:33:00,46.81,47.15,46.67,46.9275,1245484.0,1.0,0.0,0.0
2016-01-26,10:03:00,46.94,47.06,46.31,46.8,2105098.0,1.0,0.0,0.0
2016-01-26,12:03:00,46.78,47.2696,46.53,46.73,1648219.0,1.0,0.0,0.0
2016-01-26,14:03:00,46.73,47.085,46.65,46.74,1187599.0,1.0,0.0,0.0
2016-01-27,09:33:00,46.74,48.9,46.6,48.62,2199252.0,1.0,0.0,0.0
2016-01-27,11:33:00,48.65,49.41,47.59,47.89,3100265.0,1.0,0.0,0.0
2016-01-27,13:33:00,47.875,48.84,47.82,48.31,1578953.0,1.0,0.0,0.0
2016-01-27,15:33:00,48.33,48.85,47.36,47.6,1750280.0,1.0,0.0,0.0
2016-01-28,11:03:00,47.5901,48.14,45.79,46.94,4382157.0,1.0,0.0,0.0
2016-01-28,13:03:00,46.94,47.19,45.7625,46.465,1716925.0,1.0,0.0,0.0
2016-01-28,15:03:00,46.46,46.54,45.91,46.0272,1240422.0,1.0,0.0,0.0
2016-01-29,10:33:00,46.03,47.39,45.27,46.71,2930034.0,1.0,0.0,0.0
2016-01-29,12:33:00,46.74,46.85,46.2791,46.65,1330097.0,1.0,0.0,0.0
2016-01-29,14:33:00,46.65,47.9,46.62,47.72,1483879.0,1.0,0.0,0.0
2016-02-01,10:03:00,47.72,48.98,47.52,48.31,4078368.0,1.0,0.0,0.0
2016-02-01,12:03:00,48.3,49.2,48.22,48.91,2372195.0,1.0,0.0,0.0
2016-02-01,14:03:00,48.9,49.01,48.53,48.785,1140446.0,1.0,0.0,0.0
2016-02-02,09:33:00,48.8,49.2,47.8,47.885,1725994.0,1.0,0.0,0.0
2016-02-02,11:33:00,47.93,47.96,47.1,47.12,1828204.0,1.0,0.0,0.0
2016-02-02,13:33:00,47.11,47.1952,46.55,46.71,1420315.0,1.0,0.0,0.0
2016-02-02,15:33:00,46.7,46.71,46.05,46.345,1780321.0,1.0,0.0,0.0
2016-02-03,11:03:00,46.34,46.95,45.05,46.16,2533872.0,1.0,0.0,0.0
2016-02-03,13:03:00,46.16,47.0,45.81,46.95,1024558.0,1.0,0.0,0.0
2016-02-03,15:03:00,46.95,48.3,46.69,47.98,1614491.0,1.0,0.0,0.0
