Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,10.89,10.91,9.745,9.76,1650458.0,1,0,0
2016-01-15,9.8,9.96,8.58,8.83,1673954.0,1,0,0
2016-01-25,9.02,9.85,8.1501,9.045,1817156.0,1,0,0
2016-02-01,9.11,11.3,8.7199,10.05,3538878.0,1,0,0
2016-02-08,9.85,10.89,9.77,9.92,2499118.0,1,0,0
2016-02-16,9.68,10.63,9.58,10.57,1668762.0,1,0,0
2016-02-23,10.69,10.99,10.36,10.39,1131459.0,1,0,0
2016-03-01,10.25,11.28,10.05,11.24,1151302.0,1,0,0
2016-03-08,11.19,12.0,11.01,11.04,1559672.0,1,0,0
2016-03-15,9.33,9.4,7.1,7.3,27935766.0,1,0,0
2016-03-22,7.27,8.0,7.24,7.81,9186197.0,1,0,0
