Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,11:29:00,22.38,23.06,22.25,22.46,608466.0,1.0,0.0,0.0
2016-01-04,13:29:00,22.45,23.1,22.45,23.02,401037.0,1.0,0.0,0.0
2016-01-04,15:29:00,23.02,23.12,22.7,22.715,419009.0,1.0,0.0,0.0
2016-01-05,11:00:00,22.73,23.15,22.66,22.87,1361245.0,1.0,0.0,0.0
2016-01-05,13:00:00,22.87,22.89,22.16,22.28,736873.0,1.0,0.0,0.0
2016-01-05,15:00:00,22.29,22.56,22.2,22.5,732975.0,1.0,0.0,0.0
2016-01-06,10:30:00,22.5,22.64,22.2,22.55,1201492.0,1.0,0.0,0.0
2016-01-06,12:30:00,22.56,22.59,21.95,21.96,462696.0,1.0,0.0,0.0
2016-01-06,14:30:00,21.96,22.13,21.82,21.935,387306.0,1.0,0.0,0.0
2016-01-07,10:00:00,21.93,22.92,21.44,22.88,1250586.0,1.0,0.0,0.0
2016-01-07,12:00:00,22.85,22.95,22.455,22.5,679536.0,1.0,0.0,0.0
2016-01-07,14:02:00,22.51,22.66,22.29,22.34,478127.0,1.0,0.0,0.0
2016-01-08,09:32:00,22.32,22.5975,22.11,22.53,763243.0,1.0,0.0,0.0
2016-01-08,11:32:00,22.53,22.64,21.83,22.19,1388547.0,1.0,0.0,0.0
2016-01-08,13:33:00,22.19,22.59,22.17,22.43,764771.0,1.0,0.0,0.0
2016-01-08,15:33:00,22.43,22.61,22.34,22.445,1080363.0,1.0,0.0,0.0
2016-01-11,11:03:00,22.45,22.45,21.55,21.78,1256187.0,1.0,0.0,0.0
2016-01-11,13:04:00,21.775,22.02,21.71,21.95,492067.0,1.0,0.0,0.0
2016-01-11,15:04:00,21.941999999999997,21.941999999999997,21.6,21.81,333533.0,1.0,0.0,0.0
2016-01-12,10:34:00,21.81,22.71,21.73,22.29,877475.0,1.0,0.0,0.0
2016-01-12,12:36:00,22.31,22.35,21.79,21.87,530706.0,1.0,0.0,0.0
2016-01-12,14:38:00,21.88,21.96,21.7,21.88,222675.0,1.0,0.0,0.0
2016-01-13,10:08:00,21.88,22.42,21.84,22.29,641369.0,1.0,0.0,0.0
2016-01-13,12:09:00,22.2953,22.32,21.38,21.4098,703029.0,1.0,0.0,0.0
2016-01-13,14:09:00,21.405,21.48,21.075,21.1,562062.0,1.0,0.0,0.0
2016-01-14,09:39:00,21.1,21.27,20.81,20.98,1412774.0,1.0,0.0,0.0
2016-01-14,11:39:00,21.01,21.37,20.71,20.98,570890.0,1.0,0.0,0.0
2016-01-14,13:41:00,20.98,21.54,20.97,21.33,570643.0,1.0,0.0,0.0
2016-01-14,15:42:00,21.35,21.66,21.22,21.3499,711253.0,1.0,0.0,0.0
2016-01-15,11:12:00,21.35,21.4,20.53,20.92,999102.0,1.0,0.0,0.0
2016-01-15,13:12:00,20.93,21.1,20.39,20.67,457043.0,1.0,0.0,0.0
2016-01-15,15:12:00,20.67,21.26,20.67,21.11,594452.0,1.0,0.0,0.0
2016-01-19,10:44:00,21.115,21.56,20.6,20.82,846094.0,1.0,0.0,0.0
2016-01-19,12:46:00,20.82,21.01,20.64,20.71,292171.0,1.0,0.0,0.0
2016-01-19,14:46:00,20.705,20.86,20.38,20.39,291969.0,1.0,0.0,0.0
2016-01-20,10:16:00,20.4,20.93,20.24,20.31,790027.0,1.0,0.0,0.0
2016-01-20,12:16:00,20.29,20.5,20.05,20.21,405778.0,1.0,0.0,0.0
2016-01-20,14:16:00,20.2,20.94,20.06,20.72,396781.0,1.0,0.0,0.0
2016-01-21,09:47:00,20.71,21.26,20.57,20.94,726207.0,1.0,0.0,0.0
2016-01-21,11:47:00,20.94,21.59,20.85,21.49,650079.0,1.0,0.0,0.0
2016-01-21,13:47:00,21.49,21.84,21.44,21.59,466095.0,1.0,0.0,0.0
2016-01-21,15:47:00,21.58,21.6,21.17,21.45,628692.0,1.0,0.0,0.0
2016-01-22,11:18:00,21.45,22.04,21.42,21.68,638487.0,1.0,0.0,0.0
2016-01-22,13:19:00,21.67,21.7,21.41,21.51,262472.0,1.0,0.0,0.0
2016-01-22,15:19:00,21.52,21.65,21.44,21.55,229740.0,1.0,0.0,0.0
2016-01-25,10:49:00,21.56,21.78,21.37,21.49,455664.0,1.0,0.0,0.0
2016-01-25,12:50:00,21.49,21.53,21.22,21.44,274206.0,1.0,0.0,0.0
2016-01-25,14:53:00,21.43,21.57,21.38,21.405,311342.0,1.0,0.0,0.0
2016-01-26,10:27:00,21.4,21.99,21.29,21.88,532897.0,1.0,0.0,0.0
2016-01-26,12:31:00,21.89,22.22,21.75,22.15,245855.0,1.0,0.0,0.0
2016-01-26,14:33:00,22.15,22.2901,22.07,22.12,200477.0,1.0,0.0,0.0
2016-01-27,10:04:00,22.12,22.25,21.88,21.89,424745.0,1.0,0.0,0.0
2016-01-27,12:07:00,21.9,22.06,21.685,21.98,380500.0,1.0,0.0,0.0
2016-01-27,14:11:00,21.9797,22.1,21.59,21.68,264481.0,1.0,0.0,0.0
2016-01-28,09:42:00,21.7,21.98,21.49,21.79,802126.0,1.0,0.0,0.0
2016-01-28,11:42:00,21.805,22.0,21.49,21.7,269120.0,1.0,0.0,0.0
2016-01-28,13:43:00,21.7,22.13,21.51,22.08,617889.0,1.0,0.0,0.0
2016-01-28,15:43:00,22.08,22.13,21.91,21.98,594629.0,1.0,0.0,0.0
2016-01-29,11:14:00,21.975,22.76,21.88,22.66,475577.0,1.0,0.0,0.0
2016-01-29,13:17:00,22.65,22.88,22.56,22.78,378115.0,1.0,0.0,0.0
2016-01-29,15:19:00,22.77,22.91,22.72,22.83,283253.0,1.0,0.0,0.0
2016-02-01,10:49:00,22.83,22.92,22.34,22.69,633599.0,1.0,0.0,0.0
2016-02-01,12:52:00,22.67,22.96,22.63,22.85,316132.0,1.0,0.0,0.0
2016-02-01,14:52:00,22.85,22.94,22.72,22.85,424664.0,1.0,0.0,0.0
2016-02-02,10:22:00,22.85,23.46,22.83,22.99,649746.0,1.0,0.0,0.0
2016-02-02,12:22:00,22.9999,23.49,22.97,23.43,848736.0,1.0,0.0,0.0
2016-02-02,14:22:00,23.44,24.04,23.42,23.7684,1066754.0,1.0,0.0,0.0
2016-02-03,09:52:00,23.76,23.85,23.5,23.73,1179645.0,1.0,0.0,0.0
2016-02-03,11:52:00,23.72,23.95,23.42,23.84,696940.0,1.0,0.0,0.0
2016-02-03,13:53:00,23.83,23.9,23.465,23.51,428399.0,1.0,0.0,0.0
2016-02-03,15:53:00,23.52,23.84,23.51,23.81,512962.0,1.0,0.0,0.0
2016-02-04,11:23:00,23.82,23.92,23.24,23.78,806650.0,1.0,0.0,0.0
2016-02-04,13:23:00,23.79,23.88,23.325,23.64,596354.0,1.0,0.0,0.0
2016-02-04,15:23:00,23.65,23.86,23.59,23.84,669539.0,1.0,0.0,0.0
2016-02-05,10:53:00,23.84,23.89,23.35,23.7,1809818.0,1.0,0.0,0.0
2016-02-05,12:53:00,23.6901,23.87,22.95,23.65,1044497.0,1.0,0.0,0.0
2016-02-05,14:53:00,23.66,23.83,23.14,23.26,367519.0,1.0,0.0,0.0
2016-02-08,10:23:00,23.25,23.52,23.05,23.149,919130.0,1.0,0.0,0.0
2016-02-08,12:23:00,23.12,23.73,23.09,23.44,844694.0,1.0,0.0,0.0
2016-02-08,14:23:00,23.44,23.57,23.31,23.38,743291.0,1.0,0.0,0.0
2016-02-09,09:53:00,23.37,24.2,23.36,24.16,1105891.0,1.0,0.0,0.0
2016-02-09,11:53:00,24.18,24.19,23.6,23.87,691179.0,1.0,0.0,0.0
2016-02-09,13:53:00,23.87,23.97,23.215,23.4301,729949.0,1.0,0.0,0.0
2016-02-09,15:55:00,23.44,23.77,23.435,23.59,576013.0,1.0,0.0,0.0
2016-02-10,11:25:00,23.6,24.25,23.57,23.94,675968.0,1.0,0.0,0.0
2016-02-10,13:26:00,23.92,24.6,23.78,24.46,620861.0,1.0,0.0,0.0
2016-02-10,15:26:00,24.45,25.11,24.28,24.499000000000002,1070638.0,1.0,0.0,0.0
2016-02-11,10:56:00,24.495,24.515,23.55,23.88,1038038.0,1.0,0.0,0.0
2016-02-11,12:56:00,23.875,24.16,23.73,24.08,528041.0,1.0,0.0,0.0
2016-02-11,14:56:00,24.08,24.125,23.56,23.96,813002.0,1.0,0.0,0.0
2016-02-12,10:27:00,23.96,24.37,23.83,24.28,970481.0,1.0,0.0,0.0
2016-02-12,12:28:00,24.27,24.81,24.14,24.61,711921.0,1.0,0.0,0.0
2016-02-12,14:29:00,24.62,24.775,24.51,24.7,625094.0,1.0,0.0,0.0
2016-02-16,10:00:00,24.69,25.3,24.61,25.06,809978.0,1.0,0.0,0.0
2016-02-16,12:00:00,25.06,25.89,25.05,25.86,454804.0,1.0,0.0,0.0
2016-02-16,14:01:00,25.86,26.14,25.8,25.96,378815.0,1.0,0.0,0.0
2016-02-17,09:31:00,25.96,26.23,25.79,26.19,708783.0,1.0,0.0,0.0
2016-02-17,11:32:00,26.27,26.88,26.16,26.39,521637.0,1.0,0.0,0.0
2016-02-17,13:35:00,26.39,26.54,26.3,26.43,337162.0,1.0,0.0,0.0
2016-02-17,15:37:00,26.43,26.63,26.32,26.6,328677.0,1.0,0.0,0.0
2016-02-18,11:09:00,26.61,26.97,26.18,26.6,717502.0,1.0,0.0,0.0
2016-02-18,13:11:00,26.62,26.985,26.61,26.96,295714.0,1.0,0.0,0.0
2016-02-18,15:11:00,26.96,27.37,26.87,27.15,617968.0,1.0,0.0,0.0
2016-02-19,10:43:00,27.1301,27.21,25.84,26.23,803536.0,1.0,0.0,0.0
2016-02-19,12:44:00,26.24,26.86,26.2,26.86,356684.0,1.0,0.0,0.0
2016-02-19,14:46:00,26.85,26.91,26.61,26.71,345485.0,1.0,0.0,0.0
2016-02-22,10:18:00,26.71,27.57,26.63,27.425,595413.0,1.0,0.0,0.0
2016-02-22,12:18:00,27.43,27.53,27.34,27.45,468065.0,1.0,0.0,0.0
2016-02-22,14:20:00,27.44,27.46,27.155,27.2,393370.0,1.0,0.0,0.0
2016-02-23,09:53:00,27.2,27.55,26.94,27.445,825256.0,1.0,0.0,0.0
2016-02-23,11:53:00,27.48,27.48,26.68,26.98,797814.0,1.0,0.0,0.0
2016-02-23,13:53:00,26.98,27.0401,26.73,26.8,581672.0,1.0,0.0,0.0
2016-02-23,15:53:00,26.8,26.96,26.76,26.79,580935.0,1.0,0.0,0.0
2016-02-24,11:23:00,26.79,26.81,26.1375,26.64,707109.0,1.0,0.0,0.0
2016-02-24,13:25:00,26.6399,27.1,26.63,26.98,476237.0,1.0,0.0,0.0
2016-02-24,15:25:00,26.98,27.02,26.835,26.96,743456.0,1.0,0.0,0.0
2016-02-25,10:55:00,26.96,27.0,26.16,26.53,792512.0,1.0,0.0,0.0
2016-02-25,12:57:00,26.54,26.54,26.28,26.28,357717.0,1.0,0.0,0.0
2016-02-25,14:58:00,26.28,26.7,26.27,26.56,571142.0,1.0,0.0,0.0
2016-02-26,10:28:00,26.56,26.84,26.32,26.47,1271020.0,1.0,0.0,0.0
2016-02-26,12:28:00,26.48,26.99,26.48,26.88,343139.0,1.0,0.0,0.0
2016-02-26,14:30:00,26.87,26.9,26.58,26.705,408274.0,1.0,0.0,0.0
2016-02-29,10:01:00,26.7,26.96,26.62,26.72,695544.0,1.0,0.0,0.0
2016-02-29,12:02:00,26.77,27.27,26.71,26.97,256412.0,1.0,0.0,0.0
2016-02-29,14:02:00,26.97,27.01,26.71,26.765,315222.0,1.0,0.0,0.0
2016-03-01,09:32:00,26.77,26.88,26.47,26.61,877631.0,1.0,0.0,0.0
2016-03-01,11:32:00,26.61,26.8,26.47,26.55,433724.0,1.0,0.0,0.0
2016-03-01,13:32:00,26.55,26.79,26.53,26.76,310866.0,1.0,0.0,0.0
2016-03-01,15:33:00,26.75,26.88,26.6,26.77,353341.0,1.0,0.0,0.0
2016-03-02,11:04:00,26.77,27.1,26.55,26.74,508602.0,1.0,0.0,0.0
2016-03-02,13:07:00,26.7401,26.82,26.57,26.73,270711.0,1.0,0.0,0.0
2016-03-02,15:10:00,26.73,27.03,26.73,26.9,294707.0,1.0,0.0,0.0
2016-03-03,10:40:00,26.89,27.48,26.67,27.47,746579.0,1.0,0.0,0.0
2016-03-03,12:40:00,27.47,27.66,27.27,27.475,673078.0,1.0,0.0,0.0
2016-03-03,14:40:00,27.48,27.7,27.29,27.35,460714.0,1.0,0.0,0.0
2016-03-04,10:10:00,27.35,28.28,27.15,28.26,1023473.0,1.0,0.0,0.0
2016-03-04,12:10:00,28.27,28.73,28.26,28.54,655492.0,1.0,0.0,0.0
