Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:34:00,79.73,80.0,79.47,79.63,26569.0,1.0,0.0,0.0
2016-01-04,09:39:00,79.6632,79.69,79.26,79.33,29146.0,1.0,0.0,0.0
2016-01-04,09:44:00,79.25,79.73,79.19,79.6499,10610.0,1.0,0.0,0.0
2016-01-04,09:49:00,79.66,79.93,79.37,79.82,23125.0,1.0,0.0,0.0
2016-01-04,09:54:00,79.84,80.17,79.75,80.07,18579.0,1.0,0.0,0.0
2016-01-04,09:59:00,80.04,80.06,79.77,79.92,10934.0,1.0,0.0,0.0
2016-01-04,10:04:00,79.92,80.02,79.68,79.93,42422.0,1.0,0.0,0.0
2016-01-04,10:09:00,79.93,80.04,79.85,80.0,15568.0,1.0,0.0,0.0
2016-01-04,10:14:00,79.97,80.2,79.87,80.07,28590.0,1.0,0.0,0.0
2016-01-04,10:19:00,80.17,80.21,79.96,80.05,10192.0,1.0,0.0,0.0
2016-01-04,10:24:00,80.09,80.25,80.015,80.04,10912.0,1.0,0.0,0.0
2016-01-04,10:29:00,80.04,80.12,79.89,79.89,7971.0,1.0,0.0,0.0
2016-01-04,10:34:00,79.9,79.9,79.699,79.7,8069.0,1.0,0.0,0.0
2016-01-04,10:39:00,79.715,79.715,79.37,79.4,20203.0,1.0,0.0,0.0
2016-01-04,10:44:00,79.37,79.37,79.13,79.245,9779.0,1.0,0.0,0.0
2016-01-04,10:49:00,79.26,79.29,79.11,79.18,10620.0,1.0,0.0,0.0
2016-01-04,10:54:00,79.145,79.145,78.9,78.9,11550.0,1.0,0.0,0.0
2016-01-04,10:59:00,78.89,78.965,78.84,78.965,7710.0,1.0,0.0,0.0
2016-01-04,11:04:00,78.92,78.92,78.69,78.78,11531.0,1.0,0.0,0.0
2016-01-04,11:09:00,78.73,78.82,78.62,78.72,8895.0,1.0,0.0,0.0
2016-01-04,11:14:00,78.68,78.79,78.63,78.79,6704.0,1.0,0.0,0.0
2016-01-04,11:19:00,78.765,78.99,78.74,78.87,19052.0,1.0,0.0,0.0
2016-01-04,11:24:00,78.87,79.11,78.855,79.11,11863.0,1.0,0.0,0.0
2016-01-04,11:30:00,79.06,79.17,79.025,79.12,7726.0,1.0,0.0,0.0
2016-01-04,11:35:00,79.12,79.35,79.09,79.34,6687.0,1.0,0.0,0.0
2016-01-04,11:41:00,79.34,79.35,79.2,79.2799,7229.0,1.0,0.0,0.0
2016-01-04,11:46:00,79.275,79.32,79.1,79.11,8017.0,1.0,0.0,0.0
2016-01-04,11:51:00,79.1394,79.18,79.02,79.11,10329.0,1.0,0.0,0.0
2016-01-04,11:56:00,79.12,79.37,79.12,79.31,18806.0,1.0,0.0,0.0
2016-01-04,12:01:00,79.352,79.352,79.22,79.32,11637.0,1.0,0.0,0.0
2016-01-04,12:06:00,79.34,79.345,79.275,79.3,7695.0,1.0,0.0,0.0
2016-01-04,12:11:00,79.3,79.54,79.3,79.38,11102.0,1.0,0.0,0.0
2016-01-04,12:16:00,79.38,79.48,79.36,79.48,9196.0,1.0,0.0,0.0
2016-01-04,12:21:00,79.48,79.72,79.48,79.63,26384.0,1.0,0.0,0.0
2016-01-04,12:26:00,79.65,79.73,79.64,79.675,17136.0,1.0,0.0,0.0
2016-01-04,12:31:00,79.65,79.74,79.52,79.52,13009.0,1.0,0.0,0.0
2016-01-04,12:36:00,79.52,79.68,79.49,79.62,27906.0,1.0,0.0,0.0
2016-01-04,12:41:00,79.65,79.87,79.65,79.85,20666.0,1.0,0.0,0.0
2016-01-04,12:46:00,79.87,79.95,79.81,79.89,18821.0,1.0,0.0,0.0
2016-01-04,12:51:00,79.905,79.905,79.73,79.73,8656.0,1.0,0.0,0.0
2016-01-04,12:56:00,79.76,79.95,79.76,79.81,11519.0,1.0,0.0,0.0
2016-01-04,13:01:00,79.79,79.87,79.79,79.87,5370.0,1.0,0.0,0.0
2016-01-04,13:06:00,79.84,79.9,79.79,79.851,7762.0,1.0,0.0,0.0
2016-01-04,13:11:00,79.855,79.875,79.8,79.875,11967.0,1.0,0.0,0.0
2016-01-04,13:17:00,79.86,79.91,79.81,79.84,14774.0,1.0,0.0,0.0
2016-01-04,13:22:00,79.81,79.8205,79.69,79.7,5251.0,1.0,0.0,0.0
2016-01-04,13:27:00,79.65,79.6688,79.44,79.44,7027.0,1.0,0.0,0.0
2016-01-04,13:32:00,79.44,79.46,79.39,79.4,7777.0,1.0,0.0,0.0
2016-01-04,13:37:00,79.3975,79.3975,79.2839,79.2839,7504.0,1.0,0.0,0.0
2016-01-04,13:43:00,79.27,79.2899,79.17,79.21,6803.0,1.0,0.0,0.0
2016-01-04,13:48:00,79.19,79.2,79.05,79.09,6755.0,1.0,0.0,0.0
2016-01-04,13:53:00,79.0972,79.15,79.09,79.12,10570.0,1.0,0.0,0.0
2016-01-04,13:58:00,79.11,79.11,78.91,78.92,14520.0,1.0,0.0,0.0
2016-01-04,14:03:00,78.91,78.92,78.74,78.86,10962.0,1.0,0.0,0.0
2016-01-04,14:08:00,78.87,78.87,78.74,78.79,10548.0,1.0,0.0,0.0
2016-01-04,14:13:00,78.79,78.82,78.62,78.6503,16257.0,1.0,0.0,0.0
2016-01-04,14:18:00,78.66,78.66,78.45,78.555,19765.0,1.0,0.0,0.0
2016-01-04,14:23:00,78.56,78.78,78.56,78.715,13423.0,1.0,0.0,0.0
2016-01-04,14:28:00,78.74,78.79,78.57,78.57,12122.0,1.0,0.0,0.0
2016-01-04,14:33:00,78.61,78.66,78.45,78.46,10725.0,1.0,0.0,0.0
2016-01-04,14:38:00,78.45,78.48,78.27,78.34,10698.0,1.0,0.0,0.0
2016-01-04,14:43:00,78.31,78.3699,78.29,78.31,9904.0,1.0,0.0,0.0
2016-01-04,14:48:00,78.31,78.36,78.23,78.2513,15458.0,1.0,0.0,0.0
2016-01-04,14:53:00,78.23,78.33,78.18,78.22,10542.0,1.0,0.0,0.0
2016-01-04,14:58:00,78.2,78.34,78.16,78.22,14484.0,1.0,0.0,0.0
2016-01-04,15:03:00,78.2001,78.26100000000001,78.17,78.22,14434.0,1.0,0.0,0.0
2016-01-04,15:08:00,78.22,78.26,78.145,78.235,18651.0,1.0,0.0,0.0
2016-01-04,15:13:00,78.23,78.24,78.15,78.23,19038.0,1.0,0.0,0.0
2016-01-04,15:18:00,78.245,78.26,78.15,78.15,13484.0,1.0,0.0,0.0
2016-01-04,15:23:00,78.15,78.19,78.11,78.11,16442.0,1.0,0.0,0.0
2016-01-04,15:28:00,78.095,78.16,78.08,78.14,10247.0,1.0,0.0,0.0
