Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-06,75.36,75.58,73.75,74.64,3044488.0,1,0,0
2016-01-11,73.3,74.36,72.48,74.04,3261458.0,1,0,0
2016-01-14,74.3,74.89,71.51,72.35,3618513.0,1,0,0
2016-01-20,70.53,73.68,69.1,70.96,4297445.0,1,0,0
2016-01-25,71.32,71.94,69.89,69.95,3552240.0,1,0,0
2016-01-28,70.19,72.3,69.97,71.21,2320003.0,1,0,0
2016-02-02,71.56,73.67,70.34,70.72,3782541.0,1,0,0
2016-02-05,70.84,71.52,67.65,67.93,4086459.0,1,0,0
2016-02-10,67.43,68.94,64.79,66.91,3925209.0,1,0,0
2016-02-16,65.54,69.2,65.02,68.22,3830241.0,1,0,0
2016-02-19,68.71,69.81,67.6,67.93,3890463.0,1,0,0
2016-02-24,68.49,72.08,67.1,71.67,6668013.0,1,0,0
2016-02-29,72.36,74.55,71.89,72.84,3316028.0,1,0,0
2016-03-03,73.23,76.22,72.62,76.14,2790197.0,1,0,0
2016-03-08,76.09,77.23,75.35,75.65,2228691.0,1,0,0
2016-03-11,75.92,76.89,74.89,76.29,1670736.0,1,0,0
2016-03-16,76.15,77.15,75.68,76.9,1610910.0,1,0,0
2016-03-21,76.93,78.06,76.27,78.0,1962284.0,1,0,0
2016-03-24,77.47,78.17,76.41,77.61,1484145.0,1,0,0
