Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:32:00,132.56,133.03,132.1,132.64,3115.0,1.0,0.0,0.0
2016-01-04,09:33:00,132.58,132.63,132.23,132.53,3364.0,1.0,0.0,0.0
2016-01-04,09:34:00,132.52,132.52,132.15,132.35,265.0,1.0,0.0,0.0
2016-01-04,09:36:00,132.025,132.56,132.01,132.22899999999998,2574.0,1.0,0.0,0.0
2016-01-04,09:37:00,132.22,132.49,132.21,132.33,1993.0,1.0,0.0,0.0
2016-01-04,09:38:00,132.48,132.48,132.16,132.19,1279.0,1.0,0.0,0.0
2016-01-04,09:39:00,132.0,132.1,131.84,131.87,423.0,1.0,0.0,0.0
2016-01-04,09:40:00,131.98,131.98,131.98,131.98,100.0,1.0,0.0,0.0
2016-01-04,09:41:00,131.83,131.84,131.68,131.77,1462.0,1.0,0.0,0.0
2016-01-04,09:42:00,131.7,131.7,131.54,131.54,414.0,1.0,0.0,0.0
2016-01-04,09:43:00,131.49,131.52,131.49,131.52,477.0,1.0,0.0,0.0
2016-01-04,09:44:00,131.79,131.79,131.78,131.78,200.0,1.0,0.0,0.0
2016-01-04,09:45:00,131.69,131.86,131.58,131.58,2656.0,1.0,0.0,0.0
2016-01-04,09:46:00,131.496,131.62,131.41,131.41,849.0,1.0,0.0,0.0
2016-01-04,09:47:00,131.67,131.67,131.67,131.67,100.0,1.0,0.0,0.0
2016-01-04,09:48:00,131.68,131.68,131.64,131.64,323.0,1.0,0.0,0.0
2016-01-04,09:49:00,131.7,131.72,131.66,131.66,668.0,1.0,0.0,0.0
2016-01-04,09:50:00,131.62,131.93,131.62,131.93,635.0,1.0,0.0,0.0
2016-01-04,09:51:00,131.91,132.0,131.85,132.0,326.0,1.0,0.0,0.0
2016-01-04,09:52:00,132.03,132.03,132.025,132.03,165.0,1.0,0.0,0.0
2016-01-04,09:53:00,131.98,131.98,131.86,131.938,851.0,1.0,0.0,0.0
2016-01-04,09:54:00,131.89,131.89,131.88,131.88,200.0,1.0,0.0,0.0
2016-01-04,09:55:00,131.84,132.04,131.84,132.04,840.0,1.0,0.0,0.0
2016-01-04,09:56:00,132.05,132.07,131.91,131.92,710.0,1.0,0.0,0.0
2016-01-04,09:57:00,132.14,132.14,131.93,131.94,1047.0,1.0,0.0,0.0
2016-01-04,09:58:00,131.9,131.95,131.7,131.7,1501.0,1.0,0.0,0.0
2016-01-04,09:59:00,131.64,131.66,131.54,131.54,323.0,1.0,0.0,0.0
2016-01-04,10:00:00,131.54,131.79,131.54,131.782,929.0,1.0,0.0,0.0
2016-01-04,10:01:00,131.64,131.64,131.46,131.49,1078.0,1.0,0.0,0.0
2016-01-04,10:02:00,131.43,131.56,131.2,131.23,1698.0,1.0,0.0,0.0
2016-01-04,10:03:00,131.18,131.39,131.06,131.26,1845.0,1.0,0.0,0.0
2016-01-04,10:04:00,131.33,131.33,131.06,131.24,663.0,1.0,0.0,0.0
2016-01-04,10:05:00,131.155,131.155,131.07,131.07,152.0,1.0,0.0,0.0
2016-01-04,10:06:00,131.145,131.22,131.07,131.11,675.0,1.0,0.0,0.0
2016-01-04,10:07:00,131.12,131.12,131.09,131.09,285.0,1.0,0.0,0.0
2016-01-04,10:08:00,131.1,131.195,131.09,131.175,645.0,1.0,0.0,0.0
2016-01-04,10:09:00,131.12,131.29,131.1,131.24,506.0,1.0,0.0,0.0
2016-01-04,10:10:00,131.08,131.105,131.01,131.105,1365.0,1.0,0.0,0.0
2016-01-04,10:11:00,131.02,131.1,131.0,131.0,3836.0,1.0,0.0,0.0
2016-01-04,10:12:00,131.0,131.02,131.0,131.0,300.0,1.0,0.0,0.0
2016-01-04,10:13:00,131.01,131.11,131.0,131.0,460.0,1.0,0.0,0.0
