Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:32:00,8.4,8.42,8.34,8.34,129783.0,1.0,0.0,0.0
2016-01-04,09:35:00,8.35,8.46,8.35,8.42,139164.0,1.0,0.0,0.0
2016-01-04,09:38:00,8.41,8.5001,8.41,8.47,69476.0,1.0,0.0,0.0
2016-01-04,09:41:00,8.46,8.53,8.45,8.45,80337.0,1.0,0.0,0.0
2016-01-04,09:44:00,8.45,8.45,8.4,8.41,54941.0,1.0,0.0,0.0
2016-01-04,09:47:00,8.41,8.43,8.35,8.39,85047.0,1.0,0.0,0.0
2016-01-04,09:50:00,8.39,8.48,8.39,8.465,56497.0,1.0,0.0,0.0
2016-01-04,09:53:00,8.47,8.54,8.47,8.54,50123.0,1.0,0.0,0.0
2016-01-04,09:56:00,8.53,8.56,8.5,8.51,69728.0,1.0,0.0,0.0
2016-01-04,09:59:00,8.5034,8.55,8.49,8.52,117105.0,1.0,0.0,0.0
2016-01-04,10:02:00,8.525,8.59,8.5,8.54,79407.0,1.0,0.0,0.0
2016-01-04,10:05:00,8.53,8.6,8.53,8.57,36382.0,1.0,0.0,0.0
2016-01-04,10:08:00,8.57,8.63,8.54,8.63,39081.0,1.0,0.0,0.0
2016-01-04,10:11:00,8.63,8.7,8.62,8.64,194167.0,1.0,0.0,0.0
2016-01-04,10:14:00,8.65,8.67,8.61,8.6575,126827.0,1.0,0.0,0.0
2016-01-04,10:17:00,8.65,8.685,8.645,8.66,34172.0,1.0,0.0,0.0
2016-01-04,10:20:00,8.66,8.7,8.62,8.69,123051.0,1.0,0.0,0.0
2016-01-04,10:23:00,8.68,8.68,8.62,8.63,121821.0,1.0,0.0,0.0
2016-01-04,10:26:00,8.64,8.64,8.59,8.61,68570.0,1.0,0.0,0.0
2016-01-04,10:29:00,8.62,8.63,8.55,8.55,59146.0,1.0,0.0,0.0
2016-01-04,10:32:00,8.56,8.56,8.53,8.55,62737.0,1.0,0.0,0.0
2016-01-04,10:35:00,8.55,8.555,8.49,8.49,26088.0,1.0,0.0,0.0
2016-01-04,10:38:00,8.5,8.51,8.475,8.5,41734.0,1.0,0.0,0.0
2016-01-04,10:41:00,8.5,8.5,8.4001,8.41,110110.0,1.0,0.0,0.0
2016-01-04,10:44:00,8.41,8.47,8.4,8.46,97530.0,1.0,0.0,0.0
2016-01-04,10:47:00,8.45,8.45,8.4,8.42,90664.0,1.0,0.0,0.0
2016-01-04,10:50:00,8.415,8.44,8.4,8.41,64602.0,1.0,0.0,0.0
2016-01-04,10:53:00,8.41,8.42,8.39,8.39,94628.0,1.0,0.0,0.0
2016-01-04,10:56:00,8.3895,8.41,8.36,8.365,33089.0,1.0,0.0,0.0
2016-01-04,10:59:00,8.37,8.39,8.36,8.37,42869.0,1.0,0.0,0.0
2016-01-04,11:02:00,8.37,8.37,8.3201,8.37,98229.0,1.0,0.0,0.0
2016-01-04,11:05:00,8.36,8.41,8.35,8.36,67416.0,1.0,0.0,0.0
2016-01-04,11:08:00,8.36,8.3699,8.34,8.35,58549.0,1.0,0.0,0.0
2016-01-04,11:11:00,8.35,8.35,8.295,8.32,83187.0,1.0,0.0,0.0
2016-01-04,11:14:00,8.32,8.365,8.32,8.36,112634.0,1.0,0.0,0.0
2016-01-04,11:17:00,8.36,8.37,8.33,8.33,40462.0,1.0,0.0,0.0
2016-01-04,11:20:00,8.33,8.34,8.32,8.33,31120.0,1.0,0.0,0.0
2016-01-04,11:23:00,8.33,8.33,8.29,8.32,36586.0,1.0,0.0,0.0
2016-01-04,11:26:00,8.31,8.34,8.3,8.33,35957.0,1.0,0.0,0.0
2016-01-04,11:29:00,8.33,8.37,8.33,8.35,60487.0,1.0,0.0,0.0
2016-01-04,11:32:00,8.35,8.36,8.31,8.33,33250.0,1.0,0.0,0.0
2016-01-04,11:35:00,8.34,8.355,8.32,8.35,26923.0,1.0,0.0,0.0
2016-01-04,11:38:00,8.35,8.35,8.32,8.34,25370.0,1.0,0.0,0.0
2016-01-04,11:41:00,8.34,8.34,8.29,8.29,45856.0,1.0,0.0,0.0
2016-01-04,11:44:00,8.295,8.33,8.295,8.32,58190.0,1.0,0.0,0.0
2016-01-04,11:47:00,8.31,8.34,8.3,8.34,65108.0,1.0,0.0,0.0
2016-01-04,11:50:00,8.34,8.375,8.335,8.36,81538.0,1.0,0.0,0.0
2016-01-04,11:53:00,8.37,8.39,8.35,8.39,54756.0,1.0,0.0,0.0
2016-01-04,11:56:00,8.39,8.42,8.3876,8.41,62898.0,1.0,0.0,0.0
2016-01-04,11:59:00,8.41,8.42,8.395,8.42,44948.0,1.0,0.0,0.0
2016-01-04,12:02:00,8.42,8.43,8.4,8.43,37734.0,1.0,0.0,0.0
2016-01-04,12:05:00,8.43,8.48,8.43,8.46,64735.0,1.0,0.0,0.0
2016-01-04,12:08:00,8.46,8.52,8.455,8.51,43795.0,1.0,0.0,0.0
2016-01-04,12:11:00,8.51,8.515,8.49,8.5,50962.0,1.0,0.0,0.0
2016-01-04,12:14:00,8.5,8.51,8.49,8.49,34381.0,1.0,0.0,0.0
2016-01-04,12:17:00,8.49,8.49,8.425,8.425,56878.0,1.0,0.0,0.0
2016-01-04,12:20:00,8.425,8.43,8.4,8.42,67775.0,1.0,0.0,0.0
2016-01-04,12:23:00,8.415,8.42,8.4,8.41,20559.0,1.0,0.0,0.0
2016-01-04,12:26:00,8.415,8.44,8.4,8.44,28014.0,1.0,0.0,0.0
2016-01-04,12:29:00,8.44,8.48,8.43,8.47,79359.0,1.0,0.0,0.0
2016-01-04,12:32:00,8.46,8.47,8.44,8.45,65126.0,1.0,0.0,0.0
2016-01-04,12:35:00,8.4551,8.48,8.45,8.475,34820.0,1.0,0.0,0.0
2016-01-04,12:38:00,8.475,8.475,8.45,8.465,28010.0,1.0,0.0,0.0
2016-01-04,12:41:00,8.46,8.485,8.46,8.475,57596.0,1.0,0.0,0.0
2016-01-04,12:44:00,8.48,8.54,8.48,8.54,78769.0,1.0,0.0,0.0
2016-01-04,12:47:00,8.54,8.55,8.53,8.55,22089.0,1.0,0.0,0.0
2016-01-04,12:50:00,8.54,8.56,8.54,8.555,84288.0,1.0,0.0,0.0
2016-01-04,12:53:00,8.55,8.56,8.55,8.55,39399.0,1.0,0.0,0.0
2016-01-04,12:56:00,8.55,8.57,8.54,8.56,52632.0,1.0,0.0,0.0
2016-01-04,12:59:00,8.56,8.5601,8.53,8.5442,72568.0,1.0,0.0,0.0
2016-01-04,13:02:00,8.545,8.56,8.54,8.55,27415.0,1.0,0.0,0.0
2016-01-04,13:05:00,8.56,8.62,8.56,8.6,72527.0,1.0,0.0,0.0
2016-01-04,13:08:00,8.61,8.65,8.6,8.65,65656.0,1.0,0.0,0.0
2016-01-04,13:11:00,8.645,8.65,8.6339,8.65,45242.0,1.0,0.0,0.0
2016-01-04,13:14:00,8.64,8.645,8.59,8.61,292161.0,1.0,0.0,0.0
2016-01-04,13:17:00,8.61,8.64,8.6,8.63,65195.0,1.0,0.0,0.0
2016-01-04,13:20:00,8.63,8.66,8.63,8.6368,18465.0,1.0,0.0,0.0
2016-01-04,13:23:00,8.64,8.67,8.615,8.62,55300.0,1.0,0.0,0.0
2016-01-04,13:26:00,8.61,8.61,8.5801,8.6,34841.0,1.0,0.0,0.0
2016-01-04,13:29:00,8.6,8.6,8.57,8.57,32538.0,1.0,0.0,0.0
2016-01-04,13:32:00,8.561,8.585,8.56,8.56,28313.0,1.0,0.0,0.0
2016-01-04,13:35:00,8.56,8.58,8.55,8.57,20615.0,1.0,0.0,0.0
2016-01-04,13:38:00,8.57,8.58,8.56,8.565,17607.0,1.0,0.0,0.0
2016-01-04,13:41:00,8.56,8.6,8.56,8.59,49754.0,1.0,0.0,0.0
2016-01-04,13:44:00,8.595,8.61,8.57,8.59,46036.0,1.0,0.0,0.0
2016-01-04,13:47:00,8.5801,8.6,8.57,8.58,19304.0,1.0,0.0,0.0
2016-01-04,13:50:00,8.585,8.585,8.56,8.58,39232.0,1.0,0.0,0.0
2016-01-04,13:53:00,8.59,8.61,8.57,8.58,56529.0,1.0,0.0,0.0
2016-01-04,13:56:00,8.58,8.605,8.57,8.58,41829.0,1.0,0.0,0.0
2016-01-04,13:59:00,8.585,8.59,8.56,8.565,34454.0,1.0,0.0,0.0
2016-01-04,14:02:00,8.57,8.57,8.545,8.56,35431.0,1.0,0.0,0.0
2016-01-04,14:05:00,8.56,8.585,8.555,8.58,46704.0,1.0,0.0,0.0
2016-01-04,14:08:00,8.57,8.6,8.57,8.595,25536.0,1.0,0.0,0.0
2016-01-04,14:11:00,8.6,8.615,8.565,8.565,54492.0,1.0,0.0,0.0
2016-01-04,14:14:00,8.57,8.58,8.5645,8.57,43686.0,1.0,0.0,0.0
2016-01-04,14:17:00,8.57,8.58,8.56,8.58,41152.0,1.0,0.0,0.0
2016-01-04,14:20:00,8.58,8.62,8.58,8.605,61603.0,1.0,0.0,0.0
2016-01-04,14:23:00,8.6025,8.605,8.58,8.58,20409.0,1.0,0.0,0.0
2016-01-04,14:26:00,8.5899,8.59,8.56,8.565,41315.0,1.0,0.0,0.0
2016-01-04,14:29:00,8.57,8.585,8.56,8.57,31521.0,1.0,0.0,0.0
2016-01-04,14:32:00,8.57,8.57,8.54,8.55,23207.0,1.0,0.0,0.0
2016-01-04,14:35:00,8.55,8.58,8.54,8.58,45080.0,1.0,0.0,0.0
2016-01-04,14:38:00,8.575,8.59,8.57,8.59,21480.0,1.0,0.0,0.0
2016-01-04,14:41:00,8.58,8.59,8.58,8.59,19848.0,1.0,0.0,0.0
2016-01-04,14:44:00,8.59,8.6,8.58,8.6,62680.0,1.0,0.0,0.0
2016-01-04,14:47:00,8.6,8.62,8.59,8.62,44985.0,1.0,0.0,0.0
2016-01-04,14:50:00,8.61,8.64,8.61,8.635,74741.0,1.0,0.0,0.0
2016-01-04,14:53:00,8.635,8.64,8.62,8.62,50691.0,1.0,0.0,0.0
2016-01-04,14:56:00,8.6163,8.63,8.6068,8.63,38451.0,1.0,0.0,0.0
2016-01-04,14:59:00,8.63,8.63,8.62,8.625,17070.0,1.0,0.0,0.0
2016-01-04,15:02:00,8.625,8.63,8.6,8.6,32729.0,1.0,0.0,0.0
2016-01-04,15:05:00,8.6,8.6099,8.575,8.592,69402.0,1.0,0.0,0.0
2016-01-04,15:08:00,8.595,8.61,8.59,8.605,68557.0,1.0,0.0,0.0
2016-01-04,15:11:00,8.6086,8.63,8.59,8.63,72097.0,1.0,0.0,0.0
2016-01-04,15:14:00,8.63,8.66,8.62,8.655,84717.0,1.0,0.0,0.0
2016-01-04,15:17:00,8.65,8.67,8.6401,8.67,67865.0,1.0,0.0,0.0
2016-01-04,15:20:00,8.665,8.68,8.66,8.675,97621.0,1.0,0.0,0.0
2016-01-04,15:23:00,8.68,8.695,8.67,8.68,99903.0,1.0,0.0,0.0
2016-01-04,15:26:00,8.68,8.69,8.67,8.67,91178.0,1.0,0.0,0.0
2016-01-04,15:29:00,8.68,8.68,8.66,8.66,65195.0,1.0,0.0,0.0
2016-01-04,15:32:00,8.66,8.68,8.6501,8.675,112295.0,1.0,0.0,0.0
2016-01-04,15:35:00,8.675,8.68,8.66,8.67,115469.0,1.0,0.0,0.0
2016-01-04,15:38:00,8.68,8.68,8.63,8.63,162233.0,1.0,0.0,0.0
2016-01-04,15:41:00,8.63,8.66,8.62,8.66,162085.0,1.0,0.0,0.0
2016-01-04,15:44:00,8.66,8.66,8.64,8.66,161395.0,1.0,0.0,0.0
2016-01-04,15:47:00,8.655,8.66,8.63,8.63,252696.0,1.0,0.0,0.0
2016-01-04,15:50:00,8.63,8.66,8.63,8.65,201751.0,1.0,0.0,0.0
2016-01-04,15:53:00,8.645,8.65,8.63,8.63,184731.0,1.0,0.0,0.0
2016-01-04,15:56:00,8.63,8.635,8.61,8.62,182966.0,1.0,0.0,0.0
2016-01-04,15:59:00,8.61,8.64,8.6,8.63,890300.0,1.0,0.0,0.0
2016-01-05,09:32:00,8.67,8.8,8.61,8.69,103213.0,1.0,0.0,0.0
2016-01-05,09:35:00,8.69,8.72,8.62,8.64,49752.0,1.0,0.0,0.0
2016-01-05,09:38:00,8.64,8.66,8.6,8.6,43600.0,1.0,0.0,0.0
2016-01-05,09:41:00,8.6,8.62,8.53,8.54,98775.0,1.0,0.0,0.0
2016-01-05,09:44:00,8.55,8.6,8.5498,8.5498,170980.0,1.0,0.0,0.0
2016-01-05,09:47:00,8.54,8.54,8.45,8.4728,96722.0,1.0,0.0,0.0
2016-01-05,09:50:00,8.47,8.48,8.4,8.445,76832.0,1.0,0.0,0.0
2016-01-05,09:53:00,8.45,8.5,8.44,8.47,74189.0,1.0,0.0,0.0
2016-01-05,09:56:00,8.47,8.47,8.38,8.39,73095.0,1.0,0.0,0.0
2016-01-05,09:59:00,8.385,8.46,8.385,8.4577,76657.0,1.0,0.0,0.0
2016-01-05,10:02:00,8.4501,8.46,8.39,8.4,113956.0,1.0,0.0,0.0
2016-01-05,10:05:00,8.4,8.43,8.37,8.4,121273.0,1.0,0.0,0.0
2016-01-05,10:08:00,8.41,8.42,8.39,8.39,55628.0,1.0,0.0,0.0
2016-01-05,10:11:00,8.39,8.42,8.39,8.4,19043.0,1.0,0.0,0.0
2016-01-05,10:14:00,8.395,8.41,8.33,8.365,108364.0,1.0,0.0,0.0
2016-01-05,10:17:00,8.36,8.38,8.35,8.38,20281.0,1.0,0.0,0.0
2016-01-05,10:20:00,8.38,8.4033,8.36,8.36,17252.0,1.0,0.0,0.0
2016-01-05,10:23:00,8.35,8.35,8.28,8.29,119182.0,1.0,0.0,0.0
2016-01-05,10:26:00,8.29,8.33,8.29,8.32,46448.0,1.0,0.0,0.0
2016-01-05,10:29:00,8.32,8.3201,8.28,8.3,32971.0,1.0,0.0,0.0
2016-01-05,10:32:00,8.29,8.32,8.26,8.32,69985.0,1.0,0.0,0.0
2016-01-05,10:35:00,8.3175,8.33,8.3,8.33,31466.0,1.0,0.0,0.0
2016-01-05,10:38:00,8.32,8.34,8.29,8.29,23946.0,1.0,0.0,0.0
2016-01-05,10:41:00,8.29,8.3,8.24,8.25,220851.0,1.0,0.0,0.0
2016-01-05,10:44:00,8.2589,8.31,8.2589,8.29,49752.0,1.0,0.0,0.0
2016-01-05,10:47:00,8.28,8.28,8.26,8.275,29348.0,1.0,0.0,0.0
2016-01-05,10:50:00,8.28,8.345,8.27,8.3301,35850.0,1.0,0.0,0.0
2016-01-05,10:53:00,8.33,8.38,8.32,8.32,64711.0,1.0,0.0,0.0
2016-01-05,10:56:00,8.32,8.34,8.3,8.32,24523.0,1.0,0.0,0.0
2016-01-05,10:59:00,8.32,8.32,8.3,8.31,41887.0,1.0,0.0,0.0
2016-01-05,11:02:00,8.32,8.34,8.315,8.33,103354.0,1.0,0.0,0.0
2016-01-05,11:05:00,8.32,8.325,8.29,8.325,122987.0,1.0,0.0,0.0
2016-01-05,11:08:00,8.33,8.33,8.3,8.31,57930.0,1.0,0.0,0.0
2016-01-05,11:11:00,8.32,8.33,8.29,8.3,21584.0,1.0,0.0,0.0
2016-01-05,11:14:00,8.3,8.33,8.27,8.29,118662.0,1.0,0.0,0.0
2016-01-05,11:17:00,8.28,8.2811,8.245,8.27,80135.0,1.0,0.0,0.0
2016-01-05,11:20:00,8.27,8.28,8.26,8.26,46157.0,1.0,0.0,0.0
2016-01-05,11:23:00,8.26,8.2632,8.23,8.2524,53227.0,1.0,0.0,0.0
2016-01-05,11:26:00,8.25,8.29,8.24,8.28,27986.0,1.0,0.0,0.0
2016-01-05,11:29:00,8.29,8.3,8.27,8.28,51746.0,1.0,0.0,0.0
2016-01-05,11:32:00,8.28,8.32,8.28,8.32,23618.0,1.0,0.0,0.0
2016-01-05,11:35:00,8.32,8.35,8.31,8.32,59915.0,1.0,0.0,0.0
2016-01-05,11:38:00,8.31,8.34,8.285,8.295,58348.0,1.0,0.0,0.0
2016-01-05,11:41:00,8.2969,8.3,8.28,8.28,42714.0,1.0,0.0,0.0
2016-01-05,11:44:00,8.28,8.28,8.25,8.2563,40902.0,1.0,0.0,0.0
2016-01-05,11:47:00,8.25,8.26,8.23,8.26,50134.0,1.0,0.0,0.0
2016-01-05,11:50:00,8.255,8.28,8.25,8.28,79619.0,1.0,0.0,0.0
2016-01-05,11:53:00,8.27,8.275,8.235,8.24,54304.0,1.0,0.0,0.0
2016-01-05,11:56:00,8.235,8.24,8.22,8.22,39626.0,1.0,0.0,0.0
2016-01-05,11:59:00,8.22,8.23,8.19,8.19,73033.0,1.0,0.0,0.0
2016-01-05,12:02:00,8.19,8.205,8.165,8.18,145664.0,1.0,0.0,0.0
2016-01-05,12:05:00,8.175,8.19,8.15,8.16,43930.0,1.0,0.0,0.0
2016-01-05,12:08:00,8.15,8.18,8.15,8.16,34067.0,1.0,0.0,0.0
2016-01-05,12:11:00,8.16,8.2,8.16,8.185,53033.0,1.0,0.0,0.0
2016-01-05,12:14:00,8.18,8.18,8.16,8.17,33687.0,1.0,0.0,0.0
2016-01-05,12:17:00,8.1699,8.17,8.1362,8.14,66211.0,1.0,0.0,0.0
2016-01-05,12:20:00,8.14,8.16,8.131,8.14,60839.0,1.0,0.0,0.0
2016-01-05,12:23:00,8.15,8.15,8.13,8.15,31278.0,1.0,0.0,0.0
2016-01-05,12:26:00,8.15,8.16,8.15,8.15,33493.0,1.0,0.0,0.0
2016-01-05,12:29:00,8.15,8.17,8.1301,8.17,49278.0,1.0,0.0,0.0
2016-01-05,12:32:00,8.17,8.195,8.16,8.18,40122.0,1.0,0.0,0.0
2016-01-05,12:35:00,8.185,8.21,8.185,8.207,26645.0,1.0,0.0,0.0
2016-01-05,12:38:00,8.2,8.24,8.2,8.23,95201.0,1.0,0.0,0.0
2016-01-05,12:41:00,8.23,8.25,8.225,8.225,59183.0,1.0,0.0,0.0
2016-01-05,12:44:00,8.2299,8.2299,8.195,8.2,28850.0,1.0,0.0,0.0
2016-01-05,12:47:00,8.2,8.22,8.19,8.19,38747.0,1.0,0.0,0.0
2016-01-05,12:50:00,8.19,8.205,8.18,8.18,28017.0,1.0,0.0,0.0
2016-01-05,12:53:00,8.18,8.19,8.175,8.19,24115.0,1.0,0.0,0.0
2016-01-05,12:56:00,8.2,8.21,8.19,8.19,21289.0,1.0,0.0,0.0
2016-01-05,12:59:00,8.195,8.2,8.18,8.19,19602.0,1.0,0.0,0.0
2016-01-05,13:02:00,8.2,8.22,8.19,8.22,26219.0,1.0,0.0,0.0
2016-01-05,13:05:00,8.22,8.24,8.21,8.23,25744.0,1.0,0.0,0.0
2016-01-05,13:08:00,8.24,8.27,8.22,8.23,108271.0,1.0,0.0,0.0
2016-01-05,13:11:00,8.22,8.22,8.19,8.195,73278.0,1.0,0.0,0.0
2016-01-05,13:14:00,8.195,8.2,8.18,8.18,30234.0,1.0,0.0,0.0
2016-01-05,13:17:00,8.185,8.2,8.18,8.19,47084.0,1.0,0.0,0.0
2016-01-05,13:20:00,8.195,8.195,8.16,8.16,55759.0,1.0,0.0,0.0
2016-01-05,13:23:00,8.16,8.16,8.15,8.15,35284.0,1.0,0.0,0.0
2016-01-05,13:26:00,8.155,8.1599,8.13,8.135,38733.0,1.0,0.0,0.0
2016-01-05,13:29:00,8.135,8.18,8.13,8.16,57029.0,1.0,0.0,0.0
2016-01-05,13:32:00,8.165,8.185,8.16,8.185,31981.0,1.0,0.0,0.0
2016-01-05,13:35:00,8.185,8.2,8.18,8.185,25305.0,1.0,0.0,0.0
2016-01-05,13:38:00,8.19,8.19,8.18,8.185,17651.0,1.0,0.0,0.0
