Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:34:00,6.37,6.37,6.17,6.29,160951.0,1.0,0.0,0.0
2016-01-04,09:39:00,6.29,6.36,6.29,6.35,27931.0,1.0,0.0,0.0
2016-01-04,09:44:00,6.349,6.36,6.3,6.32,29712.0,1.0,0.0,0.0
2016-01-04,09:49:00,6.32,6.34,6.31,6.32,8716.0,1.0,0.0,0.0
2016-01-04,09:54:00,6.33,6.37,6.33,6.36,17617.0,1.0,0.0,0.0
2016-01-04,09:59:00,6.36,6.36,6.3,6.3,14186.0,1.0,0.0,0.0
2016-01-04,10:04:00,6.3,6.31,6.25,6.255,33784.0,1.0,0.0,0.0
2016-01-04,10:09:00,6.26,6.27,6.2001,6.2001,50120.0,1.0,0.0,0.0
2016-01-04,10:14:00,6.21,6.23,6.1866,6.21,38176.0,1.0,0.0,0.0
2016-01-04,10:19:00,6.22,6.24,6.2,6.21,32903.0,1.0,0.0,0.0
2016-01-04,10:24:00,6.22,6.25,6.21,6.24,41793.0,1.0,0.0,0.0
2016-01-04,10:29:00,6.2301,6.24,6.2,6.202000000000001,15000.0,1.0,0.0,0.0
2016-01-04,10:34:00,6.2,6.2,6.16,6.16,32343.0,1.0,0.0,0.0
2016-01-04,10:39:00,6.16,6.16,6.145,6.15,21201.0,1.0,0.0,0.0
2016-01-04,10:44:00,6.15,6.17,6.12,6.17,59172.0,1.0,0.0,0.0
2016-01-04,10:49:00,6.17,6.18,6.155,6.1701,35524.0,1.0,0.0,0.0
2016-01-04,10:54:00,6.1701,6.1795,6.16,6.16,83717.0,1.0,0.0,0.0
2016-01-04,10:59:00,6.16,6.16,6.14,6.141,31153.0,1.0,0.0,0.0
2016-01-04,11:05:00,6.14,6.155,6.11,6.12,57818.0,1.0,0.0,0.0
2016-01-04,11:10:00,6.115,6.13,6.11,6.11,38072.0,1.0,0.0,0.0
2016-01-04,11:15:00,6.11,6.13,6.11,6.12,17862.0,1.0,0.0,0.0
2016-01-04,11:20:00,6.13,6.13,6.1,6.12,37215.0,1.0,0.0,0.0
2016-01-04,11:25:00,6.115,6.12,6.09,6.0999,102068.0,1.0,0.0,0.0
2016-01-04,11:30:00,6.09,6.12,6.09,6.11,24561.0,1.0,0.0,0.0
2016-01-04,11:35:00,6.115,6.13,6.1,6.13,29966.0,1.0,0.0,0.0
2016-01-04,11:40:00,6.12,6.1279,6.1,6.1,9335.0,1.0,0.0,0.0
2016-01-04,11:45:00,6.1094,6.1094,6.09,6.09,19718.0,1.0,0.0,0.0
2016-01-04,11:50:00,6.095,6.1,6.09,6.09,34738.0,1.0,0.0,0.0
2016-01-04,11:55:00,6.095,6.12,6.09,6.12,31970.0,1.0,0.0,0.0
2016-01-04,12:00:00,6.12,6.12,6.09,6.09,19746.0,1.0,0.0,0.0
2016-01-04,12:05:00,6.0975,6.1,6.09,6.09,6521.0,1.0,0.0,0.0
2016-01-04,12:10:00,6.09,6.13,6.09,6.1267,33211.0,1.0,0.0,0.0
2016-01-04,12:15:00,6.125,6.15,6.125,6.14,33611.0,1.0,0.0,0.0
2016-01-04,12:20:00,6.15,6.15,6.11,6.13,38877.0,1.0,0.0,0.0
2016-01-04,12:25:00,6.125,6.125,6.09,6.095,39801.0,1.0,0.0,0.0
2016-01-04,12:30:00,6.1,6.11,6.09,6.1,45614.0,1.0,0.0,0.0
2016-01-04,12:36:00,6.09,6.1,6.085,6.095,45123.0,1.0,0.0,0.0
2016-01-04,12:41:00,6.1,6.1,6.09,6.1,10563.0,1.0,0.0,0.0
2016-01-04,12:46:00,6.1,6.12,6.1,6.12,41193.0,1.0,0.0,0.0
2016-01-04,12:51:00,6.115,6.12,6.1,6.1,23521.0,1.0,0.0,0.0
2016-01-04,12:56:00,6.11,6.13,6.1,6.115,29375.0,1.0,0.0,0.0
2016-01-04,13:01:00,6.115,6.12,6.11,6.115,19001.0,1.0,0.0,0.0
2016-01-04,13:06:00,6.115,6.13,6.11,6.127999999999999,15027.0,1.0,0.0,0.0
2016-01-04,13:11:00,6.13,6.13,6.12,6.12,9401.0,1.0,0.0,0.0
2016-01-04,13:16:00,6.12,6.13,6.11,6.13,53447.0,1.0,0.0,0.0
2016-01-04,13:21:00,6.12,6.16,6.12,6.15,28144.0,1.0,0.0,0.0
2016-01-04,13:26:00,6.14,6.14,6.13,6.14,66872.0,1.0,0.0,0.0
2016-01-04,13:31:00,6.135,6.14,6.13,6.13,13014.0,1.0,0.0,0.0
2016-01-04,13:36:00,6.135,6.175,6.13,6.16,66361.0,1.0,0.0,0.0
2016-01-04,13:41:00,6.15,6.17,6.15,6.17,16213.0,1.0,0.0,0.0
2016-01-04,13:46:00,6.17,6.17,6.15,6.155,13766.0,1.0,0.0,0.0
2016-01-04,13:51:00,6.15,6.155,6.13,6.145,28572.0,1.0,0.0,0.0
2016-01-04,13:56:00,6.145,6.15,6.11,6.125,85227.0,1.0,0.0,0.0
2016-01-04,14:01:00,6.13,6.13,6.11,6.12,27822.0,1.0,0.0,0.0
2016-01-04,14:06:00,6.12,6.12,6.11,6.115,5084.0,1.0,0.0,0.0
2016-01-04,14:11:00,6.11,6.12,6.1,6.1,51626.0,1.0,0.0,0.0
2016-01-04,14:16:00,6.105,6.105,6.09,6.095,142554.0,1.0,0.0,0.0
2016-01-04,14:21:00,6.09,6.13,6.09,6.13,43014.0,1.0,0.0,0.0
2016-01-04,14:26:00,6.13,6.14,6.12,6.12,22193.0,1.0,0.0,0.0
2016-01-04,14:31:00,6.115,6.13,6.11,6.125,21918.0,1.0,0.0,0.0
2016-01-04,14:37:00,6.13,6.16,6.125,6.15,44936.0,1.0,0.0,0.0
2016-01-04,14:42:00,6.145,6.15,6.14,6.145,5474.0,1.0,0.0,0.0
2016-01-04,14:47:00,6.1464,6.16,6.14,6.15,40214.0,1.0,0.0,0.0
2016-01-04,14:52:00,6.15,6.17,6.15,6.155,21259.0,1.0,0.0,0.0
2016-01-04,14:57:00,6.16,6.16,6.12,6.135,58342.0,1.0,0.0,0.0
2016-01-04,15:02:00,6.13,6.1323,6.08,6.08,117692.0,1.0,0.0,0.0
2016-01-04,15:07:00,6.0839,6.11,6.075,6.11,32335.0,1.0,0.0,0.0
2016-01-04,15:12:00,6.11,6.12,6.1061,6.115,25623.0,1.0,0.0,0.0
2016-01-04,15:17:00,6.11,6.11,6.09,6.11,40981.0,1.0,0.0,0.0
2016-01-04,15:22:00,6.115,6.12,6.11,6.11,14540.0,1.0,0.0,0.0
2016-01-04,15:27:00,6.11,6.115,6.08,6.08,36680.0,1.0,0.0,0.0
2016-01-04,15:32:00,6.08,6.1,6.075,6.1,68350.0,1.0,0.0,0.0
2016-01-04,15:37:00,6.09,6.1,6.07,6.07,48742.0,1.0,0.0,0.0
2016-01-04,15:42:00,6.07,6.09,6.07,6.07,71667.0,1.0,0.0,0.0
2016-01-04,15:47:00,6.07,6.16,6.07,6.155,171960.0,1.0,0.0,0.0
2016-01-04,15:52:00,6.16,6.16,6.11,6.11,123150.0,1.0,0.0,0.0
2016-01-04,15:57:00,6.11,6.12,6.11,6.115,162658.0,1.0,0.0,0.0
2016-01-05,09:32:00,6.1101,6.17,6.1,6.15,205242.0,1.0,0.0,0.0
2016-01-05,09:37:00,6.16,6.16,6.11,6.11,43648.0,1.0,0.0,0.0
2016-01-05,09:42:00,6.1,6.11,6.03,6.04,40160.0,1.0,0.0,0.0
2016-01-05,09:47:00,6.03,6.1,6.03,6.05,34794.0,1.0,0.0,0.0
2016-01-05,09:52:00,6.06,6.085,6.02,6.025,42326.0,1.0,0.0,0.0
2016-01-05,09:57:00,6.03,6.1,6.03,6.0625,45891.0,1.0,0.0,0.0
