Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,6.37,6.37,5.84,5.89,13368974.0,1,0,0
2016-01-15,5.91,6.05,5.0,5.245,13606154.0,1,0,0
2016-01-25,5.25,5.745,4.75,5.635,11637148.0,1,0,0
2016-02-01,5.6,5.865,5.5,5.8,8195055.0,1,0,0
2016-02-08,5.69,5.78,5.22,5.375,9322196.0,1,0,0
2016-02-16,5.25,5.9,5.22,5.655,7747085.0,1,0,0
2016-02-23,5.69,6.59,5.69,6.43,9354196.0,1,0,0
2016-03-01,6.32,7.94,6.05,7.32,17581205.0,1,0,0
2016-03-08,7.24,8.35,7.2,7.8,15454074.0,1,0,0
2016-03-15,7.75,8.3,7.36,7.49,11295238.0,1,0,0
2016-03-22,7.49,7.98,7.12,7.53,10106456.0,1,0,0
