Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:32:00,5.68,5.74,5.621,5.71,65710.0,1.0,0.0,0.0
2016-01-04,09:35:00,5.72,5.76,5.6901,5.755,22034.0,1.0,0.0,0.0
2016-01-04,09:38:00,5.75,5.885,5.745,5.86,97339.0,1.0,0.0,0.0
2016-01-04,09:41:00,5.8502,5.89,5.75,5.76,79149.0,1.0,0.0,0.0
2016-01-04,09:44:00,5.76,5.78,5.67,5.67,30595.0,1.0,0.0,0.0
2016-01-04,09:47:00,5.66,5.71,5.64,5.7,31891.0,1.0,0.0,0.0
2016-01-04,09:50:00,5.7098,5.75,5.67,5.74,25219.0,1.0,0.0,0.0
2016-01-04,09:53:00,5.74,5.8,5.74,5.79,102081.0,1.0,0.0,0.0
2016-01-04,09:56:00,5.79,5.8,5.71,5.72,49733.0,1.0,0.0,0.0
2016-01-04,09:59:00,5.7138,5.76,5.7138,5.75,29026.0,1.0,0.0,0.0
2016-01-04,10:02:00,5.75,5.8,5.73,5.75,51010.0,1.0,0.0,0.0
2016-01-04,10:05:00,5.75,5.82,5.73,5.795,127919.0,1.0,0.0,0.0
2016-01-04,10:08:00,5.79,5.91,5.775,5.91,73840.0,1.0,0.0,0.0
2016-01-04,10:11:00,5.91,5.9599,5.88,5.88,186839.0,1.0,0.0,0.0
2016-01-04,10:14:00,5.885,5.97,5.885,5.97,80096.0,1.0,0.0,0.0
2016-01-04,10:17:00,5.97,6.01,5.97,5.987,121786.0,1.0,0.0,0.0
2016-01-04,10:20:00,5.98,5.98,5.925,5.955,151806.0,1.0,0.0,0.0
2016-01-04,10:23:00,5.95,5.97,5.9,5.93,115178.0,1.0,0.0,0.0
2016-01-04,10:26:00,5.93,5.95,5.88,5.8805,80556.0,1.0,0.0,0.0
2016-01-04,10:29:00,5.88,5.88,5.76,5.77,157724.0,1.0,0.0,0.0
2016-01-04,10:32:00,5.765,5.81,5.74,5.76,174286.0,1.0,0.0,0.0
2016-01-04,10:35:00,5.74,5.78,5.74,5.78,98358.0,1.0,0.0,0.0
2016-01-04,10:38:00,5.78,5.78,5.75,5.76,66853.0,1.0,0.0,0.0
2016-01-04,10:41:00,5.75,5.76,5.64,5.645,143486.0,1.0,0.0,0.0
2016-01-04,10:44:00,5.644,5.7,5.64,5.6808,46584.0,1.0,0.0,0.0
2016-01-04,10:47:00,5.68,5.685,5.65,5.67,51740.0,1.0,0.0,0.0
2016-01-04,10:50:00,5.675,5.71,5.67,5.695,59354.0,1.0,0.0,0.0
2016-01-04,10:53:00,5.695,5.7,5.66,5.66,30798.0,1.0,0.0,0.0
2016-01-04,10:56:00,5.66,5.67,5.6,5.6,24846.0,1.0,0.0,0.0
2016-01-04,10:59:00,5.601,5.601,5.56,5.565,73431.0,1.0,0.0,0.0
2016-01-04,11:02:00,5.5692,5.575,5.52,5.56,85718.0,1.0,0.0,0.0
2016-01-04,11:05:00,5.56,5.59,5.54,5.54,45447.0,1.0,0.0,0.0
2016-01-04,11:08:00,5.54,5.55,5.51,5.52,45936.0,1.0,0.0,0.0
2016-01-04,11:11:00,5.525,5.53,5.51,5.51,25953.0,1.0,0.0,0.0
2016-01-04,11:14:00,5.51,5.55,5.51,5.545,47042.0,1.0,0.0,0.0
2016-01-04,11:17:00,5.545,5.55,5.51,5.51,56953.0,1.0,0.0,0.0
2016-01-04,11:20:00,5.515,5.52,5.5,5.51,55979.0,1.0,0.0,0.0
2016-01-04,11:23:00,5.515,5.52,5.47,5.49,62510.0,1.0,0.0,0.0
2016-01-04,11:26:00,5.4825,5.49,5.47,5.48,43745.0,1.0,0.0,0.0
2016-01-04,11:29:00,5.475,5.54,5.47,5.51,79496.0,1.0,0.0,0.0
2016-01-04,11:32:00,5.515,5.515,5.47,5.49,80954.0,1.0,0.0,0.0
2016-01-04,11:35:00,5.5,5.52,5.48,5.5,34241.0,1.0,0.0,0.0
2016-01-04,11:38:00,5.51,5.525,5.48,5.5,33738.0,1.0,0.0,0.0
2016-01-04,11:41:00,5.5,5.5099,5.48,5.49,43161.0,1.0,0.0,0.0
2016-01-04,11:44:00,5.4975,5.5,5.485,5.4901,61686.0,1.0,0.0,0.0
2016-01-04,11:47:00,5.495,5.51,5.47,5.51,61351.0,1.0,0.0,0.0
2016-01-04,11:50:00,5.5067,5.525,5.49,5.505,26676.0,1.0,0.0,0.0
2016-01-04,11:53:00,5.51,5.5301,5.495,5.53,22716.0,1.0,0.0,0.0
2016-01-04,11:56:00,5.53,5.57,5.53,5.545,36548.0,1.0,0.0,0.0
2016-01-04,11:59:00,5.545,5.57,5.54,5.57,37760.0,1.0,0.0,0.0
2016-01-04,12:02:00,5.579,5.61,5.57,5.595,54608.0,1.0,0.0,0.0
2016-01-04,12:05:00,5.6,5.645,5.6,5.625,79257.0,1.0,0.0,0.0
2016-01-04,12:08:00,5.625,5.67,5.62,5.665,87298.0,1.0,0.0,0.0
2016-01-04,12:11:00,5.66,5.67,5.64,5.65,43145.0,1.0,0.0,0.0
2016-01-04,12:14:00,5.65,5.66,5.64,5.645,47487.0,1.0,0.0,0.0
2016-01-04,12:17:00,5.64,5.64,5.6,5.6,26135.0,1.0,0.0,0.0
2016-01-04,12:20:00,5.6,5.61,5.6,5.61,13744.0,1.0,0.0,0.0
2016-01-04,12:23:00,5.6,5.61,5.59,5.59,13139.0,1.0,0.0,0.0
2016-01-04,12:26:00,5.59,5.605,5.59,5.6,24034.0,1.0,0.0,0.0
2016-01-04,12:29:00,5.6099,5.63,5.6,5.62,36842.0,1.0,0.0,0.0
2016-01-04,12:32:00,5.62,5.63,5.61,5.62,24608.0,1.0,0.0,0.0
2016-01-04,12:35:00,5.615,5.63,5.61,5.6232,23209.0,1.0,0.0,0.0
