Date,Time,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,09:36:00,7.7994,7.8292,7.5709,7.6603,442823.69999999995,1.0,0.0,0.0
2016-01-04,09:43:00,7.6679,7.8421,7.6603,7.7994,302908.7,1.0,0.0,0.0
2016-01-04,09:50:00,7.7994,7.8194,7.71,7.7795,195802.61999999997,1.0,0.0,0.0
2016-01-04,09:57:00,7.7795,7.9186,7.7696,7.7895,332153.9,1.0,0.0,0.0
2016-01-04,10:04:00,7.7971,7.8292,7.7001,7.7199,251480.30000000013,1.0,0.0,0.0
2016-01-04,10:11:00,7.71,7.8392,7.6653,7.8392,295641.8000000001,1.0,0.0,0.0
2016-01-04,10:18:00,7.8292,7.8421,7.7492,7.7895,169270.71000000014,1.0,0.0,0.0
2016-01-04,10:25:00,7.7849,7.7994,7.73,7.7696,109173.63000000018,1.0,0.0,0.0
2016-01-04,10:32:00,7.7795,7.7994,7.6901,7.71,236349.90000000026,1.0,0.0,0.0
2016-01-04,10:39:00,7.715,7.7198,7.6603,7.6802,303444.30000000034,1.0,0.0,0.0
2016-01-04,10:46:00,7.6802,7.71,7.6305,7.6871,292953.5700000003,1.0,0.0,0.0
2016-01-04,10:53:00,7.6901,7.7299,7.6514,7.6703,246231.60000000027,1.0,0.0,0.0
2016-01-04,11:00:00,7.6603,7.7199,7.6504,7.6703,171326.8500000003,1.0,0.0,0.0
2016-01-04,11:07:00,7.6653,7.6802,7.5908,7.6271,400153.30000000034,1.0,0.0,0.0
2016-01-04,11:14:00,7.6305,7.6603,7.6106,7.6603,79517.40000000031,1.0,0.0,0.0
2016-01-04,11:21:00,7.6603,7.6703,7.6007,7.6106,143604.37000000032,1.0,0.0,0.0
2016-01-04,11:28:00,7.6106,7.71,7.6106,7.7001,184267.1000000003,1.0,0.0,0.0
2016-01-04,11:35:00,7.7061,7.7299,7.6703,7.71,71825.93000000028,1.0,0.0,0.0
2016-01-04,11:42:00,7.7075,7.7249,7.6802,7.7001,104502.37000000032,1.0,0.0,0.0
2016-01-04,11:49:00,7.6951,7.7398,7.6802,7.7398,116221.77000000034,1.0,0.0,0.0
2016-01-04,11:56:00,7.7348,7.7547,7.7056,7.7348,65463.88300000034,1.0,0.0,0.0
2016-01-04,12:03:00,7.7299,7.7497,7.71,7.7299,98379.83400000034,1.0,0.0,0.0
2016-01-04,12:10:00,7.7348,7.7577,7.71,7.7299,137671.98000000033,1.0,0.0,0.0
2016-01-04,12:17:00,7.7199,7.7398,7.71,7.7199,62682.850000000326,1.0,0.0,0.0
2016-01-04,12:24:00,7.71,7.7199,7.6901,7.6911,46017.46200000033,1.0,0.0,0.0
2016-01-04,12:31:00,7.6901,7.7398,7.6901,7.7199,57677.630000000325,1.0,0.0,0.0
2016-01-04,12:38:00,7.71,7.7398,7.7001,7.7299,25870.70200000033,1.0,0.0,0.0
2016-01-04,12:45:00,7.7299,7.7933,7.7299,7.782,59249.76300000033,1.0,0.0,0.0
2016-01-04,12:52:00,7.7895,7.8243,7.7895,7.8193,79303.95000000032,1.0,0.0,0.0
2016-01-04,12:59:00,7.8292,7.8392,7.8094,7.8392,110048.14000000032,1.0,0.0,0.0
2016-01-04,13:06:00,7.8292,7.8739,7.7994,7.8491,115091.63000000031,1.0,0.0,0.0
2016-01-04,13:13:00,7.859,7.8888,7.8491,7.869,128439.7200000003,1.0,0.0,0.0
2016-01-04,13:20:00,7.87,7.8789,7.8292,7.859,112517.04400000031,1.0,0.0,0.0
2016-01-04,13:27:00,7.869,7.8988,7.859,7.869,86747.86000000032,1.0,0.0,0.0
2016-01-04,13:34:00,7.869,7.8888,7.8491,7.8888,86418.86900000033,1.0,0.0,0.0
2016-01-04,13:41:00,7.8839,7.9087,7.859,7.9008,127633.35800000034,1.0,0.0,0.0
2016-01-04,13:48:00,7.8989,7.9336,7.8989,7.9186,139319.76500000033,1.0,0.0,0.0
2016-01-04,13:55:00,7.9112,7.9683,7.9112,7.9683,125587.10100000034,1.0,0.0,0.0
2016-01-04,14:02:00,7.9653,7.9683,7.8789,7.8789,154158.26300000036,1.0,0.0,0.0
2016-01-04,14:09:00,7.8789,7.9236,7.8739,7.9112,93869.87000000033,1.0,0.0,0.0
2016-01-04,14:16:00,7.9186,7.9186,7.8222,7.8789,85043.97000000032,1.0,0.0,0.0
2016-01-04,14:23:00,7.8764,7.9087,7.8236,7.8988,78042.92000000033,1.0,0.0,0.0
2016-01-04,14:30:00,7.8988,7.9087,7.869,7.8938,42794.780000000326,1.0,0.0,0.0
2016-01-04,14:37:00,7.8938,7.9286,7.869,7.9286,77595.98900000034,1.0,0.0,0.0
2016-01-04,14:44:00,7.9236,7.9385,7.9186,7.9385,43173.14900000034,1.0,0.0,0.0
2016-01-04,14:51:00,7.9385,8.0081,7.9385,7.9733,107929.46100000033,1.0,0.0,0.0
2016-01-04,14:58:00,7.9683,7.9882,7.9485,7.9682,81177.08000000034,1.0,0.0,0.0
2016-01-04,15:05:00,7.9584,7.9683,7.9385,7.9584,79681.41000000034,1.0,0.0,0.0
2016-01-04,15:12:00,7.9584,7.9683,7.9485,7.9584,53638.610000000335,1.0,0.0,0.0
2016-01-04,15:19:00,7.9584,8.0379,7.9584,8.0378,230785.00000000032,1.0,0.0,0.0
2016-01-04,15:26:00,8.0279,8.0478,8.0081,8.0428,206230.80000000034,1.0,0.0,0.0
2016-01-04,15:33:00,8.0478,8.0677,8.0383,8.0578,193312.57000000036,1.0,0.0,0.0
2016-01-04,15:40:00,8.0677,8.0876,8.0379,8.0677,509189.50000000035,1.0,0.0,0.0
2016-01-04,15:47:00,8.0727,8.0776,8.0379,8.0603,223113.6900000002,1.0,0.0,0.0
2016-01-04,15:54:00,8.0577,8.0677,8.0478,8.0677,214477.94000000015,1.0,0.0,0.0
2016-01-05,09:31:00,8.0627,8.1968,7.9882,8.0776,697976.6000000001,1.0,0.0,0.0
2016-01-05,09:38:00,8.0776,8.1968,7.8789,7.9087,513186.4,1.0,0.0,0.0
2016-01-05,09:45:00,7.9087,7.9683,7.8363,7.9186,232624.90000000002,1.0,0.0,0.0
2016-01-05,09:52:00,7.9186,7.9485,7.869,7.9278,119533.18999999994,1.0,0.0,0.0
