Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-08,45.8245,46.4653,42.5655,42.6549,16787975.533200003,1,0,0.0
2016-01-15,43.0822,43.4697,40.1809,42.5258,20990691.439000007,1,0,0.0
2016-01-25,43.1418,48.0005,41.4229,47.1956,27014573.429000016,1,0,0.0
2016-02-01,47.2851,49.9777,47.0665,49.5803,14236763.292200014,1,0,0.0
2016-02-08,48.8053,49.3617,46.2567,47.0764,16520420.378000017,1,0,0.0
2016-02-16,46.9274,48.07,45.5562,47.7719,13370750.852000006,1,0,0.0
2016-02-23,48.1296,48.9344,47.5533,48.1594,10403228.007400006,1,0,0.0
2016-03-01,47.0565,48.47,46.0331,48.23,14647907.575000003,1,0,0.0
2016-03-08,48.19,48.29,45.91,45.95,13180171.000000007,1,0,0.0
2016-03-15,46.09,47.58,45.91,47.05,13401770.000000007,1,0,0.0
2016-03-22,46.7,47.91,46.65,47.57,14265969.000000007,1,0,0.0
