Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
2016-01-04,46.8372,47.6155,46.6476,47.1865,2575530.0129999984,1,0,0.0
2016-01-05,47.406000000000006,47.9947,47.169,47.9149,3021020.5009999983,1,0,0.0
2016-01-06,47.1665,48.2441,47.1066,47.855,3593991.3503999994,1,0,0.0
2016-01-07,46.8971,47.8949,46.1886,46.4581,4151598.3209999995,1,0,0.0
2016-01-08,46.8372,47.4658,45.55,45.7696,4249245.630000002,1,0,0.0
2016-01-11,45.9991,46.2485,43.7241,44.4724,3979867.4439999964,1,0,0.0
2016-01-12,43.7739,44.9514,43.1553,44.8815,6211063.965999999,1,0,0.0
2016-01-13,45.1509,45.2407,42.9358,43.1553,4070355.0359999966,1,0,0.0
2016-01-14,43.2451,44.3028,42.5566,44.0284,4558417.411,1,0,0.0
2016-01-15,42.5566,43.754,42.5566,43.295,3681713.740000003,1,0,0.0
2016-01-19,44.11,44.7235,42.73,43.2,4304607.0,1,0,0.095
2016-01-20,42.57,44.28,42.4099,43.8,5040089.0,1,0,0.0
2016-01-21,43.79,43.92,42.98,43.09,3092290.0,1,0,0.0
2016-01-22,43.59,43.82,43.1,43.42,2921643.0,1,0,0.0
2016-01-25,43.25,43.765,43.06,43.23,2233143.0,1,0,0.0
2016-01-26,43.3,44.06,43.15,43.89,3636790.0,1,0,0.0
2016-01-27,43.67,44.36,42.795,43.17,2267789.0,1,0,0.0
2016-01-28,43.4,43.575,42.71,42.845,5471557.0,1,0,0.0
2016-01-29,43.2,43.37,42.61,43.03,6391683.0,1,0,0.0
2016-02-01,43.0,43.39,42.51,42.95,4425037.0,1,0,0.0
2016-02-02,42.43,42.53,41.37,41.7,3191997.0,1,0,0.0
2016-02-03,41.84,42.034,40.45,41.3,4954148.0,1,0,0.0
2016-02-04,41.15,41.95,40.93,41.55,3782402.0,1,0,0.0
2016-02-05,41.26,41.51,40.61,40.9,3928368.0,1,0,0.0
2016-02-08,40.4,40.71,39.5901,40.17,3529249.0,1,0,0.0
2016-02-09,39.58,40.96,39.37,39.88,5753138.0,1,0,0.0
2016-02-10,40.17,40.48,39.25,39.33,6070165.0,1,0,0.0
2016-02-11,38.98,39.5275,38.26,39.34,7347528.0,1,0,0.0
2016-02-12,39.81,40.48,39.21,40.42,6413108.0,1,0,0.0
2016-02-16,41.41,41.88,39.73,40.45,5281822.0,1,0,0.0
2016-02-17,40.78,42.0,40.47,41.8,6674009.0,1,0,0.0
2016-02-18,41.56,42.37,41.52,42.01,5139897.0,1,0,0.0
2016-02-19,42.07,42.23,41.3981,41.84,3662864.0,1,0,0.0
2016-02-22,42.12,42.83,41.79,42.76,3218695.0,1,0,0.0
2016-02-23,42.58,43.2,42.29,42.36,2288378.0,1,0,0.0
2016-02-24,41.94,42.42,41.25,42.35,2870838.0,1,0,0.0
2016-02-25,42.37,42.92,41.785,42.92,3583872.0,1,0,0.0
2016-02-26,42.99,43.35,42.22,42.36,2423161.0,1,0,0.0
2016-02-29,42.1,42.18,41.05,41.06,2923613.0,1,0,0.0
2016-03-01,41.49,42.14,40.88,42.09,4895025.0,1,0,0.0
2016-03-02,41.91,42.18,41.51,41.725,2320563.0,1,0,0.0
2016-03-03,41.72,41.85,40.7,41.09,4260973.0,1,0,0.0
2016-03-04,41.08,41.32,40.615,40.81,3401446.0,1,0,0.0
2016-03-07,40.6,41.43,40.46,41.2,3494501.0,1,0,0.0
2016-03-08,40.84,41.14,40.16,40.22,2979884.0,1,0,0.0
2016-03-09,40.55,40.6,39.84,40.44,3686596.0,1,0,0.0
2016-03-10,39.92,40.61,39.35,39.91,7749269.0,1,0,0.0
2016-03-11,40.2,41.905,40.02,41.86,5508279.0,1,0,0.0
2016-03-14,41.63,41.71,41.06,41.3,3151571.0,1,0,0.0
2016-03-15,41.06,41.09,39.97,40.73,6796704.0,1,0,0.0
2016-03-16,40.86,40.87,40.1,40.47,4878622.0,1,0,0.0
2016-03-17,40.49,40.67,39.5201,39.72,6806544.0,1,0,0.0
2016-03-18,39.92,41.04,39.8,40.83,4959386.0,1,0,0.0
2016-03-21,40.91,42.03,40.85,41.61,4906254.0,1,0,0.0
2016-03-22,41.59,42.89,41.59,42.75,7034908.0,1,0,0.0
2016-03-23,42.8,42.84,42.15,42.64,5080525.0,1,0,0.0
2016-03-24,42.27,43.06,42.13,42.47,4175295.0,1,0,0.0
